"Launchpad Settings","Launchpad Settings"
"Show to Customer","Show to Customer"
"Use as Fallback","Use as Fallback"
"Fallback Members","Fallback Members"
"City / Area","City / Area"
"Yes","Yes"
"No","No"
"No = this method is hidden from customers in normal checkout (fallback-only when Use as Fallback is Yes). Realtime carrier methods are never hidden by this setting.","No = this method is hidden from customers in normal checkout (fallback-only when Use as Fallback is Yes). Realtime carrier methods are never hidden by this setting."
"Yes = when no assigned realtime method produced a usable rate (per the fallback eligibility policy), this method's table rate is offered as the emergency price.","Yes = when no assigned realtime method produced a usable rate (per the fallback eligibility policy), this method's table rate is offered as the emergency price."
"Fallback Members","Fallback Members"
"Realtime shipping methods that gate this fallback group. Only installed Magento carriers are listed; a member that is not part of the current rate collection never triggers the fallback by itself.","Realtime shipping methods that gate this fallback group. Only installed Magento carriers are listed; a member that is not part of the current rate collection never triggers the fallback by itself."
"Optional stable address-node code (e.g. VNA25-…). Empty = applies to all areas (wildcard). Unknown codes are rejected on save.","Optional stable address-node code (e.g. VNA25-…). Empty = applies to all areas (wildcard). Unknown codes are rejected on save."
"City / Area code ""%1"" does not exist in the address hierarchy — import or save a valid code.","City / Area code ""%1"" does not exist in the address hierarchy — import or save a valid code."
"Row ""%1"": City / Area code ""%2"" does not exist in the address hierarchy.","Row ""%1"": City / Area code ""%2"" does not exist in the address hierarchy."
"All / *","All / *"
"Pick a City / Area to narrow this rate, or keep ""All / *"" to apply it everywhere. The list follows the selected State/Region. Unknown codes are rejected on save.","Pick a City / Area to narrow this rate, or keep ""All / *"" to apply it everywhere. The list follows the selected State/Region. Unknown codes are rejected on save."
"Stored City/Area code %1 no longer exists — please re-select or clear.","Stored City/Area code %1 no longer exists — please re-select or clear."
"%1 (unknown code)","%1 (unknown code)"
"City / Area Downloads","City / Area Downloads"
"Download: City Reference CSV","Download: City Reference CSV"
"Download: Import Template","Download: Import Template"
"The reference lists every City / Area code (identity for the CSV `city_code` column); the template comes pre-filled with a valid example.","The reference lists every City / Area code (identity for the CSV `city_code` column); the template comes pre-filled with a valid example."
"City / Area ""%1"" does not belong to the selected region.","City / Area ""%1"" does not belong to the selected region."
"City / Area code ""%1"" does not belong to region ""%2"".","City / Area code ""%1"" does not belong to region ""%2""."
"Row ""%1"": City / Area code ""%2"" does not belong to region ""%3"".","Row ""%1"": City / Area code ""%2"" does not belong to region ""%3""."
