"Launchpad Settings","Cấu hình Launchpad"
"Show to Customer","Hiển thị cho khách hàng"
"Use as Fallback","Dùng làm phương án dự phòng"
"Fallback Members","Thành viên dự phòng (realtime)"
"City / Area","Tỉnh thành / Khu vực"
"Yes","Có"
"No","Không"
"No = this method is hidden from customers in normal checkout (fallback-only when Use as Fallback is Yes). Realtime carrier methods are never hidden by this setting.","Không = phương thức này bị ẩn khỏi khách hàng ở checkout thường (chỉ dự phòng khi ""Dùng làm phương án dự phòng"" là Có). Phương thức realtime của hãng vận chuyển không bao giờ bị ẩn bởi thiết lập này."
"Yes = when no assigned realtime method produced a usable rate (per the fallback eligibility policy), this method's table rate is offered as the emergency price.","Có = khi không có phương thức realtime nào được gán trả về giá dùng được (theo chính sách dự phòng), bảng giá của phương thức này sẽ được dùng làm giá khẩn cấp."
"Realtime shipping methods that gate this fallback group. Only installed Magento carriers are listed; a member that is not part of the current rate collection never triggers the fallback by itself.","Các phương thức vận chuyển realtime quyết định nhóm dự phòng này. Chỉ hiển thị các hãng đã cài đặt; thành viên không tham gia lần lấy giá hiện tại sẽ không tự kích hoạt dự phòng."
"Optional stable address-node code (e.g. VNA25-…). Empty = applies to all areas (wildcard). Unknown codes are rejected on save.","Mã khu vực ổn định (ví dụ VNA25-…). Để trống = áp dụng cho mọi khu vực (wildcard). Mã không hợp lệ sẽ bị từ chối khi lưu."
"City / Area code ""%1"" does not exist in the address hierarchy — import or save a valid code.","Mã Tỉnh thành / Khu vực ""%1"" không tồn tại trong dữ liệu địa chỉ — hãy nhập mã hợp lệ."
"Row ""%1"": City / Area code ""%2"" does not exist in the address hierarchy.","Dòng ""%1"": Mã Tỉnh thành / Khu vực ""%2"" không tồn tại trong dữ liệu địa chỉ."
"All / *","Tất cả / *"
"Pick a City / Area to narrow this rate, or keep ""All / *"" to apply it everywhere. The list follows the selected State/Region. Unknown codes are rejected on save.","Chọn Tỉnh thành / Khu vực để thu hẹp bảng giá, hoặc giữ ""Tất cả / *"" để áp dụng cho mọi khu vực. Danh sách theo Tỉnh / Vùng đã chọn. Mã không hợp lệ sẽ bị từ chối khi lưu."
"Stored City/Area code %1 no longer exists — please re-select or clear.","Mã Tỉnh thành / Khu vực %1 đã lưu không còn tồn tại — vui lòng chọn lại hoặc xóa."
"%1 (unknown code)","%1 (mã không xác định)"
"City / Area Downloads","Tải danh mục Tỉnh thành / Khu vực"
"Download: City Reference CSV","Tải xuống: CSV danh mục Tỉnh thành / Khu vực"
"Download: Import Template","Tải xuống: Mẫu file nhập khẩu"
"The reference lists every City / Area code (identity for the CSV `city_code` column); the template comes pre-filled with a valid example.","File danh mục liệt kê mọi mã Tỉnh thành / Khu vực (định danh cho cột `city_code` khi nhập CSV); file mẫu có sẵn một dòng ví dụ hợp lệ."
"City / Area ""%1"" does not belong to the selected region.","Tỉnh thành / Khu vực ""%1"" không thuộc Tỉnh / Vùng đã chọn."
"City / Area code ""%1"" does not belong to region ""%2"".","Mã Tỉnh thành / Khu vực ""%1"" không thuộc Tỉnh / Vùng ""%2""."
"Row ""%1"": City / Area code ""%2"" does not belong to region ""%3"".","Dòng ""%1"": Mã Tỉnh thành / Khu vực ""%2"" không thuộc Tỉnh / Vùng ""%3""."
