Date,Date
From,From
To,To
"Day/Month/Year (%1)","Day/Month/Year (%1)"
"Day-Month-Year (%1)","Day-Month-Year (%1)"
"Day.Month.Year (%1)","Day.Month.Year (%1)"
"Month/Day/Year (%1)","Month/Day/Year (%1)"
"Month-Day-Year (%1)","Month-Day-Year (%1)"
"Month.Day.Year (%1)","Month.Day.Year (%1)"
"Year/Month/Day (%1)","Year/Month/Day (%1)"
"Year-Month-Day (%1)","Year-Month-Day (%1)"
"Year.Month.Day (%1)","Year.Month.Day (%1)"
"Short d M, y (%1)","Short d M, y (%1)"
"Medium d MM, Y (%1)","Medium d MM, Y (%1)"
"Full DD, d MM, yy (%1)","Full DD, d MM, yy (%1)"
"Delivery On:","Delivery On:"
"House Security Code:","House Security Code:"
"Delivery Comment:","Delivery Comment:"
Add,Add
"Add after","Add after"
Delete,Delete
"Delivery Date","Delivery Date"
"Delivery Time","Delivery Time"
"House Security Code","House Security Code"
"Delivery Comment","Delivery Comment"
"-- Please select a delivery time--","-- Please select a delivery time--"
"Date value must not be empty.","Date value must not be empty."
"General Configuration","General Configuration"
Enable,Enable
"Select <strong>Yes</strong> to enable the module.","Select <strong>Yes</strong> to enable the module."
"Enable House Security Code","Enable House Security Code"
"Select <strong>Yes</strong> to allow customers to fill their house security codes.","Select <strong>Yes</strong> to allow customers to fill their house security codes."
"Enable Delivery Comment","Enable Delivery Comment"
"Select <strong>Yes</strong> to allow customers to commend on their orders.","Select <strong>Yes</strong> to allow customers to commend on their orders."
"Enable Delivery Time","Enable Delivery Time"
"Select <strong>Yes</strong> to allow customers to choose estimated delivery time.","Select <strong>Yes</strong> to allow customers to choose estimated delivery time."
"Allows admins to choose the time frame for delivery","Allows admins to choose the time frame for delivery"
"Date Format","Date Format"
"Select the date format used for delivery date.","Select the date format used for delivery date."
"Day Off","Day Off"
"Allows admins to choose the day off in week. Customers can not select the days off for delivery","Allows admins to choose the day off in week. Customers can not select the days off for delivery"
"Date Off","Date Off"
"Allows admins to choose any date off that they want. Customers can not select the days off for delivery","Allows admins to choose any date off that they want. Customers can not select the days off for delivery"
"Enable Cut-off Time","Enable Cut-off Time"
"Cut-off Time","Cut-off Time"
"Allows admins to choose the Cut-off time of the day","Allows admins to choose the Cut-off time of the day"
"Leave a message for the extra fee.","Leave a message for the extra fee."
"Comments","Comments"
"Enter your comment here","Enter your comment here"
"Your coupon was successfully applied.","Your coupon was successfully applied."
"Your coupon was successfully removed.","Your coupon was successfully removed."
"The coupon code isn't valid. Verify the code and try again.","The coupon code isn't valid. Verify the code and try again."
"Enter discount code","Enter discount code"
"Apply Discount","Apply Discount"
"Cancel coupon","Cancel coupon"
"%1 day(s)","%1 day(s)"
"%1 - %2 day(s)","%1 - %2 day(s)"
"Please choose at least one option for each require extra fee","Please choose at least one option for each require extra fee"
Already have an account? Click here to login,Already have an account? Click here to login
You already have an account with us.,You already have an account with us.
You already have an account with us. Sign in or continue as guest.,You already have an account with us. Sign in or continue as guest.
Shipping Address,Shipping Address
Email Address,Email Address
My billing and shipping address are the same,My billing and shipping address are the same
Billing Address,Billing Address
Create an account,Create an account
Shipping Methods,Shipping Methods
Payment Methods,Payment Methods
Payment Information,Payment Information
Discount Code,Discount Code
Order Summary,Order Summary
Item in Cart,Item in Cart
Items in Cart,Items in Cart
Product Name,Product Name
Quantity,Quantity
Subtotal,Subtotal
Action,Action
Cart Subtotal,Cart Subtotal
Shipping,Shipping
Register for newsletter,Register for newsletter
Place Order,Place Order
Save in address book,Save in address book
Please specify a payment method.,Please specify a payment method.
Selected shipping method is not available. Please select another shipping method for this order.,Selected shipping method is not available. Please select another shipping method for this order.
The selected shipping method is not applicable to your order. Please contact us for more details.,The selected shipping method is not applicable to your order. Please contact us for more details.
Leave a message with the extra fee.,Leave a message with the extra fee.
You will be charged for,You will be charged for
Tooltip,Tooltip
We'll send your order confirmation here.,We'll send your order confirmation here.
For delivery questions.,For delivery questions.
Please specify a shipping method.,Please specify a shipping method.
View Details,View Details
Options Details,Options Details
Forgot an item?,Forgot an item?
No Payment method available.,No Payment method available.
"Sorry, no quotes are available for this order at this time","Sorry, no quotes are available for this order at this time"
You can create an account after checkout.,You can create an account after checkout.
Discount,Discount
Discount (%1),Discount (%1)
