"1 Column","1 Column"
"2 Columns","2 Columns"
"2 Columns With Floating Column","2 Columns With Floating Column"
"3 Columns","3 Columns"
"3 Columns With Colspan","3 Columns With Colspan"
"Manage Block","Manage Block"
"Manage Fields","Manage Fields"
"Save Position","Save Position"
"Please install %1 to add more address fields.","Please install %1 to add more address fields."
"Add Customer Attributes","Add Customer Attributes"
"Please install %1 to add more custom checkout fields.","Please install %1 to add more custom checkout fields."
"Add Order Attributes","Add Order Attributes"
"Manage Checkout Layout","Manage Checkout Layout"
"One Step Checkout","One Step Checkout"
"Use system Default","Use system Default"
"Address Information","Address Information"
"Shipping Method","Shipping Method"
"Payment Method","Payment Method"
"Order Summary","Order Summary"
"Manage Field","Manage Field"
Scope:,Scope:
"Stores Configuration","Stores Configuration"
"Use system value","Use system value"
"Use Default","Use Default"
"Use Website","Use Website"
"This column cannot be blank.","This column cannot be blank."
"The columns cannot be leave empty. Please try again.","The columns cannot be leave empty. Please try again."
"Design Configuration","Design Configuration"
"Checkout Page Layout","Checkout Page Layout"
