"%1 service is not properly configured or available","El servei %1 no està configurat correctament o no està disponible"
"Invalid AI request data","Dades de sol·licitud d'IA no vàlides"
"Request prompt cannot be empty","El text de la sol·licitud no pot estar buit"
"Claude API error","Error de l'API de Claude"
"Invalid Claude API response: missing content","Resposta de l'API de Claude no vàlida: falta contingut"
"Empty content received from Claude API","S'ha rebut contingut buit de l'API de Claude"
"Gemini API error","Error de l'API de Gemini"
"Invalid Gemini API response: missing candidates","Resposta de l'API de Gemini no vàlida: falten candidats"
"Gemini API response was truncated because the max_tokens limit was reached. Consider increasing the max_tokens setting or using a shorter prompt.","La resposta de l'API de Gemini s'ha truncat perquè s'ha assolit el límit de max_tokens. Considereu augmentar la configuració de max_tokens o utilitzar un text més curt."
"Empty content received from Gemini API","S'ha rebut contingut buit de l'API de Gemini"
"AI services are disabled in configuration","Els serveis d'IA estan desactivats a la configuració"
"No default AI provider configured","No hi ha cap proveïdor d'IA predeterminat configurat"
"No available AI provider for request validation","No hi ha cap proveïdor d'IA disponible per a la validació de sol·licituds"
"Request validation failed: %1","La validació de la sol·licitud ha fallat: %1"
"All AI providers failed. Last error: %1","Tots els proveïdors d'IA han fallat. Últim error: %1"
"Unsupported AI provider: %1. Supported providers: %2","Proveïdor d'IA no compatible: %1. Proveïdors compatibles: %2"
"Service class %1 must extend %2","La classe %1 ha d'estendre %2"
"Failed to create AI service for provider %1: %2","No s'ha pogut crear el servei d'IA per al proveïdor %1: %2"
"Not configured","No configurat"
"Unknown","Desconegut"
"Unknown API error","Error d'API desconegut"
"Temperature must be between 0 and 2","La temperatura ha de ser entre 0 i 2"
"Max tokens must be greater than 0","El nombre màxim de tokens ha de ser superior a 0"
"Frequency penalty must be between -2 and 2","La penalització de freqüència ha de ser entre -2 i 2"
"Format output as JSON.","Formatar la sortida com a JSON."
"OpenAI API returned an incomplete response because the model's context window tokens number was exceeded.","L'API d'OpenAI ha retornat una resposta incompleta perquè s'ha superat el nombre de tokens de la finestra de context."
"OpenAI API returned no content in the response.","L'API d'OpenAI no ha retornat contingut a la resposta."
"Not Installed","No instal·lat"
"A total of %1 record(s) have been deleted.","S'han eliminat un total de %1 registre(s)."
"The record has been removed.","El registre s'ha eliminat."
"Disallowed file type.","Tipus de fitxer no permès."
"Can't remove folder %s","No es pot eliminar la carpeta %s"
"Extension does not contain all necessary files. Please reinstall the extension from original package.","L'extensió no conté tots els fitxers necessaris. Si us plau, reinstal·leu l'extensió des del paquet original."
"Extension Information","Informació de l'extensió"
"Status","Estat"
"Other","Altres"
"Advanced Reports","Advanced Reports"
"Layered Navigation","Layered Navigation"
"Cron for Magento is not running. To setup a cron job, follow the link %1","Cron per a Magento no s'està executant. Per configurar una tasca cron, seguiu l'enllaç %1"
"Cron jobs [%1] are not running. Please check the table %2 for frozen jobs and remove them.","Les tasques cron [%1] no s'estan executant. Si us plau, comproveu la taula %2 per a tasques congelades i elimineu-les."
"Remove","Eliminar"
"Error","Error"
"Missed","Perdut"
"Running","En execució"
"Pending","Pendent"
"Success","Èxit"
"Server gmt time","Hora GMT del servidor"
"Last job","Última tasca"
"Executed","Executat"
"none","cap"
"Cron setup","Configuració de Cron"
"Cron Jobs","Tasques Cron"
"No AI-enabled modules are currently active.","Actualment no hi ha mòduls amb IA actius."
"%1 module(s) using AI functionality:","%1 mòdul(s) utilitzant funcionalitat d'IA:"
"Provider:","Proveïdor:"
"ai_provider","ai_provider"
"You have the latest version","Teniu la versió més recent"
"New version %1 is available","Hi ha disponible la nova versió %1"
"View %1 details (opens in new window)","Veure detalls de %1 (s'obre en una nova finestra)"
"Details","Detalls"
"View %1 user guide (opens in new window)","Veure guia d'usuari de %1 (s'obre en una nova finestra)"
"User Guide","Guia d'usuari"
"View %1 changelog (opens in new window)","Veure registre de canvis de %1 (s'obre en una nova finestra)"
"Changelog","Registre de canvis"
"Request new feature for %1 (opens in new window)","Sol·licitar nova funcionalitat per a %1 (s'obre en una nova finestra)"
"Request New Feature","Sol·licitar nova funcionalitat"
"Installed Extensions","Extensions instal·lades"
"Check changes","Comprovar canvis"
"Validate All Extensions","Validar totes les extensions"
"Suggest Improvement","Suggerir millora"
"%1 (opens in new window)","%1 (s'obre en una nova finestra)"
"More Details","Més detalls"
"Developer settings","Configuració de desenvolupador"
"AI Provider Status","Estat del proveïdor d'IA"
"No AI providers are currently enabled. Please configure AI providers in %1.","Actualment no hi ha proveïdors d'IA habilitats. Si us plau, configureu els proveïdors d'IA a %1."
"%1 of %2 providers enabled. You can manage providers in %3.","%1 de %2 proveïdors habilitats. Podeu gestionar els proveïdors a %3."
"Enabled","Habilitat"
"Disabled","Deshabilitat"
"All tests have been passed","Totes les proves han passat"
"Module","Mòdul"
"Test","Prova"
"How to fix","Com solucionar-ho"
"Warning","Avís"
"Info","Informació"
"Failed","Fallat"
"Today","Avui"
"Last 7 days","Últims 7 dies"
"Last 30 days","Últims 30 dies"
"Last 365 days","Últims 365 dies"
"Mirasvit Extensions Validator","Validador d'extensions Mirasvit"
"Mirasvit Menu","Menú Mirasvit"
"Core","Core"
"Mirasvit","Mirasvit"
"Extensions","Extensions"
"Mirasvit Marketplace","Mirasvit Marketplace"
"Mirasvit Extensions","Extensions Mirasvit"
"Developer","Desenvolupador"
"Menu Settings","Configuració del menú"
"Enable Mirasvit Menu","Habilitar menú Mirasvit"
"The menu is visible, if you have at least two active Mirasvit extensions.","El menú és visible si teniu almenys dues extensions Mirasvit actives."
"Additional CSS Styles","Estils CSS addicionals"
"AI Configuration","Configuració d'IA"
"Modules using AI","Mòduls que utilitzen IA"
"Enable AI features","Habilitar funcions d'IA"
"Globally enable or disable all AI-powered features across Mirasvit extensions.<br>When disabled, all AI functionality will be unavailable regardless of individual provider settings or AI settings in other modules.","Habiliteu o deshabiliteu globalment totes les funcions d'IA a les extensions Mirasvit.<br>Quan estigui deshabilitat, totes les funcions d'IA no estaran disponibles independentment de la configuració individual del proveïdor o la configuració d'IA en altres mòduls."
"Default AI provider","Proveïdor d'IA predeterminat"
"Select the primary AI provider to use when multiple providers are configured.<br>This will be used as the fallback provider for all AI operations when no specific provider is requested.","Seleccioneu el proveïdor d'IA principal per utilitzar quan hi hagi múltiples proveïdors configurats.<br>S'utilitzarà com a proveïdor de reserva per a totes les operacions d'IA quan no es sol·liciti cap proveïdor específic."
"Request timeout","Temps d'espera de la sol·licitud"
"Maximum time in seconds to wait for AI provider responses.<br> Leave empty to disable timeout.<br> This setting will affect all AI features in other modules.","Temps màxim en segons per esperar respostes del proveïdor d'IA.<br> Deixeu buit per deshabilitar el temps d'espera.<br> Aquesta configuració afectarà totes les funcions d'IA en altres mòduls."
"Maximum tokens per request","Tokens màxims per sol·licitud"
"Maximum number of tokens to generate in a single AI request. Higher values allow longer responses but increase costs.<br> Leave empty to disable limitation.<br> Different providers and models has their own limits.<br> This setting will affect all AI features in other modules.","Nombre màxim de tokens per generar en una única sol·licitud d'IA. Els valors més alts permeten respostes més llargues però augmenten els costos.<br> Deixeu buit per deshabilitar la limitació.<br> Els diferents proveïdors i models tenen els seus propis límits.<br> Aquesta configuració afectarà totes les funcions d'IA en altres mòduls."
"Default temperature","Temperatura predeterminada"
"Controls randomness in AI responses. Lower values produce more consistent results, higher values more creative.<br>Example:<br><code>0.1</code> - very consistent, factual responses<br><code>0.7</code> - balanced creativity and consistency<br><code>1.0</code> - highly creative and varied responses.<br>If empty the default temperature 0.7 will be used.<br>This setting will affect all AI features in other modules.<br>Some extensions might override this setting.","Controla l'aleatorietat en les respostes d'IA. Els valors més baixos produeixen resultats més consistents, els més alts més creatius.<br>Exemple:<br><code>0.1</code> - respostes molt consistents i factuals<br><code>0.7</code> - creativitat i consistència equilibrades<br><code>1.0</code> - respostes molt creatives i variades.<br>Si està buit, s'utilitzarà la temperatura predeterminada de 0.7.<br>Aquesta configuració afectarà totes les funcions d'IA en altres mòduls.<br>Algunes extensions poden anul·lar aquesta configuració."
"Debug mode","Mode de depuració"
"Enable detailed logging of AI requests and responses for debugging purposes.<br>Warning: This may log sensitive data and impact performance. Use only for development.","Habiliteu el registre detallat de sol·licituds i respostes d'IA per a fins de depuració.<br>Avís: Això pot registrar dades sensibles i afectar el rendiment. Utilitzeu només per a desenvolupament."
"OpenAI Configuration","Configuració d'OpenAI"
"Enable OpenAI provider","Habilitar proveïdor OpenAI"
"Enable OpenAI as an available AI provider. Requires valid API key configuration.","Habiliteu OpenAI com a proveïdor d'IA disponible. Requereix una configuració de clau API vàlida."
"OpenAI API key","Clau API d'OpenAI"
"Your OpenAI API key starting with 'sk-'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://platform.openai.com/api-keys"" target=""_blank"">OpenAI API Keys</a>","La vostra clau API d'OpenAI que comença amb 'sk-'. Aquesta clau està xifrada i emmagatzemada de forma segura.<br>Obteniu la vostra clau API de: <a href=""https://platform.openai.com/api-keys"" target=""_blank"">OpenAI API Keys</a>"
"Default OpenAI model","Model OpenAI predeterminat"
"Select the default OpenAI model for AI operations. Different models have varying capabilities and costs.","Seleccioneu el model OpenAI predeterminat per a operacions d'IA. Els diferents models tenen capacitats i costos diferents."
"Claude Configuration","Configuració de Claude"
"Enable Claude provider","Habilitar proveïdor Claude"
"Enable Anthropic Claude as an available AI provider. Requires valid API key configuration.","Habiliteu Anthropic Claude com a proveïdor d'IA disponible. Requereix una configuració de clau API vàlida."
"Claude API key","Clau API de Claude"
"Your Anthropic Claude API key starting with 'sk-ant-'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://console.anthropic.com/"" target=""_blank"">Anthropic Console</a>","La vostra clau API d'Anthropic Claude que comença amb 'sk-ant-'. Aquesta clau està xifrada i emmagatzemada de forma segura.<br>Obteniu la vostra clau API de: <a href=""https://console.anthropic.com/"" target=""_blank"">Anthropic Console</a>"
"Default Claude model","Model Claude predeterminat"
"Select the default Claude model for AI operations. Different models have varying capabilities and costs.","Seleccioneu el model Claude predeterminat per a operacions d'IA. Els diferents models tenen capacitats i costos diferents."
"Google Gemini Configuration","Configuració de Google Gemini"
"Enable Gemini provider","Habilitar proveïdor Gemini"
"Enable Google Gemini as an available AI provider. Requires valid API key configuration.","Habiliteu Google Gemini com a proveïdor d'IA disponible. Requereix una configuració de clau API vàlida."
"Gemini API key","Clau API de Gemini"
"Your Google AI Studio API key starting with 'AIza'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://aistudio.google.com/app/apikey"" target=""_blank"">Google AI Studio</a>","La vostra clau API de Google AI Studio que comença amb 'AIza'. Aquesta clau està xifrada i emmagatzemada de forma segura.<br>Obteniu la vostra clau API de: <a href=""https://aistudio.google.com/app/apikey"" target=""_blank"">Google AI Studio</a>"
"Default Gemini model","Model Gemini predeterminat"
"Select the default Gemini model for AI operations. Different models have varying capabilities and costs.","Seleccioneu el model Gemini predeterminat per a operacions d'IA. Els diferents models tenen capacitats i costos diferents."
"Determine visitor's country, city, and timezone based on their IP address.","Determineu el país, la ciutat i la zona horària del visitant segons la seva adreça IP."
"Free <a href=""https://www.maxmind.com/en/geolite2/signup"" target=""_blank"">MaxMind account</a> required for automatic updates (checked weekly).","Es requereix un compte <a href=""https://www.maxmind.com/en/geolite2/signup"" target=""_blank"">MaxMind gratuït</a> per a actualitzacions automàtiques (verificació setmanal)."
"Used by:","Utilitzat per:"
message,missatge
"Error downloading database: %1","Error en descarregar la base de dades: %1"
"MaxMind credentials not configured","Les credencials de MaxMind no estan configurades"
"Failed to download remote hash","Error en descarregar el hash remot"
"Database is up to date","La base de dades està actualitzada"
"Failed to download and extract database","Error en descarregar i extreure la base de dades"
"Database updated successfully","Base de dades actualitzada amb èxit"
"Download failed: %1","Descàrrega fallida: %1"
"This extension uses GeoLite2 Data created by MaxMind.","Aquesta extensió utilitza dades GeoLite2 creades per MaxMind."
"Database available (auto-update enabled)","Base de dades disponible (actualització automàtica habilitada)"
"Database available (auto-update disabled)","Base de dades disponible (actualització automàtica deshabilitada)"
Configure,Configurar
"Database not available","Base de dades no disponible"
"Database status:","Estat de la base de dades:"
"Not available","No disponible"
"Credentials configured. Click the button below to download the database.","Credencials configurades. Feu clic al botó de sota per descarregar la base de dades."
"Download database","Descarregar base de dades"
"Enter MaxMind credentials above to enable automatic database downloads, or run setup:upgrade to install the bundled database.","Introduïu les credencials de MaxMind a sobre per habilitar les descàrregues automàtiques, o executeu setup:upgrade per instal·lar la base de dades inclosa."
"Available (auto-update disabled)","Disponible (actualització automàtica deshabilitada)"
Version:,Versió:
Size:,Mida:
"Enter MaxMind credentials above to enable automatic weekly updates.","Introduïu les credencials de MaxMind a sobre per habilitar les actualitzacions setmanals automàtiques."
"Available (auto-update enabled)","Disponible (actualització automàtica habilitada)"
"Update database","Actualitzar base de dades"
"Database updated successfully.","Base de dades actualitzada amb èxit."
Notice,Avís
"Database is up to date.","La base de dades està actualitzada."
"An error occurred while downloading the database.","S'ha produït un error en descarregar la base de dades."
"IP Geolocation","Geolocalització IP"
"Account ID","ID de compte"
"License Key","Clau de llicència"
"<a href=""https://www.maxmind.com/en/account/license-key"" target=""_blank"">Generate license key</a>","<a href=""https://www.maxmind.com/en/account/license-key"" target=""_blank"">Generar clau de llicència</a>"
Cron,Cron
Delete,Eliminar
"Delete items","Eliminar elements"
"Are you sure you want to delete selected items?","Esteu segur que voleu eliminar els elements seleccionats?"
ID,ID
Code,Codi
Messages,Missatges
Created,Creat
Scheduled,Programat
Finished,Finalitzat
