"%1 service is not properly configured or available","Služba %1 není správně nakonfigurována nebo není dostupná"
"Invalid AI request data","Neplatná data požadavku AI"
"Request prompt cannot be empty","Text požadavku nemůže být prázdný"
"Claude API error","Chyba Claude API"
"Invalid Claude API response: missing content","Neplatná odpověď Claude API: chybí obsah"
"Empty content received from Claude API","Z Claude API byl přijat prázdný obsah"
"Gemini API error","Chyba Gemini API"
"Invalid Gemini API response: missing candidates","Neplatná odpověď Gemini API: chybí kandidáti"
"Gemini API response was truncated because the max_tokens limit was reached. Consider increasing the max_tokens setting or using a shorter prompt.","Odpověď Gemini API byla zkrácena, protože byl dosažen limit max_tokens. Zvažte zvýšení nastavení max_tokens nebo použití kratšího textu."
"Empty content received from Gemini API","Z Gemini API byl přijat prázdný obsah"
"AI services are disabled in configuration","Služby AI jsou v konfiguraci zakázány"
"No default AI provider configured","Není nakonfigurován výchozí poskytovatel AI"
"No available AI provider for request validation","Není k dispozici žádný poskytovatel AI pro ověření požadavku"
"Request validation failed: %1","Ověření požadavku selhalo: %1"
"All AI providers failed. Last error: %1","Všichni poskytovatelé AI selhali. Poslední chyba: %1"
"Unsupported AI provider: %1. Supported providers: %2","Nepodporovaný poskytovatel AI: %1. Podporovaní poskytovatelé: %2"
"Service class %1 must extend %2","Třída %1 musí rozšiřovat %2"
"Failed to create AI service for provider %1: %2","Nepodařilo se vytvořit službu AI pro poskytovatele %1: %2"
"Not configured","Není nakonfigurováno"
"Unknown","Neznámý"
"Unknown API error","Neznámá chyba API"
"Temperature must be between 0 and 2","Teplota musí být mezi 0 a 2"
"Max tokens must be greater than 0","Maximální počet tokenů musí být větší než 0"
"Frequency penalty must be between -2 and 2","Penalizace frekvence musí být mezi -2 a 2"
"Format output as JSON.","Formátovat výstup jako JSON."
"OpenAI API returned an incomplete response because the model's context window tokens number was exceeded.","OpenAI API vrátilo neúplnou odpověď, protože byl překročen počet tokenů kontextového okna."
"OpenAI API returned no content in the response.","OpenAI API nevrátilo v odpovědi žádný obsah."
"Not Installed","Není nainstalováno"
"A total of %1 record(s) have been deleted.","Celkem bylo odstraněno %1 záznam(ů)."
"The record has been removed.","Záznam byl odstraněn."
"Disallowed file type.","Nepovolený typ souboru."
"Can't remove folder %s","Nelze odstranit složku %s"
"Extension does not contain all necessary files. Please reinstall the extension from original package.","Rozšíření neobsahuje všechny potřebné soubory. Přeinstalujte prosím rozšíření z původního balíčku."
"Extension Information","Informace o rozšíření"
"Status","Stav"
"Other","Ostatní"
"Advanced Reports","Advanced Reports"
"Layered Navigation","Layered Navigation"
"Cron for Magento is not running. To setup a cron job, follow the link %1","Cron pro Magento neběží. Pro nastavení úlohy cron následujte odkaz %1"
"Cron jobs [%1] are not running. Please check the table %2 for frozen jobs and remove them.","Úlohy cron [%1] neběží. Zkontrolujte prosím tabulku %2, zda neobsahuje zamrzlé úlohy, a odstraňte je."
"Remove","Odstranit"
"Error","Chyba"
"Missed","Vynecháno"
"Running","Běží"
"Pending","Čeká"
"Success","Úspěch"
"Server gmt time","GMT čas serveru"
"Last job","Poslední úloha"
"Executed","Provedeno"
"none","žádné"
"Cron setup","Nastavení Cron"
"Cron Jobs","Úlohy Cron"
"No AI-enabled modules are currently active.","Momentálně nejsou aktivní žádné moduly s AI."
"%1 module(s) using AI functionality:","%1 modul(ů) využívá funkce AI:"
"Provider:","Poskytovatel:"
"ai_provider","ai_provider"
"You have the latest version","Máte nejnovější verzi"
"New version %1 is available","Je k dispozici nová verze %1"
"View %1 details (opens in new window)","Zobrazit podrobnosti %1 (otevře se v novém okně)"
"Details","Podrobnosti"
"View %1 user guide (opens in new window)","Zobrazit uživatelskou příručku %1 (otevře se v novém okně)"
"User Guide","Uživatelská příručka"
"View %1 changelog (opens in new window)","Zobrazit seznam změn %1 (otevře se v novém okně)"
"Changelog","Seznam změn"
"Request new feature for %1 (opens in new window)","Požádat o novou funkci pro %1 (otevře se v novém okně)"
"Request New Feature","Požádat o novou funkci"
"Installed Extensions","Nainstalovaná rozšíření"
"Check changes","Zkontrolovat změny"
"Validate All Extensions","Ověřit všechna rozšíření"
"Suggest Improvement","Navrhnout vylepšení"
"%1 (opens in new window)","%1 (otevře se v novém okně)"
"More Details","Více podrobností"
"Developer settings","Nastavení pro vývojáře"
"AI Provider Status","Stav poskytovatele AI"
"No AI providers are currently enabled. Please configure AI providers in %1.","Momentálně nejsou povoleni žádní poskytovatelé AI. Nakonfigurujte prosím poskytovatele AI v %1."
"%1 of %2 providers enabled. You can manage providers in %3.","%1 z %2 poskytovatelů povoleno. Poskytovatele můžete spravovat v %3."
"Enabled","Povoleno"
"Disabled","Zakázáno"
"All tests have been passed","Všechny testy prošly"
"Module","Modul"
"Test","Test"
"How to fix","Jak opravit"
"Warning","Varování"
"Info","Informace"
"Failed","Selhalo"
"Today","Dnes"
"Last 7 days","Posledních 7 dní"
"Last 30 days","Posledních 30 dní"
"Last 365 days","Posledních 365 dní"
"Mirasvit Extensions Validator","Validátor rozšíření Mirasvit"
"Mirasvit Menu","Nabídka Mirasvit"
"Core","Core"
"Mirasvit","Mirasvit"
"Extensions","Rozšíření"
"Mirasvit Marketplace","Mirasvit Marketplace"
"Mirasvit Extensions","Rozšíření Mirasvit"
"Developer","Vývojář"
"Menu Settings","Nastavení nabídky"
"Enable Mirasvit Menu","Povolit nabídku Mirasvit"
"The menu is visible, if you have at least two active Mirasvit extensions.","Nabídka je viditelná, pokud máte alespoň dvě aktivní rozšíření Mirasvit."
"Additional CSS Styles","Další CSS styly"
"AI Configuration","Konfigurace AI"
"Modules using AI","Moduly využívající AI"
"Enable AI features","Povolit funkce AI"
