"%1 service is not properly configured or available","%1-tjenesten er ikke korrekt konfigureret eller tilgængelig"
"Invalid AI request data","Ugyldige AI-anmodningsdata"
"Request prompt cannot be empty","Anmodningens tekst kan ikke være tom"
"Claude API error","Claude API-fejl"
"Invalid Claude API response: missing content","Ugyldig Claude API-respons: indhold mangler"
"Empty content received from Claude API","Tomt indhold modtaget fra Claude API"
"Gemini API error","Gemini API-fejl"
"Invalid Gemini API response: missing candidates","Ugyldig Gemini API-respons: kandidater mangler"
"Gemini API response was truncated because the max_tokens limit was reached. Consider increasing the max_tokens setting or using a shorter prompt.","Gemini API-responsen blev afkortet, fordi max_tokens-grænsen blev nået. Overvej at øge max_tokens-indstillingen eller bruge en kortere tekst."
"Empty content received from Gemini API","Tomt indhold modtaget fra Gemini API"
"AI services are disabled in configuration","AI-tjenester er deaktiveret i konfigurationen"
"No default AI provider configured","Ingen standard AI-udbyder konfigureret"
"No available AI provider for request validation","Ingen tilgængelig AI-udbyder til anmodningsvalidering"
"Request validation failed: %1","Anmodningsvalidering mislykkedes: %1"
"All AI providers failed. Last error: %1","Alle AI-udbydere mislykkedes. Sidste fejl: %1"
"Unsupported AI provider: %1. Supported providers: %2","Ikke-understøttet AI-udbyder: %1. Understøttede udbydere: %2"
"Service class %1 must extend %2","Klassen %1 skal udvide %2"
"Failed to create AI service for provider %1: %2","Kunne ikke oprette AI-tjeneste for udbyder %1: %2"
"Not configured","Ikke konfigureret"
"Unknown","Ukendt"
"Unknown API error","Ukendt API-fejl"
"Temperature must be between 0 and 2","Temperaturen skal være mellem 0 og 2"
"Max tokens must be greater than 0","Maksimalt antal tokens skal være større end 0"
"Frequency penalty must be between -2 and 2","Frekvensstraffen skal være mellem -2 og 2"
"Format output as JSON.","Formater output som JSON."
"OpenAI API returned an incomplete response because the model's context window tokens number was exceeded.","OpenAI API returnerede et ufuldstændigt svar, fordi modellens kontekstvindue-token-antal blev overskredet."
"OpenAI API returned no content in the response.","OpenAI API returnerede intet indhold i svaret."
"Not Installed","Ikke installeret"
"A total of %1 record(s) have been deleted.","I alt %1 post(er) er blevet slettet."
"The record has been removed.","Posten er blevet fjernet."
"Disallowed file type.","Ikke-tilladt filtype."
"Can't remove folder %s","Kan ikke fjerne mappen %s"
"Extension does not contain all necessary files. Please reinstall the extension from original package.","Udvidelsen indeholder ikke alle nødvendige filer. Geninstaller venligst udvidelsen fra den originale pakke."
"Extension Information","Udvidelsesoplysninger"
"Status","Status"
"Other","Andet"
"Advanced Reports","Advanced Reports"
"Layered Navigation","Layered Navigation"
"Cron for Magento is not running. To setup a cron job, follow the link %1","Cron til Magento kører ikke. For at opsætte et cron-job, følg linket %1"
"Cron jobs [%1] are not running. Please check the table %2 for frozen jobs and remove them.","Cron-jobs [%1] kører ikke. Kontroller venligst tabellen %2 for frosne jobs og fjern dem."
"Remove","Fjern"
"Error","Fejl"
"Missed","Misset"
"Running","Kører"
"Pending","Afventer"
"Success","Succes"
"Server gmt time","Server GMT-tid"
"Last job","Sidste job"
"Executed","Udført"
"none","ingen"
"Cron setup","Cron-opsætning"
"Cron Jobs","Cron-jobs"
"No AI-enabled modules are currently active.","Der er i øjeblikket ingen AI-aktiverede moduler aktive."
"%1 module(s) using AI functionality:","%1 modul(er) bruger AI-funktionalitet:"
"Provider:","Udbyder:"
"ai_provider","ai_provider"
"You have the latest version","Du har den nyeste version"
"New version %1 is available","Ny version %1 er tilgængelig"
"View %1 details (opens in new window)","Se %1-detaljer (åbner i nyt vindue)"
"Details","Detaljer"
"View %1 user guide (opens in new window)","Se %1-brugervejledning (åbner i nyt vindue)"
"User Guide","Brugervejledning"
"View %1 changelog (opens in new window)","Se %1-ændringslog (åbner i nyt vindue)"
"Changelog","Ændringslog"
"Request new feature for %1 (opens in new window)","Anmod om ny funktion til %1 (åbner i nyt vindue)"
"Request New Feature","Anmod om ny funktion"
"Installed Extensions","Installerede udvidelser"
"Check changes","Kontroller ændringer"
"Validate All Extensions","Valider alle udvidelser"
"Suggest Improvement","Foreslå forbedring"
"%1 (opens in new window)","%1 (åbner i nyt vindue)"
"More Details","Flere detaljer"
"Developer settings","Udviklerindstillinger"
"AI Provider Status","AI-udbyderstatus"
"No AI providers are currently enabled. Please configure AI providers in %1.","Der er i øjeblikket ingen AI-udbydere aktiveret. Konfigurer venligst AI-udbydere i %1."
"%1 of %2 providers enabled. You can manage providers in %3.","%1 af %2 udbydere aktiveret. Du kan administrere udbydere i %3."
"Enabled","Aktiveret"
"Disabled","Deaktiveret"
"All tests have been passed","Alle tests er bestået"
"Module","Modul"
"Test","Test"
"How to fix","Sådan rettes"
"Warning","Advarsel"
"Info","Info"
"Failed","Mislykkedes"
"Today","I dag"
"Last 7 days","Sidste 7 dage"
"Last 30 days","Sidste 30 dage"
"Last 365 days","Sidste 365 dage"
"Mirasvit Extensions Validator","Mirasvit udvidelsesvalidator"
"Mirasvit Menu","Mirasvit-menu"
"Core","Core"
"Mirasvit","Mirasvit"
"Extensions","Udvidelser"
"Mirasvit Marketplace","Mirasvit Marketplace"
"Mirasvit Extensions","Mirasvit-udvidelser"
"Developer","Udvikler"
"Menu Settings","Menuindstillinger"
"Enable Mirasvit Menu","Aktiver Mirasvit-menu"
"The menu is visible, if you have at least two active Mirasvit extensions.","Menuen er synlig, hvis du har mindst to aktive Mirasvit-udvidelser."
"Additional CSS Styles","Yderligere CSS-stilarter"
"AI Configuration","AI-konfiguration"
"Modules using AI","Moduler, der bruger AI"
"Enable AI features","Aktiver AI-funktioner"
