"%1 service is not properly configured or available","%1-Service ist nicht richtig konfiguriert oder verfügbar"
"Invalid AI request data","Ungültige KI-Anfragedaten"
"Request prompt cannot be empty","Der Anfrage-Prompt darf nicht leer sein"
"Claude API error","Claude-API-Fehler"
"Invalid Claude API response: missing content","Ungültige Claude-API-Antwort: fehlender Inhalt"
"Empty content received from Claude API","Leerer Inhalt von der Claude-API empfangen"
"Gemini API error","Gemini-API-Fehler"
"Invalid Gemini API response: missing candidates","Ungültige Gemini-API-Antwort: fehlende Kandidaten"
"Gemini API response was truncated because the max_tokens limit was reached. Consider increasing the max_tokens setting or using a shorter prompt.","Die Gemini-API-Antwort wurde abgeschnitten, da das max_tokens-Limit erreicht wurde. Erhöhen Sie die max_tokens-Einstellung oder verwenden Sie einen kürzeren Prompt."
"Empty content received from Gemini API","Leerer Inhalt von der Gemini-API empfangen"
"AI services are disabled in configuration","KI-Services sind in der Konfiguration deaktiviert"
"No default AI provider configured","Kein Standard-KI-Anbieter konfiguriert"
"No available AI provider for request validation","Kein verfügbarer KI-Anbieter für die Anfrage-Validierung"
"Request validation failed: %1","Anfrage-Validierung fehlgeschlagen: %1"
"All AI providers failed. Last error: %1","Alle KI-Anbieter sind fehlgeschlagen. Letzter Fehler: %1"
"Unsupported AI provider: %1. Supported providers: %2","Nicht unterstützter KI-Anbieter: %1. Unterstützte Anbieter: %2"
"Service class %1 must extend %2","Service-Klasse %1 muss %2 erweitern"
"Failed to create AI service for provider %1: %2","Fehler beim Erstellen des KI-Services für Anbieter %1: %2"
"Not configured","Nicht konfiguriert"
Unknown,Unbekannt
"Unknown API error","Unbekannter API-Fehler"
"Temperature must be between 0 and 2","Temperatur muss zwischen 0 und 2 liegen"
"Max tokens must be greater than 0","Max Tokens muss größer als 0 sein"
"Frequency penalty must be between -2 and 2","Wiederholungsstrafe muss zwischen -2 und 2 liegen"
"Format output as JSON.","Ausgabe als JSON formatieren."
"OpenAI API returned an incomplete response because the model's context window tokens number was exceeded.","OpenAI-API hat eine unvollständige Antwort zurückgegeben, da die Token-Anzahl des Kontextfensters des Modells überschritten wurde."
"OpenAI API returned no content in the response.","OpenAI-API hat keinen Inhalt in der Antwort zurückgegeben."
"Not Installed","Nicht installiert"
"A total of %1 record(s) have been deleted.","Insgesamt %1 Datensatz/Datensätze wurde(n) gelöscht."
"The record has been removed.","Der Datensatz wurde entfernt."
"Disallowed file type.","Nicht erlaubter Dateityp."
"Can't remove folder %s","Ordner %s kann nicht entfernt werden"
"Extension does not contain all necessary files. Please reinstall the extension from original package.","Die Erweiterung enthält nicht alle erforderlichen Dateien. Bitte installieren Sie die Erweiterung aus dem Originalpaket erneut."
"Extension Information","Erweiterungsinformationen"
Status,Status
Other,Sonstiges
"Advanced Reports","Advanced Reports"
"Layered Navigation","Layered Navigation"
"Cron for Magento is not running. To setup a cron job, follow the link %1","Cron für Magento läuft nicht. Um einen Cron-Job einzurichten, folgen Sie dem Link %1"
"Cron jobs [%1] are not running. Please check the table %2 for frozen jobs and remove them.","Cron-Jobs [%1] laufen nicht. Bitte überprüfen Sie die Tabelle %2 auf eingefrorene Jobs und entfernen Sie diese."
Remove,Entfernen
Error,Fehler
Missed,Verpasst
Running,Läuft
Pending,Ausstehend
Success,Erfolg
"Server gmt time","Server-GMT-Zeit"
"Last job","Letzter Job"
Executed,Ausgeführt
none,keine
"Cron setup","Cron-Einrichtung"
"Cron Jobs","Cron-Jobs"
"No AI-enabled modules are currently active.","Derzeit sind keine KI-fähigen Module aktiv."
"%1 module(s) using AI functionality:","%1 Modul(e) verwenden KI-Funktionalität:"
Provider:,Anbieter:
ai_provider,ai_provider
"You have the latest version","Sie haben die neueste Version"
"New version %1 is available","Neue Version %1 ist verfügbar"
"View %1 details (opens in new window)","%1-Details anzeigen (öffnet in neuem Fenster)"
Details,Details
"View %1 user guide (opens in new window)","%1-Benutzerhandbuch anzeigen (öffnet in neuem Fenster)"
"User Guide","Benutzerhandbuch"
"View %1 changelog (opens in new window)","%1-Änderungsprotokoll anzeigen (öffnet in neuem Fenster)"
Changelog,Änderungsprotokoll
"Request new feature for %1 (opens in new window)","Neue Funktion für %1 anfragen (öffnet in neuem Fenster)"
"Request New Feature","Neue Funktion anfragen"
"Installed Extensions","Installierte Erweiterungen"
"Check changes","Änderungen prüfen"
"Validate All Extensions","Alle Erweiterungen validieren"
"Suggest Improvement","Verbesserung vorschlagen"
"%1 (opens in new window)","%1 (öffnet in neuem Fenster)"
"More Details","Mehr Details"
"Developer settings","Entwicklereinstellungen"
"AI Provider Status","KI-Anbieter-Status"
"No AI providers are currently enabled. Please configure AI providers in %1.","Derzeit sind keine KI-Anbieter aktiviert. Bitte konfigurieren Sie KI-Anbieter in %1."
"%1 of %2 providers enabled. You can manage providers in %3.","%1 von %2 Anbietern aktiviert. Sie können Anbieter in %3 verwalten."
Enabled,Aktiviert
Disabled,Deaktiviert
"All tests have been passed","Alle Tests wurden bestanden"
Module,Modul
Test,Test
"How to fix","Fehlerbehebung"
Warning,Warnung
Info,Info
Failed,Fehlgeschlagen
Today,Heute
"Last 7 days","Letzte 7 Tage"
"Last 30 days","Letzte 30 Tage"
"Last 365 days","Letzte 365 Tage"
"Mirasvit Extensions Validator","Mirasvit-Erweiterungsvalidator"
"Mirasvit Menu","Mirasvit-Menü"
Core,Core
Mirasvit,Mirasvit
Extensions,Erweiterungen
"Mirasvit Marketplace","Mirasvit Marketplace"
"Mirasvit Extensions","Mirasvit-Erweiterungen"
Developer,Entwickler
"Menu Settings","Menüeinstellungen"
"Enable Mirasvit Menu","Mirasvit-Menü aktivieren"
"The menu is visible, if you have at least two active Mirasvit extensions.","Das Menü ist sichtbar, wenn Sie mindestens zwei aktive Mirasvit-Erweiterungen haben."
"Additional CSS Styles","Zusätzliche CSS-Stile"
"AI Configuration","KI-Konfiguration"
"Modules using AI","Module mit KI"
"Enable AI features","KI-Funktionen aktivieren"
"Globally enable or disable all AI-powered features across Mirasvit extensions.<br>When disabled, all AI functionality will be unavailable regardless of individual provider settings or AI settings in other modules.","Aktivieren oder deaktivieren Sie global alle KI-gestützten Funktionen in Mirasvit-Erweiterungen.<br>Bei Deaktivierung sind alle KI-Funktionen unabhängig von individuellen Anbietereinstellungen oder KI-Einstellungen in anderen Modulen nicht verfügbar."
"Default AI provider","Standard-KI-Anbieter"
"Select the primary AI provider to use when multiple providers are configured.<br>This will be used as the fallback provider for all AI operations when no specific provider is requested.","Wählen Sie den primären KI-Anbieter, der verwendet werden soll, wenn mehrere Anbieter konfiguriert sind.<br>Dieser wird als Fallback-Anbieter für alle KI-Operationen verwendet, wenn kein bestimmter Anbieter angefragt wird."
"Request timeout","Anfrage-Timeout"
"Maximum time in seconds to wait for AI provider responses.<br> Leave empty to disable timeout.<br> This setting will affect all AI features in other modules.","Maximale Zeit in Sekunden zum Warten auf KI-Anbieter-Antworten.<br> Leer lassen, um Timeout zu deaktivieren.<br> Diese Einstellung wirkt sich auf alle KI-Funktionen in anderen Modulen aus."
"Maximum tokens per request","Maximale Tokens pro Anfrage"
"Maximum number of tokens to generate in a single AI request. Higher values allow longer responses but increase costs.<br> Leave empty to disable limitation.<br> Different providers and models has their own limits.<br> This setting will affect all AI features in other modules.","Maximale Anzahl von Tokens, die in einer einzelnen KI-Anfrage generiert werden. Höhere Werte ermöglichen längere Antworten, erhöhen aber die Kosten.<br> Leer lassen, um Begrenzung zu deaktivieren.<br> Verschiedene Anbieter und Modelle haben ihre eigenen Limits.<br> Diese Einstellung wirkt sich auf alle KI-Funktionen in anderen Modulen aus."
"Default temperature","Standardtemperatur"
"Controls randomness in AI responses. Lower values produce more consistent results, higher values more creative.<br>Example:<br><code>0.1</code> - very consistent, factual responses<br><code>0.7</code> - balanced creativity and consistency<br><code>1.0</code> - highly creative and varied responses.<br>If empty the default temperature 0.7 will be used.<br>This setting will affect all AI features in other modules.<br>Some extensions might override this setting.","Steuert die Zufälligkeit bei KI-Antworten. Niedrigere Werte erzeugen konsistentere Ergebnisse, höhere Werte kreativere.<br>Beispiel:<br><code>0.1</code> - sehr konsistente, sachliche Antworten<br><code>0.7</code> - ausgewogene Kreativität und Konsistenz<br><code>1.0</code> - hochkreative und vielfältige Antworten.<br>Bei leerem Feld wird die Standardtemperatur 0.7 verwendet.<br>Diese Einstellung wirkt sich auf alle KI-Funktionen in anderen Modulen aus.<br>Einige Erweiterungen können diese Einstellung überschreiben."
"Debug mode","Debug-Modus"
"Enable detailed logging of AI requests and responses for debugging purposes.<br>Warning: This may log sensitive data and impact performance. Use only for development.","Aktivieren Sie die detaillierte Protokollierung von KI-Anfragen und -Antworten für Debugging-Zwecke.<br>Warnung: Dies kann sensible Daten protokollieren und die Leistung beeinträchtigen. Nur für die Entwicklung verwenden."
"OpenAI Configuration","OpenAI-Konfiguration"
"Enable OpenAI provider","OpenAI-Anbieter aktivieren"
"Enable OpenAI as an available AI provider. Requires valid API key configuration.","Aktivieren Sie OpenAI als verfügbaren KI-Anbieter. Erfordert eine gültige API-Schlüssel-Konfiguration."
"OpenAI API key","OpenAI-API-Schlüssel"
"Your OpenAI API key starting with 'sk-'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://platform.openai.com/api-keys"" target=""_blank"">OpenAI API Keys</a>","Ihr OpenAI-API-Schlüssel, beginnend mit 'sk-'. Dieser Schlüssel wird verschlüsselt und sicher gespeichert.<br>Holen Sie sich Ihren API-Schlüssel von: <a href=""https://platform.openai.com/api-keys"" target=""_blank"">OpenAI API Keys</a>"
"Default OpenAI model","Standard-OpenAI-Modell"
"Select the default OpenAI model for AI operations. Different models have varying capabilities and costs.","Wählen Sie das Standard-OpenAI-Modell für KI-Operationen. Verschiedene Modelle haben unterschiedliche Fähigkeiten und Kosten."
"Claude Configuration","Claude-Konfiguration"
"Enable Claude provider","Claude-Anbieter aktivieren"
"Enable Anthropic Claude as an available AI provider. Requires valid API key configuration.","Aktivieren Sie Anthropic Claude als verfügbaren KI-Anbieter. Erfordert eine gültige API-Schlüssel-Konfiguration."
"Claude API key","Claude-API-Schlüssel"
"Your Anthropic Claude API key starting with 'sk-ant-'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://console.anthropic.com/"" target=""_blank"">Anthropic Console</a>","Ihr Anthropic-Claude-API-Schlüssel, beginnend mit 'sk-ant-'. Dieser Schlüssel wird verschlüsselt und sicher gespeichert.<br>Holen Sie sich Ihren API-Schlüssel von: <a href=""https://console.anthropic.com/"" target=""_blank"">Anthropic Console</a>"
"Default Claude model","Standard-Claude-Modell"
"Select the default Claude model for AI operations. Different models have varying capabilities and costs.","Wählen Sie das Standard-Claude-Modell für KI-Operationen. Verschiedene Modelle haben unterschiedliche Fähigkeiten und Kosten."
"Google Gemini Configuration","Google-Gemini-Konfiguration"
"Enable Gemini provider","Gemini-Anbieter aktivieren"
"Enable Google Gemini as an available AI provider. Requires valid API key configuration.","Aktivieren Sie Google Gemini als verfügbaren KI-Anbieter. Erfordert eine gültige API-Schlüssel-Konfiguration."
"Gemini API key","Gemini-API-Schlüssel"
"Your Google AI Studio API key starting with 'AIza'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://aistudio.google.com/app/apikey"" target=""_blank"">Google AI Studio</a>","Ihr Google-AI-Studio-API-Schlüssel, beginnend mit 'AIza'. Dieser Schlüssel wird verschlüsselt und sicher gespeichert.<br>Holen Sie sich Ihren API-Schlüssel von: <a href=""https://aistudio.google.com/app/apikey"" target=""_blank"">Google AI Studio</a>"
"Default Gemini model","Standard-Gemini-Modell"
"Select the default Gemini model for AI operations. Different models have varying capabilities and costs.","Wählen Sie das Standard-Gemini-Modell für KI-Operationen. Verschiedene Modelle haben unterschiedliche Fähigkeiten und Kosten."
"Determine visitor's country, city, and timezone based on their IP address.","Bestimmen Sie Land, Stadt und Zeitzone des Besuchers anhand seiner IP-Adresse."
"Free <a href=""https://www.maxmind.com/en/geolite2/signup"" target=""_blank"">MaxMind account</a> required for automatic updates (checked weekly).","Kostenloses <a href=""https://www.maxmind.com/en/geolite2/signup"" target=""_blank"">MaxMind-Konto</a> erforderlich für automatische Updates (wöchentliche Prüfung)."
"Used by:","Verwendet von:"
message,Nachricht
"Error downloading database: %1","Fehler beim Herunterladen der Datenbank: %1"
"MaxMind credentials not configured","MaxMind-Zugangsdaten nicht konfiguriert"
"Failed to download remote hash","Herunterladen des Remote-Hashs fehlgeschlagen"
"Database is up to date","Datenbank ist aktuell"
"Failed to download and extract database","Herunterladen und Entpacken der Datenbank fehlgeschlagen"
"Database updated successfully","Datenbank erfolgreich aktualisiert"
"Download failed: %1","Download fehlgeschlagen: %1"
"This extension uses GeoLite2 Data created by MaxMind.","Diese Erweiterung verwendet GeoLite2-Daten von MaxMind."
"Database available (auto-update enabled)","Datenbank verfügbar (automatische Aktualisierung aktiviert)"
"Database available (auto-update disabled)","Datenbank verfügbar (automatische Aktualisierung deaktiviert)"
Configure,Konfigurieren
"Database not available","Datenbank nicht verfügbar"
"Database status:","Datenbankstatus:"
"Not available","Nicht verfügbar"
"Credentials configured. Click the button below to download the database.","Zugangsdaten konfiguriert. Klicken Sie auf die Schaltfläche unten, um die Datenbank herunterzuladen."
"Download database","Datenbank herunterladen"
"Enter MaxMind credentials above to enable automatic database downloads, or run setup:upgrade to install the bundled database.","Geben Sie oben die MaxMind-Zugangsdaten ein, um automatische Datenbank-Downloads zu aktivieren, oder führen Sie setup:upgrade aus, um die mitgelieferte Datenbank zu installieren."
"Available (auto-update disabled)","Verfügbar (automatische Aktualisierung deaktiviert)"
Version:,Version:
Size:,Größe:
"Enter MaxMind credentials above to enable automatic weekly updates.","Geben Sie oben die MaxMind-Zugangsdaten ein, um automatische wöchentliche Updates zu aktivieren."
"Available (auto-update enabled)","Verfügbar (automatische Aktualisierung aktiviert)"
"Update database","Datenbank aktualisieren"
"Database updated successfully.","Datenbank erfolgreich aktualisiert."
Notice,Hinweis
"Database is up to date.","Datenbank ist aktuell."
"An error occurred while downloading the database.","Beim Herunterladen der Datenbank ist ein Fehler aufgetreten."
"IP Geolocation","IP-Geolokalisierung"
"Account ID","Konto-ID"
"License Key","Lizenzschlüssel"
"<a href=""https://www.maxmind.com/en/account/license-key"" target=""_blank"">Generate license key</a>","<a href=""https://www.maxmind.com/en/account/license-key"" target=""_blank"">Lizenzschlüssel generieren</a>"
Cron,Cron
Delete,Löschen
"Delete items","Elemente löschen"
"Are you sure you want to delete selected items?","Sind Sie sicher, dass Sie die ausgewählten Elemente löschen möchten?"
ID,ID
Code,Code
Messages,Nachrichten
Created,Erstellt
Scheduled,Geplant
Finished,Beendet
