"%1 service is not properly configured or available","Η υπηρεσία %1 δεν έχει ρυθμιστεί σωστά ή δεν είναι διαθέσιμη"
"Invalid AI request data","Μη έγκυρα δεδομένα αιτήματος AI"
"Request prompt cannot be empty","Το κείμενο του αιτήματος δεν μπορεί να είναι κενό"
"Claude API error","Σφάλμα Claude API"
"Invalid Claude API response: missing content","Μη έγκυρη απάντηση Claude API: λείπει περιεχόμενο"
"Empty content received from Claude API","Λήφθηκε κενό περιεχόμενο από το Claude API"
"Gemini API error","Σφάλμα Gemini API"
"Invalid Gemini API response: missing candidates","Μη έγκυρη απάντηση Gemini API: λείπουν υποψήφιοι"
"Gemini API response was truncated because the max_tokens limit was reached. Consider increasing the max_tokens setting or using a shorter prompt.","Η απάντηση Gemini API περικόπηκε επειδή επιτεύχθηκε το όριο max_tokens. Σκεφτείτε να αυξήσετε τη ρύθμιση max_tokens ή να χρησιμοποιήσετε πιο σύντομο κείμενο."
"Empty content received from Gemini API","Λήφθηκε κενό περιεχόμενο από το Gemini API"
"AI services are disabled in configuration","Οι υπηρεσίες AI είναι απενεργοποιημένες στη διαμόρφωση"
"No default AI provider configured","Δεν έχει ρυθμιστεί προεπιλεγμένος πάροχος AI"
"No available AI provider for request validation","Δεν υπάρχει διαθέσιμος πάροχος AI για επικύρωση αιτήματος"
"Request validation failed: %1","Η επικύρωση αιτήματος απέτυχε: %1"
"All AI providers failed. Last error: %1","Όλοι οι πάροχοι AI απέτυχαν. Τελευταίο σφάλμα: %1"
"Unsupported AI provider: %1. Supported providers: %2","Μη υποστηριζόμενος πάροχος AI: %1. Υποστηριζόμενοι πάροχοι: %2"
"Service class %1 must extend %2","Η κλάση %1 πρέπει να επεκτείνει το %2"
"Failed to create AI service for provider %1: %2","Αποτυχία δημιουργίας υπηρεσίας AI για τον πάροχο %1: %2"
"Not configured","Δεν έχει ρυθμιστεί"
"Unknown","Άγνωστο"
"Unknown API error","Άγνωστο σφάλμα API"
"Temperature must be between 0 and 2","Η θερμοκρασία πρέπει να είναι μεταξύ 0 και 2"
"Max tokens must be greater than 0","Τα μέγιστα tokens πρέπει να είναι μεγαλύτερα από 0"
"Frequency penalty must be between -2 and 2","Η ποινή συχνότητας πρέπει να είναι μεταξύ -2 και 2"
"Format output as JSON.","Μορφοποίηση εξόδου ως JSON."
"OpenAI API returned an incomplete response because the model's context window tokens number was exceeded.","Το OpenAI API επέστρεψε ελλιπή απάντηση επειδή υπερβλήθηκε ο αριθμός tokens του παραθύρου πλαισίου."
"OpenAI API returned no content in the response.","Το OpenAI API δεν επέστρεψε περιεχόμενο στην απάντηση."
"Not Installed","Δεν έχει εγκατασταθεί"
"A total of %1 record(s) have been deleted.","Συνολικά διαγράφηκαν %1 εγγραφή(ές)."
"The record has been removed.","Η εγγραφή αφαιρέθηκε."
"Disallowed file type.","Μη επιτρεπόμενος τύπος αρχείου."
"Can't remove folder %s","Δεν είναι δυνατή η αφαίρεση του φακέλου %s"
"Extension does not contain all necessary files. Please reinstall the extension from original package.","Η επέκταση δεν περιέχει όλα τα απαραίτητα αρχεία. Επανεγκαταστήστε την επέκταση από το αρχικό πακέτο."
"Extension Information","Πληροφορίες επέκτασης"
"Status","Κατάσταση"
"Other","Άλλο"
"Advanced Reports","Advanced Reports"
"Layered Navigation","Layered Navigation"
"Cron for Magento is not running. To setup a cron job, follow the link %1","Το Cron για το Magento δεν εκτελείται. Για να ρυθμίσετε μια εργασία cron, ακολουθήστε τον σύνδεσμο %1"
