"%1 service is not properly configured or available","%1 service is not properly configured or available"
"Invalid AI request data","Invalid AI request data"
"Request prompt cannot be empty","Request prompt cannot be empty"
"Claude API error","Claude API error"
"Invalid Claude API response: missing content","Invalid Claude API response: missing content"
"Empty content received from Claude API","Empty content received from Claude API"
"Gemini API error","Gemini API error"
"Invalid Gemini API response: missing candidates","Invalid Gemini API response: missing candidates"
"Gemini API response was truncated because the max_tokens limit was reached. Consider increasing the max_tokens setting or using a shorter prompt.","Gemini API response was truncated because the max_tokens limit was reached. Consider increasing the max_tokens setting or using a shorter prompt."
"Empty content received from Gemini API","Empty content received from Gemini API"
"AI services are disabled in configuration","AI services are disabled in configuration"
"No default AI provider configured","No default AI provider configured"
"No available AI provider for request validation","No available AI provider for request validation"
"Request validation failed: %1","Request validation failed: %1"
"All AI providers failed. Last error: %1","All AI providers failed. Last error: %1"
"Unsupported AI provider: %1. Supported providers: %2","Unsupported AI provider: %1. Supported providers: %2"
"Service class %1 must extend %2","Service class %1 must extend %2"
"Failed to create AI service for provider %1: %2","Failed to create AI service for provider %1: %2"
"Not configured","Not configured"
"Unknown","Unknown"
"Unknown API error","Unknown API error"
"Temperature must be between 0 and 2","Temperature must be between 0 and 2"
"Max tokens must be greater than 0","Max tokens must be greater than 0"
"Frequency penalty must be between -2 and 2","Frequency penalty must be between -2 and 2"
"Format output as JSON.","Format output as JSON."
"OpenAI API returned an incomplete response because the model's context window tokens number was exceeded.","OpenAI API returned an incomplete response because the model's context window tokens number was exceeded."
"OpenAI API returned no content in the response.","OpenAI API returned no content in the response."
"Not Installed","Not Installed"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"The record has been removed.","The record has been removed."
"Disallowed file type.","Disallowed file type."
"Can't remove folder %s","Can't remove folder %s"
"Extension does not contain all necessary files. Please reinstall the extension from original package.","Extension does not contain all necessary files. Please reinstall the extension from original package."
"Extension Information","Extension Information"
"Status","Status"
"Other","Other"
"Advanced Reports","Advanced Reports"
"Layered Navigation","Layered Navigation"
"Cron for Magento is not running. To setup a cron job, follow the link %1","Cron for Magento is not running. To set up a cron job, follow the link %1"
"Cron jobs [%1] are not running. Please check the table %2 for frozen jobs and remove them.","Cron jobs [%1] are not running. Please check the table %2 for frozen jobs and remove them."
"Remove","Remove"
"Error","Error"
"Missed","Missed"
"Running","Running"
"Pending","Pending"
"Success","Success"
"Server gmt time","Server GMT time"
"Last job","Last job"
"Executed","Executed"
"none","none"
"Cron setup","Cron setup"
"Cron Jobs","Cron Jobs"
"No AI-enabled modules are currently active.","No AI-enabled modules are currently active."
"%1 module(s) using AI functionality:","%1 module(s) using AI functionality:"
"Provider:","Provider:"
"ai_provider","ai_provider"
"You have the latest version","You have the latest version"
"New version %1 is available","New version %1 is available"
"View %1 details (opens in new window)","View %1 details (opens in new window)"
"Details","Details"
"View %1 user guide (opens in new window)","View %1 user guide (opens in new window)"
"User Guide","User Guide"
"View %1 changelog (opens in new window)","View %1 changelog (opens in new window)"
"Changelog","Changelog"
"Request new feature for %1 (opens in new window)","Request new feature for %1 (opens in new window)"
"Request New Feature","Request New Feature"
"Installed Extensions","Installed Extensions"
"Check changes","Check changes"
"Validate All Extensions","Validate All Extensions"
"Suggest Improvement","Suggest Improvement"
"%1 (opens in new window)","%1 (opens in new window)"
"More Details","More Details"
"Developer settings","Developer settings"
"AI Provider Status","AI Provider Status"
"No AI providers are currently enabled. Please configure AI providers in %1.","No AI providers are currently enabled. Please configure AI providers in %1."
"%1 of %2 providers enabled. You can manage providers in %3.","%1 of %2 providers enabled. You can manage providers in %3."
"Enabled","Enabled"
"Disabled","Disabled"
"All tests have been passed","All tests have been passed"
"Module","Module"
"Test","Test"
"How to fix","How to fix"
"Warning","Warning"
"Info","Info"
"Failed","Failed"
"Today","Today"
"Last 7 days","Last 7 days"
"Last 30 days","Last 30 days"
"Last 365 days","Last 365 days"
"Mirasvit Extensions Validator","Mirasvit Extensions Validator"
"Mirasvit Menu","Mirasvit Menu"
"Core","Core"
"Mirasvit","Mirasvit"
"Extensions","Extensions"
"Mirasvit Marketplace","Mirasvit Marketplace"
"Mirasvit Extensions","Mirasvit Extensions"
"Developer","Developer"
"Menu Settings","Menu Settings"
"Enable Mirasvit Menu","Enable Mirasvit Menu"
"The menu is visible, if you have at least two active Mirasvit extensions.","The menu is visible if you have at least two active Mirasvit extensions."
"Additional CSS Styles","Additional CSS Styles"
"AI Configuration","AI Configuration"
"Modules using AI","Modules using AI"
"Enable AI features","Enable AI features"
"Globally enable or disable all AI-powered features across Mirasvit extensions.<br>When disabled, all AI functionality will be unavailable regardless of individual provider settings or AI settings in other modules.","Globally enable or disable all AI-powered features across Mirasvit extensions.<br>When disabled, all AI functionality will be unavailable regardless of individual provider settings or AI settings in other modules."
"Default AI provider","Default AI provider"
"Select the primary AI provider to use when multiple providers are configured.<br>This will be used as the fallback provider for all AI operations when no specific provider is requested.","Select the primary AI provider to use when multiple providers are configured.<br>This will be used as the fallback provider for all AI operations when no specific provider is requested."
"Request timeout","Request timeout"
"Maximum time in seconds to wait for AI provider responses.<br> Leave empty to disable timeout.<br> This setting will affect all AI features in other modules.","Maximum time in seconds to wait for AI provider responses.<br> Leave empty to disable timeout.<br> This setting will affect all AI features in other modules."
"Maximum tokens per request","Maximum tokens per request"
"Maximum number of tokens to generate in a single AI request. Higher values allow longer responses but increase costs.<br> Leave empty to disable limitation.<br> Different providers and models has their own limits.<br> This setting will affect all AI features in other modules.","Maximum number of tokens to generate in a single AI request. Higher values allow longer responses but increase costs.<br> Leave empty to disable limitation.<br> Different providers and models have their own limits.<br> This setting will affect all AI features in other modules."
"Default temperature","Default temperature"
"Controls randomness in AI responses. Lower values produce more consistent results, higher values more creative.<br>Example:<br><code>0.1</code> - very consistent, factual responses<br><code>0.7</code> - balanced creativity and consistency<br><code>1.0</code> - highly creative and varied responses.<br>If empty the default temperature 0.7 will be used.<br>This setting will affect all AI features in other modules.<br>Some extensions might override this setting.","Controls randomness in AI responses. Lower values produce more consistent results, higher values more creative.<br>Example:<br><code>0.1</code> - very consistent, factual responses<br><code>0.7</code> - balanced creativity and consistency<br><code>1.0</code> - highly creative and varied responses.<br>If empty the default temperature 0.7 will be used.<br>This setting will affect all AI features in other modules.<br>Some extensions might override this setting."
"Debug mode","Debug mode"
"Enable detailed logging of AI requests and responses for debugging purposes.<br>Warning: This may log sensitive data and impact performance. Use only for development.","Enable detailed logging of AI requests and responses for debugging purposes.<br>Warning: This may log sensitive data and impact performance. Use only for development."
"OpenAI Configuration","OpenAI Configuration"
"Enable OpenAI provider","Enable OpenAI provider"
"Enable OpenAI as an available AI provider. Requires valid API key configuration.","Enable OpenAI as an available AI provider. Requires valid API key configuration."
"OpenAI API key","OpenAI API key"
"Your OpenAI API key starting with 'sk-'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://platform.openai.com/api-keys"" target=""_blank"">OpenAI API Keys</a>","Your OpenAI API key starting with 'sk-'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://platform.openai.com/api-keys"" target=""_blank"">OpenAI API Keys</a>"
"Default OpenAI model","Default OpenAI model"
"Select the default OpenAI model for AI operations. Different models have varying capabilities and costs.","Select the default OpenAI model for AI operations. Different models have varying capabilities and costs."
"Claude Configuration","Claude Configuration"
"Enable Claude provider","Enable Claude provider"
"Enable Anthropic Claude as an available AI provider. Requires valid API key configuration.","Enable Anthropic Claude as an available AI provider. Requires valid API key configuration."
"Claude API key","Claude API key"
"Your Anthropic Claude API key starting with 'sk-ant-'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://console.anthropic.com/"" target=""_blank"">Anthropic Console</a>","Your Anthropic Claude API key starting with 'sk-ant-'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://console.anthropic.com/"" target=""_blank"">Anthropic Console</a>"
"Default Claude model","Default Claude model"
"Select the default Claude model for AI operations. Different models have varying capabilities and costs.","Select the default Claude model for AI operations. Different models have varying capabilities and costs."
"Google Gemini Configuration","Google Gemini Configuration"
"Enable Gemini provider","Enable Gemini provider"
"Enable Google Gemini as an available AI provider. Requires valid API key configuration.","Enable Google Gemini as an available AI provider. Requires valid API key configuration."
"Gemini API key","Gemini API key"
"Your Google AI Studio API key starting with 'AIza'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://aistudio.google.com/app/apikey"" target=""_blank"">Google AI Studio</a>","Your Google AI Studio API key starting with 'AIza'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://aistudio.google.com/app/apikey"" target=""_blank"">Google AI Studio</a>"
"Default Gemini model","Default Gemini model"
"Select the default Gemini model for AI operations. Different models have varying capabilities and costs.","Select the default Gemini model for AI operations. Different models have varying capabilities and costs."
"Determine visitor's country, city, and timezone based on their IP address.","Determine visitor's country, city, and timezone based on their IP address."
"Free <a href=""https://www.maxmind.com/en/geolite2/signup"" target=""_blank"">MaxMind account</a> required for automatic updates (checked weekly).","Free <a href=""https://www.maxmind.com/en/geolite2/signup"" target=""_blank"">MaxMind account</a> required for automatic updates (checked weekly)."
"Used by:","Used by:"
message,message
"Error downloading database: %1","Error downloading database: %1"
"MaxMind credentials not configured","MaxMind credentials not configured"
"Failed to download remote hash","Failed to download remote hash"
"Database is up to date","Database is up to date"
"Failed to download and extract database","Failed to download and extract database"
"Database updated successfully","Database updated successfully"
"Download failed: %1","Download failed: %1"
"This extension uses GeoLite2 Data created by MaxMind.","This extension uses GeoLite2 Data created by MaxMind."
"Database available (auto-update enabled)","Database available (auto-update enabled)"
"Database available (auto-update disabled)","Database available (auto-update disabled)"
Configure,Configure
"Database not available","Database not available"
"Database status:","Database status:"
"Not available","Not available"
"Credentials configured. Click the button below to download the database.","Credentials configured. Click the button below to download the database."
"Download database","Download database"
"Enter MaxMind credentials above to enable automatic database downloads, or run setup:upgrade to install the bundled database.","Enter MaxMind credentials above to enable automatic database downloads, or run setup:upgrade to install the bundled database."
