"%1 service is not properly configured or available","Teenus %1 pole õigesti seadistatud või pole saadaval"
"Invalid AI request data","Vigased AI päringu andmed"
"Request prompt cannot be empty","Päringu tekst ei saa olla tühi"
"Claude API error","Claude API viga"
"Invalid Claude API response: missing content","Vigane Claude API vastus: sisu puudub"
"Empty content received from Claude API","Claude API-lt saadi tühi sisu"
"Gemini API error","Gemini API viga"
"Invalid Gemini API response: missing candidates","Vigane Gemini API vastus: kandidaadid puuduvad"
"Gemini API response was truncated because the max_tokens limit was reached. Consider increasing the max_tokens setting or using a shorter prompt.","Gemini API vastus kärbiti, kuna max_tokens piirang saavutati. Kaaluge max_tokens seadistuse suurendamist või lühema teksti kasutamist."
"Empty content received from Gemini API","Gemini API-lt saadi tühi sisu"
"AI services are disabled in configuration","AI teenused on konfiguratsioonis keelatud"
"No default AI provider configured","Vaikimisi AI pakkuja pole seadistatud"
"No available AI provider for request validation","Päringu valideerimiseks pole AI pakkujat saadaval"
"Request validation failed: %1","Päringu valideerimine ebaõnnestus: %1"
"All AI providers failed. Last error: %1","Kõik AI pakkujad ebaõnnestusid. Viimane viga: %1"
"Unsupported AI provider: %1. Supported providers: %2","Toetamata AI pakkuja: %1. Toetatud pakkujad: %2"
"Service class %1 must extend %2","Klass %1 peab laiendama %2"
"Failed to create AI service for provider %1: %2","AI teenuse loomine pakkujale %1 ebaõnnestus: %2"
"Not configured","Pole seadistatud"
"Unknown","Tundmatu"
"Unknown API error","Tundmatu API viga"
"Temperature must be between 0 and 2","Temperatuur peab olema vahemikus 0 kuni 2"
"Max tokens must be greater than 0","Maksimaalne tokenite arv peab olema suurem kui 0"
"Frequency penalty must be between -2 and 2","Sageduse karistus peab olema vahemikus -2 kuni 2"
"Format output as JSON.","Vorminda väljund JSON-ina."
"OpenAI API returned an incomplete response because the model's context window tokens number was exceeded.","OpenAI API tagastas mittetäieliku vastuse, kuna kontekstiakna tokenite arv ületati."
"OpenAI API returned no content in the response.","OpenAI API ei tagastanud vastuses sisu."
"Not Installed","Pole paigaldatud"
"A total of %1 record(s) have been deleted.","Kokku kustutati %1 kirje(t)."
"The record has been removed.","Kirje on eemaldatud."
"Disallowed file type.","Keelatud failitüüp."
"Can't remove folder %s","Kausta %s ei saa eemaldada"
"Extension does not contain all necessary files. Please reinstall the extension from original package.","Laiendus ei sisalda kõiki vajalikke faile. Palun installige laiendus originaalpaketist uuesti."
"Extension Information","Laienduse teave"
"Status","Olek"
"Other","Muu"
"Advanced Reports","Advanced Reports"
"Layered Navigation","Layered Navigation"
"Cron for Magento is not running. To setup a cron job, follow the link %1","Magento Cron ei tööta. Cron-töö seadistamiseks järgige linki %1"
"Cron jobs [%1] are not running. Please check the table %2 for frozen jobs and remove them.","Cron-tööd [%1] ei tööta. Palun kontrollige tabelit %2 külmunud tööde osas ja eemaldage need."
"Remove","Eemalda"
"Error","Viga"
"Missed","Vahele jäänud"
"Running","Töötab"
"Pending","Ootel"
"Success","Edukas"
"Server gmt time","Serveri GMT aeg"
"Last job","Viimane töö"
"Executed","Käivitatud"
"none","puudub"
"Cron setup","Cron seadistus"
"Cron Jobs","Cron-tööd"
"No AI-enabled modules are currently active.","Hetkel pole AI-toega mooduleid aktiivsed."
"%1 module(s) using AI functionality:","%1 moodul(it) kasutab AI funktsionaalsust:"
"Provider:","Pakkuja:"
"ai_provider","ai_provider"
"You have the latest version","Teil on uusim versioon"
"New version %1 is available","Uus versioon %1 on saadaval"
"View %1 details (opens in new window)","Vaata %1 üksikasju (avaneb uues aknas)"
"Details","Üksikasjad"
"View %1 user guide (opens in new window)","Vaata %1 kasutusjuhendit (avaneb uues aknas)"
"User Guide","Kasutusjuhend"
"View %1 changelog (opens in new window)","Vaata %1 muudatuste logi (avaneb uues aknas)"
"Changelog","Muudatuste logi"
"Request new feature for %1 (opens in new window)","Taotle uut funktsiooni %1 jaoks (avaneb uues aknas)"
"Request New Feature","Taotle uut funktsiooni"
"Installed Extensions","Paigaldatud laiendused"
"Check changes","Kontrolli muudatusi"
"Validate All Extensions","Valideeri kõik laiendused"
"Suggest Improvement","Soovita täiustust"
"%1 (opens in new window)","%1 (avaneb uues aknas)"
"More Details","Rohkem üksikasju"
"Developer settings","Arendaja seaded"
"AI Provider Status","AI pakkuja olek"
"No AI providers are currently enabled. Please configure AI providers in %1.","Hetkel pole AI pakkujaid lubatud. Palun seadistage AI pakkujad %1."
"%1 of %2 providers enabled. You can manage providers in %3.","%1 %2-st pakkujast lubatud. Saate hallata pakkujaid %3."
"Enabled","Lubatud"
"Disabled","Keelatud"
"All tests have been passed","Kõik testid on läbitud"
"Module","Moodul"
"Test","Test"
"How to fix","Kuidas parandada"
"Warning","Hoiatus"
"Info","Teave"
"Failed","Ebaõnnestus"
"Today","Täna"
"Last 7 days","Viimased 7 päeva"
"Last 30 days","Viimased 30 päeva"
"Last 365 days","Viimased 365 päeva"
"Mirasvit Extensions Validator","Mirasvit laienduste valideerija"
"Mirasvit Menu","Mirasvit menüü"
"Core","Core"
"Mirasvit","Mirasvit"
"Extensions","Laiendused"
"Mirasvit Marketplace","Mirasvit Marketplace"
"Mirasvit Extensions","Mirasvit laiendused"
"Developer","Arendaja"
"Menu Settings","Menüü seaded"
"Enable Mirasvit Menu","Luba Mirasvit menüü"
"The menu is visible, if you have at least two active Mirasvit extensions.","Menüü on nähtav, kui teil on vähemalt kaks aktiivset Mirasvit laiendust."
"Additional CSS Styles","Täiendavad CSS stiilid"
"AI Configuration","AI konfiguratsioon"
"Modules using AI","AI-d kasutavad moodulid"
"Enable AI features","Luba AI funktsioonid"
"Globally enable or disable all AI-powered features across Mirasvit extensions.<br>When disabled, all AI functionality will be unavailable regardless of individual provider settings or AI settings in other modules.","Lubab või keelab globaalselt kõik AI-põhised funktsioonid Mirasvit laiendustes.<br>Keelamisel on kõik AI funktsioonid kättesaamatud sõltumata üksikute pakkujate seadetest või AI seadetest teistes moodulites."
"Default AI provider","Vaikimisi AI pakkuja"
"Select the primary AI provider to use when multiple providers are configured.<br>This will be used as the fallback provider for all AI operations when no specific provider is requested.","Valige peamine AI pakkuja, mida kasutada mitme pakkuja seadistamisel.<br>Seda kasutatakse varumispakkujana kõigi AI toimingute jaoks, kui konkreetset pakkujat ei taotleta."
"Request timeout","Päringu aegumine"
"Maximum time in seconds to wait for AI provider responses.<br> Leave empty to disable timeout.<br> This setting will affect all AI features in other modules.","Maksimaalne aeg sekundites AI pakkuja vastuste ootamiseks.<br> Jätke tühjaks aegumise keelamiseks.<br> See seadistus mõjutab kõiki AI funktsioone teistes moodulites."
"Maximum tokens per request","Maksimaalne tokenite arv päringu kohta"
"Maximum number of tokens to generate in a single AI request. Higher values allow longer responses but increase costs.<br> Leave empty to disable limitation.<br> Different providers and models has their own limits.<br> This setting will affect all AI features in other modules.","Maksimaalne genereeritavate tokenite arv ühe AI päringu kohta. Suuremad väärtused võimaldavad pikemaid vastuseid, kuid suurendavad kulusid.<br> Jätke tühjaks piirangu keelamiseks.<br> Erinevatel pakkujatel ja mudelitel on oma piirangud.<br> See seadistus mõjutab kõiki AI funktsioone teistes moodulites."
"Default temperature","Vaikimisi temperatuur"
"Controls randomness in AI responses. Lower values produce more consistent results, higher values more creative.<br>Example:<br><code>0.1</code> - very consistent, factual responses<br><code>0.7</code> - balanced creativity and consistency<br><code>1.0</code> - highly creative and varied responses.<br>If empty the default temperature 0.7 will be used.<br>This setting will affect all AI features in other modules.<br>Some extensions might override this setting.","Juhib AI vastuste juhuslikkust. Madalamad väärtused annavad järjepidevamaid tulemusi, kõrgemad loovamaid.<br>Näide:<br><code>0.1</code> - väga järjepidevad, faktilised vastused<br><code>0.7</code> - tasakaalustatud loovus ja järjepidevus<br><code>1.0</code> - väga loovad ja mitmekesised vastused.<br>Kui tühi, kasutatakse vaikimisi temperatuuri 0.7.<br>See seadistus mõjutab kõiki AI funktsioone teistes moodulites.<br>Mõned laiendused võivad selle seadistuse alistada."
"Debug mode","Silumisrežiim"
"Enable detailed logging of AI requests and responses for debugging purposes.<br>Warning: This may log sensitive data and impact performance. Use only for development.","Lubab AI päringute ja vastuste üksikasjaliku logimise silumise eesmärgil.<br>Hoiatus: See võib logida tundlikke andmeid ja mõjutada jõudlust. Kasutage ainult arenduseks."
"OpenAI Configuration","OpenAI konfiguratsioon"
"Enable OpenAI provider","Luba OpenAI pakkuja"
"Enable OpenAI as an available AI provider. Requires valid API key configuration.","Lubab OpenAI saadaval oleva AI pakkujana. Nõuab kehtivat API võtme konfiguratsiooni."
"OpenAI API key","OpenAI API võti"
