"%1 service is not properly configured or available","%1 सेवा ठीक से कॉन्फ़िगर नहीं है या उपलब्ध नहीं है"
"Invalid AI request data","अमान्य AI अनुरोध डेटा"
"Request prompt cannot be empty","अनुरोध प्रॉम्प्ट खाली नहीं हो सकता"
"Claude API error","Claude API त्रुटि"
"Invalid Claude API response: missing content","अमान्य Claude API प्रतिक्रिया: सामग्री गायब है"
"Empty content received from Claude API","Claude API से खाली सामग्री प्राप्त हुई"
"Gemini API error","Gemini API त्रुटि"
"Invalid Gemini API response: missing candidates","अमान्य Gemini API प्रतिक्रिया: उम्मीदवार गायब हैं"
"Gemini API response was truncated because the max_tokens limit was reached. Consider increasing the max_tokens setting or using a shorter prompt.","Gemini API प्रतिक्रिया काट दी गई क्योंकि max_tokens सीमा पूरी हो गई। max_tokens सेटिंग बढ़ाने या छोटे प्रॉम्प्ट का उपयोग करने पर विचार करें।"
"Empty content received from Gemini API","Gemini API से खाली सामग्री प्राप्त हुई"
"AI services are disabled in configuration","कॉन्फ़िगरेशन में AI सेवाएं अक्षम हैं"
"No default AI provider configured","कोई डिफ़ॉल्ट AI प्रदाता कॉन्फ़िगर नहीं है"
"No available AI provider for request validation","अनुरोध सत्यापन के लिए कोई AI प्रदाता उपलब्ध नहीं है"
"Request validation failed: %1","अनुरोध सत्यापन विफल: %1"
"All AI providers failed. Last error: %1","सभी AI प्रदाता विफल रहे। अंतिम त्रुटि: %1"
"Unsupported AI provider: %1. Supported providers: %2","असमर्थित AI प्रदाता: %1। समर्थित प्रदाता: %2"
"Service class %1 must extend %2","सेवा वर्ग %1 को %2 का विस्तार करना होगा"
"Failed to create AI service for provider %1: %2","प्रदाता %1 के लिए AI सेवा बनाने में विफल: %2"
"Not configured","कॉन्फ़िगर नहीं है"
Unknown,अज्ञात
"Unknown API error","अज्ञात API त्रुटि"
"Temperature must be between 0 and 2","तापमान 0 और 2 के बीच होना चाहिए"
"Max tokens must be greater than 0","अधिकतम टोकन 0 से अधिक होने चाहिए"
"Frequency penalty must be between -2 and 2","फ्रीक्वेंसी पेनल्टी -2 और 2 के बीच होनी चाहिए"
"Format output as JSON.","आउटपुट को JSON के रूप में फॉर्मेट करें।"
"OpenAI API returned an incomplete response because the model's context window tokens number was exceeded.","OpenAI API ने अपूर्ण प्रतिक्रिया लौटाई क्योंकि मॉडल की संदर्भ विंडो टोकन संख्या पार हो गई।"
"OpenAI API returned no content in the response.","OpenAI API ने प्रतिक्रिया में कोई सामग्री नहीं लौटाई।"
"Not Installed","इंस्टॉल नहीं है"
"A total of %1 record(s) have been deleted.","कुल %1 रिकॉर्ड हटा दिए गए हैं।"
"The record has been removed.","रिकॉर्ड हटा दिया गया है।"
"Disallowed file type.","अस्वीकृत फ़ाइल प्रकार।"
"Can't remove folder %s","फ़ोल्डर %s नहीं हटा सकते"
"Extension does not contain all necessary files. Please reinstall the extension from original package.","एक्सटेंशन में सभी आवश्यक फ़ाइलें नहीं हैं। कृपया मूल पैकेज से एक्सटेंशन पुनः इंस्टॉल करें।"
"Extension Information","एक्सटेंशन जानकारी"
Status,स्थिति
Other,अन्य
"Advanced Reports","Advanced Reports"
"Layered Navigation","Layered Navigation"
"Cron for Magento is not running. To setup a cron job, follow the link %1","Magento के लिए Cron नहीं चल रहा है। Cron जॉब सेट करने के लिए, लिंक %1 का अनुसरण करें"
"Cron jobs [%1] are not running. Please check the table %2 for frozen jobs and remove them.","Cron जॉब [%1] नहीं चल रहे हैं। कृपया फ्रोज़न जॉब के लिए टेबल %2 की जाँच करें और उन्हें हटाएं।"
Remove,हटाएं
Error,त्रुटि
Missed,छूटा
Running,चल रहा है
Pending,लंबित
Success,सफलता
"Server gmt time","सर्वर GMT समय"
"Last job","अंतिम जॉब"
Executed,निष्पादित
none,कोई नहीं
"Cron setup","Cron सेटअप"
"Cron Jobs","Cron जॉब्स"
"No AI-enabled modules are currently active.","वर्तमान में कोई AI-सक्षम मॉड्यूल सक्रिय नहीं है।"
"%1 module(s) using AI functionality:","%1 मॉड्यूल AI कार्यक्षमता का उपयोग कर रहे हैं:"
Provider:,प्रदाता:
ai_provider,ai_provider
"You have the latest version","आपके पास नवीनतम संस्करण है"
"New version %1 is available","नया संस्करण %1 उपलब्ध है"
"View %1 details (opens in new window)","%1 विवरण देखें (नई विंडो में खुलता है)"
Details,विवरण
"View %1 user guide (opens in new window)","%1 उपयोगकर्ता गाइड देखें (नई विंडो में खुलता है)"
"User Guide","उपयोगकर्ता गाइड"
"View %1 changelog (opens in new window)","%1 चेंजलॉग देखें (नई विंडो में खुलता है)"
Changelog,चेंजलॉग
"Request new feature for %1 (opens in new window)","%1 के लिए नई सुविधा का अनुरोध करें (नई विंडो में खुलता है)"
"Request New Feature","नई सुविधा का अनुरोध करें"
"Installed Extensions","इंस्टॉल किए गए एक्सटेंशन"
"Check changes","परिवर्तन जाँचें"
"Validate All Extensions","सभी एक्सटेंशन सत्यापित करें"
"Suggest Improvement","सुधार सुझाएं"
"%1 (opens in new window)","%1 (नई विंडो में खुलता है)"
"More Details","अधिक विवरण"
"Developer settings","डेवलपर सेटिंग्स"
"AI Provider Status","AI प्रदाता स्थिति"
"No AI providers are currently enabled. Please configure AI providers in %1.","वर्तमान में कोई AI प्रदाता सक्षम नहीं है। कृपया %1 में AI प्रदाताओं को कॉन्फ़िगर करें।"
"%1 of %2 providers enabled. You can manage providers in %3.","%2 में से %1 प्रदाता सक्षम हैं। आप %3 में प्रदाताओं का प्रबंधन कर सकते हैं।"
Enabled,सक्षम
Disabled,अक्षम
"All tests have been passed","सभी परीक्षण पास हो गए"
Module,मॉड्यूल
Test,परीक्षण
"How to fix","कैसे ठीक करें"
Warning,चेतावनी
Info,जानकारी
Failed,विफल
Today,आज
"Last 7 days","पिछले 7 दिन"
"Last 30 days","पिछले 30 दिन"
"Last 365 days","पिछले 365 दिन"
"Mirasvit Extensions Validator","Mirasvit एक्सटेंशन वैलिडेटर"
"Mirasvit Menu","Mirasvit मेनू"
Core,Core
Mirasvit,Mirasvit
Extensions,एक्सटेंशन
"Mirasvit Marketplace","Mirasvit Marketplace"
"Mirasvit Extensions","Mirasvit एक्सटेंशन"
Developer,डेवलपर
"Menu Settings","मेनू सेटिंग्स"
"Enable Mirasvit Menu","Mirasvit मेनू सक्षम करें"
"The menu is visible, if you have at least two active Mirasvit extensions.","यदि आपके पास कम से कम दो सक्रिय Mirasvit एक्सटेंशन हैं तो मेनू दिखाई देता है।"
"Additional CSS Styles","अतिरिक्त CSS स्टाइल्स"
"AI Configuration","AI कॉन्फ़िगरेशन"
"Modules using AI","AI का उपयोग करने वाले मॉड्यूल"
