"%1 service is not properly configured or available","%1 서비스가 올바르게 구성되지 않았거나 사용할 수 없습니다"
"Invalid AI request data","잘못된 AI 요청 데이터"
"Request prompt cannot be empty","요청 프롬프트는 비워둘 수 없습니다"
"Claude API error","Claude API 오류"
"Invalid Claude API response: missing content","잘못된 Claude API 응답: 콘텐츠 누락"
"Empty content received from Claude API","Claude API에서 빈 콘텐츠를 수신했습니다"
"Gemini API error","Gemini API 오류"
"Invalid Gemini API response: missing candidates","잘못된 Gemini API 응답: 후보 누락"
"Gemini API response was truncated because the max_tokens limit was reached. Consider increasing the max_tokens setting or using a shorter prompt.","max_tokens 제한에 도달하여 Gemini API 응답이 잘렸습니다. max_tokens 설정을 늘리거나 더 짧은 프롬프트를 사용하세요."
"Empty content received from Gemini API","Gemini API에서 빈 콘텐츠를 수신했습니다"
"AI services are disabled in configuration","구성에서 AI 서비스가 비활성화되어 있습니다"
"No default AI provider configured","기본 AI 공급자가 구성되지 않았습니다"
"No available AI provider for request validation","요청 검증에 사용할 수 있는 AI 공급자가 없습니다"
"Request validation failed: %1","요청 검증 실패: %1"
"All AI providers failed. Last error: %1","모든 AI 공급자가 실패했습니다. 마지막 오류: %1"
"Unsupported AI provider: %1. Supported providers: %2","지원되지 않는 AI 공급자: %1. 지원되는 공급자: %2"
"Service class %1 must extend %2","서비스 클래스 %1은 %2를 확장해야 합니다"
"Failed to create AI service for provider %1: %2","공급자 %1에 대한 AI 서비스 생성 실패: %2"
"Not configured","구성되지 않음"
Unknown,알 수 없음
"Unknown API error","알 수 없는 API 오류"
"Temperature must be between 0 and 2","온도는 0에서 2 사이여야 합니다"
"Max tokens must be greater than 0","최대 토큰 수는 0보다 커야 합니다"
"Frequency penalty must be between -2 and 2","빈도 페널티는 -2에서 2 사이여야 합니다"
"Format output as JSON.","출력을 JSON으로 포맷합니다."
"OpenAI API returned an incomplete response because the model's context window tokens number was exceeded.","모델의 컨텍스트 창 토큰 수가 초과되어 OpenAI API가 불완전한 응답을 반환했습니다."
"OpenAI API returned no content in the response.","OpenAI API가 응답에 콘텐츠를 반환하지 않았습니다."
"Not Installed","설치되지 않음"
"A total of %1 record(s) have been deleted.","총 %1개의 레코드가 삭제되었습니다."
"The record has been removed.","레코드가 삭제되었습니다."
"Disallowed file type.","허용되지 않는 파일 유형입니다."
"Can't remove folder %s","폴더 %s를 삭제할 수 없습니다"
"Extension does not contain all necessary files. Please reinstall the extension from original package.","확장 프로그램에 필요한 모든 파일이 포함되어 있지 않습니다. 원본 패키지에서 확장 프로그램을 다시 설치하세요."
"Extension Information","확장 프로그램 정보"
Status,상태
Other,기타
"Advanced Reports","Advanced Reports"
"Layered Navigation","Layered Navigation"
"Cron for Magento is not running. To setup a cron job, follow the link %1","Magento용 Cron이 실행되지 않습니다. Cron 작업을 설정하려면 링크 %1을 참조하세요"
"Cron jobs [%1] are not running. Please check the table %2 for frozen jobs and remove them.","Cron 작업 [%1]이 실행되지 않습니다. 테이블 %2에서 중단된 작업을 확인하고 삭제하세요."
Remove,삭제
Error,오류
Missed,누락
Running,실행 중
Pending,대기 중
Success,성공
"Server gmt time","서버 GMT 시간"
"Last job","마지막 작업"
Executed,실행됨
none,없음
"Cron setup","Cron 설정"
"Cron Jobs","Cron 작업"
"No AI-enabled modules are currently active.","현재 AI 지원 모듈이 활성화되어 있지 않습니다."
"%1 module(s) using AI functionality:","%1개의 모듈이 AI 기능을 사용하고 있습니다:"
Provider:,공급자:
ai_provider,ai_provider
"You have the latest version","최신 버전입니다"
"New version %1 is available","새 버전 %1을 사용할 수 있습니다"
