"%1 service is not properly configured or available","%1 paslauga netinkamai sukonfigūruota arba nepasiekiama"
"Invalid AI request data","Neteisingi AI užklausos duomenys"
"Request prompt cannot be empty","Užklausos raginimasas negali būti tuščias"
"Claude API error","Claude API klaida"
"Invalid Claude API response: missing content","Neteisingas Claude API atsakymas: trūksta turinio"
"Empty content received from Claude API","Gautas tuščias turinys iš Claude API"
"Gemini API error","Gemini API klaida"
"Invalid Gemini API response: missing candidates","Neteisingas Gemini API atsakymas: trūksta kandidatų"
"Gemini API response was truncated because the max_tokens limit was reached. Consider increasing the max_tokens setting or using a shorter prompt.","Gemini API atsakymas buvo sutrumpintas, nes pasiekta max_tokens riba. Apsvarstykite max_tokens nustatymo padidinimą arba naudokite trumpesnį raginimą."
"Empty content received from Gemini API","Gautas tuščias turinys iš Gemini API"
"AI services are disabled in configuration","AI paslaugos išjungtos konfigūracijoje"
"No default AI provider configured","Nesukonfigūruotas numatytasis AI teikėjas"
"No available AI provider for request validation","Nėra prieinamo AI teikėjo užklausos patvirtinimui"
"Request validation failed: %1","Užklausos patvirtinimas nepavyko: %1"
"All AI providers failed. Last error: %1","Visi AI teikėjai nepavyko. Paskutinė klaida: %1"
"Unsupported AI provider: %1. Supported providers: %2","Nepalaikomas AI teikėjas: %1. Palaikomi teikėjai: %2"
"Service class %1 must extend %2","Paslaugos klasė %1 turi išplėsti %2"
"Failed to create AI service for provider %1: %2","Nepavyko sukurti AI paslaugos teikėjui %1: %2"
"Not configured","Nesukonfigūruota"
Unknown,Nežinoma
"Unknown API error","Nežinoma API klaida"
"Temperature must be between 0 and 2","Temperatūra turi būti tarp 0 ir 2"
"Max tokens must be greater than 0","Maksimalus žetonų skaičius turi būti didesnis nei 0"
"Frequency penalty must be between -2 and 2","Dažnio bauda turi būti tarp -2 ir 2"
"Format output as JSON.","Formatuoti išvestį kaip JSON."
"OpenAI API returned an incomplete response because the model's context window tokens number was exceeded.","OpenAI API grąžino nepilną atsakymą, nes buvo viršytas modelio konteksto lango žetonų skaičius."
"OpenAI API returned no content in the response.","OpenAI API negrąžino turinio atsakyme."
"Not Installed","Neįdiegta"
"A total of %1 record(s) have been deleted.","Iš viso ištrinta %1 įrašų."
"The record has been removed.","Įrašas buvo pašalintas."
"Disallowed file type.","Neleistinas failo tipas."
"Can't remove folder %s","Nepavyksta pašalinti aplanko %s"
"Extension does not contain all necessary files. Please reinstall the extension from original package.","Plėtinys neturi visų reikiamų failų. Įdiekite plėtinį iš naujo iš originalaus paketo."
"Extension Information","Plėtinio informacija"
Status,Būsena
Other,Kita
"Advanced Reports","Advanced Reports"
"Layered Navigation","Layered Navigation"
"Cron for Magento is not running. To setup a cron job, follow the link %1","Cron Magento neveikia. Norėdami nustatyti cron užduotį, sekite nuorodą %1"
"Cron jobs [%1] are not running. Please check the table %2 for frozen jobs and remove them.","Cron užduotys [%1] neveikia. Patikrinkite lentelę %2 dėl sustingusių užduočių ir pašalinkite jas."
Remove,Pašalinti
Error,Klaida
Missed,Praleista
Running,Vykdoma
Pending,Laukiama
Success,Sėkmė
"Server gmt time","Serverio GMT laikas"
"Last job","Paskutinė užduotis"
Executed,Įvykdyta
none,nėra
"Cron setup","Cron nustatymas"
"Cron Jobs","Cron užduotys"
"No AI-enabled modules are currently active.","Šiuo metu nėra aktyvių AI palaikančių modulių."
"%1 module(s) using AI functionality:","%1 modulis(-iai) naudoja AI funkcionalumą:"
Provider:,Teikėjas:
ai_provider,ai_provider
"You have the latest version","Turite naujausią versiją"
"New version %1 is available","Prieinama nauja versija %1"
"View %1 details (opens in new window)","Peržiūrėti %1 detales (atsidaro naujame lange)"
Details,Detalės
"View %1 user guide (opens in new window)","Peržiūrėti %1 vartotojo vadovą (atsidaro naujame lange)"
"User Guide","Vartotojo vadovas"
"View %1 changelog (opens in new window)","Peržiūrėti %1 pakeitimų žurnalą (atsidaro naujame lange)"
Changelog,Pakeitimų žurnalas
"Request new feature for %1 (opens in new window)","Prašyti naujos funkcijos %1 (atsidaro naujame lange)"
