"%1 service is not properly configured or available","O serviço %1 não está configurado corretamente ou não está disponível"
"Invalid AI request data","Dados de requisição de IA inválidos"
"Request prompt cannot be empty","O prompt da requisição não pode estar vazio"
"Claude API error","Erro da API Claude"
"Invalid Claude API response: missing content","Resposta da API Claude inválida: conteúdo ausente"
"Empty content received from Claude API","Conteúdo vazio recebido da API Claude"
"Gemini API error","Erro da API Gemini"
"Invalid Gemini API response: missing candidates","Resposta da API Gemini inválida: candidatos ausentes"
"Gemini API response was truncated because the max_tokens limit was reached. Consider increasing the max_tokens setting or using a shorter prompt.","A resposta da API Gemini foi truncada porque o limite max_tokens foi atingido. Considere aumentar a configuração max_tokens ou usar um prompt mais curto."
"Empty content received from Gemini API","Conteúdo vazio recebido da API Gemini"
"AI services are disabled in configuration","Os serviços de IA estão desabilitados na configuração"
"No default AI provider configured","Nenhum provedor de IA padrão configurado"
"No available AI provider for request validation","Nenhum provedor de IA disponível para validação de requisição"
"Request validation failed: %1","A validação da requisição falhou: %1"
"All AI providers failed. Last error: %1","Todos os provedores de IA falharam. Último erro: %1"
"Unsupported AI provider: %1. Supported providers: %2","Provedor de IA não suportado: %1. Provedores suportados: %2"
"Service class %1 must extend %2","A classe de serviço %1 deve estender %2"
"Failed to create AI service for provider %1: %2","Falha ao criar serviço de IA para o provedor %1: %2"
"Not configured","Não configurado"
Unknown,Desconhecido
"Unknown API error","Erro de API desconhecido"
"Temperature must be between 0 and 2","A temperatura deve estar entre 0 e 2"
"Max tokens must be greater than 0","O máximo de tokens deve ser maior que 0"
"Frequency penalty must be between -2 and 2","A penalidade de frequência deve estar entre -2 e 2"
"Format output as JSON.","Formatar saída como JSON."
"OpenAI API returned an incomplete response because the model's context window tokens number was exceeded.","A API OpenAI retornou uma resposta incompleta porque o número de tokens da janela de contexto do modelo foi excedido."
"OpenAI API returned no content in the response.","A API OpenAI não retornou conteúdo na resposta."
"Not Installed","Não instalado"
"A total of %1 record(s) have been deleted.","Um total de %1 registro(s) foi excluído."
"The record has been removed.","O registro foi removido."
"Disallowed file type.","Tipo de arquivo não permitido."
"Can't remove folder %s","Não é possível remover a pasta %s"
"Extension does not contain all necessary files. Please reinstall the extension from original package.","A extensão não contém todos os arquivos necessários. Por favor, reinstale a extensão do pacote original."
"Extension Information","Informações da extensão"
Status,Status
Other,Outro
"Advanced Reports","Advanced Reports"
"Layered Navigation","Layered Navigation"
"Cron for Magento is not running. To setup a cron job, follow the link %1","O Cron para Magento não está em execução. Para configurar um trabalho cron, siga o link %1"
"Cron jobs [%1] are not running. Please check the table %2 for frozen jobs and remove them.","Os trabalhos cron [%1] não estão em execução. Por favor, verifique a tabela %2 para trabalhos congelados e remova-os."
Remove,Remover
Error,Erro
Missed,Perdido
Running,Em execução
Pending,Pendente
Success,Sucesso
"Server gmt time","Hora GMT do servidor"
"Last job","Último trabalho"
Executed,Executado
none,nenhum
"Cron setup","Configuração do Cron"
"Cron Jobs","Trabalhos Cron"
"No AI-enabled modules are currently active.","Nenhum módulo com IA está ativo no momento."
"%1 module(s) using AI functionality:","%1 módulo(s) usando funcionalidade de IA:"
Provider:,Provedor:
ai_provider,ai_provider
"You have the latest version","Você tem a versão mais recente"
"New version %1 is available","Nova versão %1 disponível"
"View %1 details (opens in new window)","Ver detalhes de %1 (abre em nova janela)"
Details,Detalhes
"View %1 user guide (opens in new window)","Ver guia do usuário de %1 (abre em nova janela)"
"User Guide","Guia do usuário"
"View %1 changelog (opens in new window)","Ver changelog de %1 (abre em nova janela)"
Changelog,Changelog
"Request new feature for %1 (opens in new window)","Solicitar nova funcionalidade para %1 (abre em nova janela)"
"Request New Feature","Solicitar nova funcionalidade"
"Installed Extensions","Extensões instaladas"
"Check changes","Verificar alterações"
"Validate All Extensions","Validar todas as extensões"
"Suggest Improvement","Sugerir melhoria"
"%1 (opens in new window)","%1 (abre em nova janela)"
"More Details","Mais detalhes"
"Developer settings","Configurações de desenvolvedor"
"AI Provider Status","Status do provedor de IA"
"No AI providers are currently enabled. Please configure AI providers in %1.","Nenhum provedor de IA está habilitado no momento. Por favor, configure os provedores de IA em %1."
"%1 of %2 providers enabled. You can manage providers in %3.","%1 de %2 provedores habilitados. Você pode gerenciar provedores em %3."
Enabled,Habilitado
Disabled,Desabilitado
"All tests have been passed","Todos os testes foram aprovados"
Module,Módulo
Test,Teste
"How to fix","Como corrigir"
Warning,Aviso
Info,Informação
Failed,Falhou
Today,Hoje
"Last 7 days","Últimos 7 dias"
"Last 30 days","Últimos 30 dias"
"Last 365 days","Últimos 365 dias"
"Mirasvit Extensions Validator","Validador de extensões Mirasvit"
"Mirasvit Menu","Menu Mirasvit"
Core,Core
Mirasvit,Mirasvit
Extensions,Extensões
"Mirasvit Marketplace","Mirasvit Marketplace"
"Mirasvit Extensions","Extensões Mirasvit"
Developer,Desenvolvedor
"Menu Settings","Configurações do menu"
"Enable Mirasvit Menu","Habilitar menu Mirasvit"
"The menu is visible, if you have at least two active Mirasvit extensions.","O menu é visível se você tiver pelo menos duas extensões Mirasvit ativas."
"Additional CSS Styles","Estilos CSS adicionais"
"AI Configuration","Configuração de IA"
"Modules using AI","Módulos usando IA"
"Enable AI features","Habilitar recursos de IA"
