"%1 service is not properly configured or available","Storitev %1 ni pravilno konfigurirana ali ni na voljo"
"Invalid AI request data","Neveljavni podatki zahteve AI"
"Request prompt cannot be empty","Poziv zahteve ne sme biti prazen"
"Claude API error","Napaka Claude API"
"Invalid Claude API response: missing content","Neveljaven odziv Claude API: manjka vsebina"
"Empty content received from Claude API","Prazna vsebina prejeta iz Claude API"
"Gemini API error","Napaka Gemini API"
"Invalid Gemini API response: missing candidates","Neveljaven odziv Gemini API: manjkajo kandidati"
"Gemini API response was truncated because the max_tokens limit was reached. Consider increasing the max_tokens setting or using a shorter prompt.","Odziv Gemini API je bil skrajšan, ker je bila dosežena omejitev max_tokens. Razmislite o povečanju nastavitve max_tokens ali uporabi krajšega poziva."
"Empty content received from Gemini API","Prazna vsebina prejeta iz Gemini API"
"AI services are disabled in configuration","Storitve AI so onemogočene v konfiguraciji"
"No default AI provider configured","Privzeti ponudnik AI ni konfiguriran"
"No available AI provider for request validation","Ni razpoložljivega ponudnika AI za preverjanje zahtev"
"Request validation failed: %1","Preverjanje zahteve ni uspelo: %1"
"All AI providers failed. Last error: %1","Vsi ponudniki AI so spodleteli. Zadnja napaka: %1"
"Unsupported AI provider: %1. Supported providers: %2","Nepodprt ponudnik AI: %1. Podprti ponudniki: %2"
"Service class %1 must extend %2","Razred storitve %1 mora razširiti %2"
"Failed to create AI service for provider %1: %2","Ustvarjanje storitve AI za ponudnika %1 ni uspelo: %2"
"Not configured","Ni konfigurirano"
Unknown,Neznano
"Unknown API error","Neznana napaka API"
"Temperature must be between 0 and 2","Temperatura mora biti med 0 in 2"
"Max tokens must be greater than 0","Največje število žetonov mora biti večje od 0"
"Frequency penalty must be between -2 and 2","Kazen za pogostost mora biti med -2 in 2"
"Format output as JSON.","Oblikuj izhod kot JSON."
"OpenAI API returned an incomplete response because the model's context window tokens number was exceeded.","OpenAI API je vrnil nepopoln odziv, ker je bilo preseženo število žetonov kontekstnega okna modela."
"OpenAI API returned no content in the response.","OpenAI API ni vrnil vsebine v odzivu."
"Not Installed","Ni nameščeno"
"A total of %1 record(s) have been deleted.","Skupno je bilo izbrisanih %1 zapis(ov)."
"The record has been removed.","Zapis je bil odstranjen."
"Disallowed file type.","Nedovoljena vrsta datoteke."
"Can't remove folder %s","Mape %s ni mogoče odstraniti"
"Extension does not contain all necessary files. Please reinstall the extension from original package.","Razširitev ne vsebuje vseh potrebnih datotek. Prosimo, ponovno namestite razširitev iz originalnega paketa."
"Extension Information","Informacije o razširitvi"
Status,Status
Other,Drugo
"Advanced Reports","Advanced Reports"
"Layered Navigation","Layered Navigation"
"Cron for Magento is not running. To setup a cron job, follow the link %1","Cron za Magento ne teče. Za nastavitev cron opravila sledite povezavi %1"
"Cron jobs [%1] are not running. Please check the table %2 for frozen jobs and remove them.","Cron opravila [%1] ne tečejo. Prosimo, preverite tabelo %2 za zamrznjena opravila in jih odstranite."
Remove,Odstrani
Error,Napaka
Missed,Zgrešeno
Running,Teče
Pending,V čakanju
Success,Uspeh
"Server gmt time","GMT čas strežnika"
"Last job","Zadnje opravilo"
Executed,Izvedeno
none,brez
