"%1 service is not properly configured or available","Сервіс %1 не налаштований належним чином або недоступний"
"Invalid AI request data","Недійсні дані запиту ШІ"
"Request prompt cannot be empty","Промпт запиту не може бути порожнім"
"Claude API error","Помилка API Claude"
"Invalid Claude API response: missing content","Недійсна відповідь API Claude: відсутній вміст"
"Empty content received from Claude API","Отримано порожній вміст від API Claude"
"Gemini API error","Помилка API Gemini"
"Invalid Gemini API response: missing candidates","Недійсна відповідь API Gemini: відсутні кандидати"
"Gemini API response was truncated because the max_tokens limit was reached. Consider increasing the max_tokens setting or using a shorter prompt.","Відповідь API Gemini була обрізана, оскільки досягнуто ліміт max_tokens. Спробуйте збільшити налаштування max_tokens або використати коротший промпт."
"Empty content received from Gemini API","Отримано порожній вміст від API Gemini"
"AI services are disabled in configuration","Сервіси ШІ вимкнено в конфігурації"
"No default AI provider configured","Не налаштовано постачальника ШІ за замовчуванням"
"No available AI provider for request validation","Немає доступного постачальника ШІ для валідації запиту"
"Request validation failed: %1","Валідація запиту не вдалася: %1"
"All AI providers failed. Last error: %1","Усі постачальники ШІ зазнали невдачі. Остання помилка: %1"
"Unsupported AI provider: %1. Supported providers: %2","Непідтримуваний постачальник ШІ: %1. Підтримувані постачальники: %2"
"Service class %1 must extend %2","Клас сервісу %1 повинен розширювати %2"
"Failed to create AI service for provider %1: %2","Не вдалося створити сервіс ШІ для постачальника %1: %2"
"Not configured","Не налаштовано"
Unknown,Невідомо
"Unknown API error","Невідома помилка API"
"Temperature must be between 0 and 2","Температура повинна бути між 0 та 2"
"Max tokens must be greater than 0","Максимальна кількість токенів повинна бути більше 0"
"Frequency penalty must be between -2 and 2","Штраф за повторення повинен бути між -2 та 2"
"Format output as JSON.","Форматувати вивід як JSON."
"OpenAI API returned an incomplete response because the model's context window tokens number was exceeded.","API OpenAI повернув неповну відповідь, оскільки було перевищено кількість токенів контекстного вікна моделі."
"OpenAI API returned no content in the response.","API OpenAI не повернув вміст у відповіді."
"Not Installed","Не встановлено"
"A total of %1 record(s) have been deleted.","Всього видалено %1 запис(ів)."
"The record has been removed.","Запис видалено."
"Disallowed file type.","Недозволений тип файлу."
"Can't remove folder %s","Неможливо видалити папку %s"
"Extension does not contain all necessary files. Please reinstall the extension from original package.","Розширення не містить усіх необхідних файлів. Будь ласка, перевстановіть розширення з оригінального пакету."
"Extension Information","Інформація про розширення"
Status,Статус
Other,Інше
"Advanced Reports","Advanced Reports"
"Layered Navigation","Layered Navigation"
"Cron for Magento is not running. To setup a cron job, follow the link %1","Cron для Magento не працює. Щоб налаштувати cron-завдання, перейдіть за посиланням %1"
"Cron jobs [%1] are not running. Please check the table %2 for frozen jobs and remove them.","Cron-завдання [%1] не виконуються. Перевірте таблицю %2 на наявність завислих завдань та видаліть їх."
Remove,Видалити
Error,Помилка
Missed,Пропущено
Running,Виконується
Pending,Очікує
Success,Успішно
"Server gmt time","Час сервера за GMT"
"Last job","Останнє завдання"
Executed,Виконано
none,немає
"Cron setup","Налаштування Cron"
"Cron Jobs","Cron-завдання"
"No AI-enabled modules are currently active.","Наразі немає активних модулів з підтримкою ШІ."
"%1 module(s) using AI functionality:","%1 модуль(ів) використовують функціонал ШІ:"
Provider:,Постачальник:
ai_provider,ai_provider
"You have the latest version","У вас найновіша версія"
"New version %1 is available","Доступна нова версія %1"
"View %1 details (opens in new window)","Переглянути деталі %1 (відкриється в новому вікні)"
Details,Деталі
"View %1 user guide (opens in new window)","Переглянути посібник користувача %1 (відкриється в новому вікні)"
"User Guide","Посібник користувача"
"View %1 changelog (opens in new window)","Переглянути журнал змін %1 (відкриється в новому вікні)"
Changelog,Журнал змін
"Request new feature for %1 (opens in new window)","Запросити нову функцію для %1 (відкриється в новому вікні)"
"Request New Feature","Запросити нову функцію"
"Installed Extensions","Встановлені розширення"
"Check changes","Перевірити зміни"
"Validate All Extensions","Перевірити всі розширення"
"Suggest Improvement","Запропонувати покращення"
"%1 (opens in new window)","%1 (відкриється в новому вікні)"
"More Details","Більше деталей"
"Developer settings","Налаштування розробника"
