"Conditions","Bedingungen"
"Rule conditions (leave blank to use only regular expression)","Regelbedingungen (leer lassen, um nur reguläre Ausdrücke zu verwenden)"
"Checklist","Checkliste"
"Duplicateinfo","Duplicateinfo"
"Store Id","Shop-ID"
"Category Path","Kategoriepfad"
"Category Id","Kategorie-ID"
"Current request path","Aktueller Anfragepfad"
"URL key","URL-Schlüssel"
"Root Catalog (ID: 1)","Root-Katalog (ID: 1)"
"(ID: %1)","(ID: %1)"
"Redirects","Weiterleitungen"
"Canonical rewrite","Canonical-Umschreibung"
"Cross-links","Cross-Links"
"Sitemap","Sitemap"
"Settings","Einstellungen"
"User manual","Benutzerhandbuch"
"Get support","Support erhalten"
"Add New Redirect","Neue Weiterleitung hinzufügen"
"Import/Export redirects","Weiterleitungen importieren/exportieren"
"Rewrite manager","Umschreibungs-Manager"
"Add rewrite","Umschreibung hinzufügen"
"Store group","Shop-Gruppe"
"Hreflang","Hreflang"
"Store","Shop"
"Add","Hinzufügen"
"(Id: %1)","(Id: %1)"
"Stores","Shops"
"button_label","button_label"
"Attribute","Attribut"
"Usage","Verwendung"
"Page type","Seitentyp"
"Remove parent category path","Übergeordneten Kategoriepfad entfernen"
"URL pattern","URL-Muster"
"Option","Option"
"Meta title","Meta-Titel"
"Meta keywords","Meta-Keywords"
"Meta description","Meta-Beschreibung"
"Title (H1)","Titel (H1)"
"SEO description","SEO-Beschreibung"
"Product short description","Produkt-Kurzbeschreibung"
"Product description","Produktbeschreibung"
"Add SEO Template","SEO-Vorlage hinzufügen"
"Home","Startseite"
"Go to Home Page","Zur Startseite"
"SEO","SEO"
"This row no longer exists.","Diese Zeile existiert nicht mehr."
"New canonical rewrite","Neue Canonical-Umschreibung"
"%1 item(s) was removed","%1 Element(e) wurde(n) entfernt"
"Please select item(s)","Bitte Element(e) auswählen"
"Edit canonical rewrite ID: %1","Canonical-Umschreibung bearbeiten ID: %1"
"Total of %1 record(s) were successfully disabled","Insgesamt %1 Datensatz/Datensätze wurden erfolgreich deaktiviert"
"Total of %1 record(s) were successfully enabled","Insgesamt %1 Datensatz/Datensätze wurden erfolgreich aktiviert"
"Row was saved.","Zeile wurde gespeichert."
"No data to save.","Keine Daten zum Speichern."
"SEO Checklist","SEO-Checkliste"
"Create a unique url key for all of your categories listed on this table. If the table is empty, this means that you do not have duplicate keys and can push the ""<a href=""%1"" target=""_blank"">Remove parent category path</a>"" button to change category urls.","Erstellen Sie einen eindeutigen URL-Schlüssel für alle in dieser Tabelle aufgeführten Kategorien. Wenn die Tabelle leer ist, bedeutet dies, dass keine doppelten Schlüssel vorhanden sind und Sie die Schaltfläche ""<a href=""%1"" target=""_blank"">Übergeordneten Kategoriepfad entfernen</a>"" verwenden können, um Kategorie-URLs zu ändern."
"Category duplicate urls","Doppelte Kategorie-URLs"
"Add redirect","Weiterleitung hinzufügen"
"Item was successfully deleted","Element wurde erfolgreich gelöscht"
"Edit redirect","Weiterleitung bearbeiten"
"The item does not exist.","Das Element existiert nicht."
"Total of %1 record(s) were successfully deleted","Insgesamt %1 Datensatz/Datensätze wurden erfolgreich gelöscht"
"Item was successfully saved","Element wurde erfolgreich gespeichert"
"Unable to find an item to save","Es konnte kein Element zum Speichern gefunden werden"
"There is no sample file for this entity.","Für diese Entität ist keine Beispieldatei vorhanden."
"%1 records were inserted or updated","%1 Datensätze wurden eingefügt oder aktualisiert"
"URLs have been processed.","URLs wurden verarbeitet."
"Something went wrong.","Es ist ein Fehler aufgetreten."
"Missing canonical URL.","Fehlende Canonical-URL."
"%1 canonical on the page.","%1 Canonical auf der Seite."
"Canonical created not using Mirasvit SEO extension.","Canonical wurde nicht mit der Mirasvit SEO-Erweiterung erstellt."
"There is no H1 tag on the page.","Es gibt kein H1-Tag auf der Seite."
"One H1 tag","Ein H1-Tag"
"%1 H1 tags.","%1 H1-Tags."
"Length = %1. Recommended length up to %2 characters.","Länge = %1. Empfohlene Länge bis %2 Zeichen."
"Meta title not defined.","Meta-Titel nicht definiert."
"Meta description not defined.","Meta-Beschreibung nicht definiert."
"Meta keywords not defined.","Meta-Keywords nicht definiert."
"Some alt tags are empty or missing.","Einige Alt-Tags sind leer oder fehlen."
"Total number of images","Gesamtanzahl der Bilder"
"Images without alt attribute","Bilder ohne Alt-Attribut"
"Images with empty alt attribute","Bilder mit leerem Alt-Attribut"
"%1 images with correct alt attribute.","%1 Bilder mit korrektem Alt-Attribut."
"Conditions combination","Bedingungskombination"
"Categories and layered navigation","Kategorien und Layered Navigation"
"Products","Produkte"
"Product attributes","Produktattribute"
"Products additional","Produkte zusätzlich"
"Attribute set","Attributset"
"Category","Kategorie"
"Created (days ago)","Erstellt (vor Tagen)"
"Updated (days ago)","Aktualisiert (vor Tagen)"
"Quantity","Menge"
"Price - Final Price","Preis - Endpreis"
"Percent Discount","Prozentualer Rabatt"
"Open Chooser","Auswahl öffnen"
"Disabled","Deaktiviert"
"Enabled for all websites","Für alle Websites aktiviert"
"Configure","Konfigurieren"
"Add automatically","Automatisch hinzufügen"
"Add all selected options","Alle ausgewählten Optionen hinzufügen"
"Add if only one option selected","Hinzufügen, wenn nur eine Option ausgewählt"
"Without filters","Ohne Filter"
"With all filters","Mit allen Filtern"
"Default","Standard"
"Parent product","Übergeordnetes Produkt"
"Use Robots meta header","Robots-Meta-Header verwenden"
"Enabled","Aktiviert"
"Enabled if cookie exist","Aktiviert, wenn Cookie vorhanden"
"Right","Rechts"
"Left","Links"
"Active","Aktiv"
"Inactive","Inaktiv"
"Don't change","Nicht ändern"
"NOINDEX, NOFOLLOW","NOINDEX, NOFOLLOW"
"NOINDEX, FOLLOW","NOINDEX, FOLLOW"
"INDEX, NOFOLLOW","INDEX, NOFOLLOW"
"INDEX, FOLLOW","INDEX, FOLLOW"
"Default first","Standard zuerst"
"Custom","Benutzerdefiniert"
"Brand only","Nur Marke"
"Category + Brand","Kategorie + Marke"
"Direct link","Direktlink"
"Shortest path","Kürzester Pfad"
"Longest path","Längster Pfad"
"Long","Lang"
"Short","Kurz"
"Include categories path to Product URLs","Kategoriepfad in Produkt-URLs einbeziehen"
"Don't include categories path to Product URLs","Kategoriepfad nicht in Produkt-URLs einbeziehen"
"301 Moved permanently","301 Dauerhaft verschoben"
"302 Object moved","302 Objekt verschoben"
"307 Temporary redirect","307 Temporäre Weiterleitung"
"Total number of products with reviews","Gesamtanzahl der Produkte mit Bewertungen"
"Total number of reviews","Gesamtanzahl der Bewertungen"
"Redirect to the same page with trailing slash","Zur gleichen Seite mit abschließendem Schrägstrich weiterleiten"
"Redirect to the same page without trailing slash","Zur gleichen Seite ohne abschließenden Schrägstrich weiterleiten"
"Parent category path has been removed.","Übergeordneter Kategoriepfad wurde entfernt."
"Alternate Settings","Alternate-Einstellungen"
"Alternate group","Alternate-Gruppe"
"Open Graph Image Url","Open-Graph-Bild-URL"
"Wrong Hreflang locale code value: ""%1"". Must use the <a target=""_blank"" href=""http://en.wikipedia.org/wiki/ISO_3166-1_alpha-2"">ISO 3166-1 Alpha 2 format</a>","Falscher Hreflang-Gebietsschema-Code: ""%1"". Es muss das <a target=""_blank"" href=""http://en.wikipedia.org/wiki/ISO_3166-1_alpha-2"">ISO 3166-1 Alpha 2-Format</a> verwendet werden"
"Template for URL key of Product Images","Vorlage für den URL-Schlüssel von Produktbildern"
"Template for Product Images Alt","Vorlage für Alt-Text von Produktbildern"
"Template for Product Images Title","Vorlage für Titel von Produktbildern"
"The store can't be indexed when closed to robots and crawlers.","Der Shop kann nicht indexiert werden, wenn er für Robots und Crawler gesperrt ist."
"The page needs to display a correct title and store description in search results.","Die Seite muss einen korrekten Titel und eine Shop-Beschreibung in den Suchergebnissen anzeigen."
"Unable to run test, the robots.txt file is empty","Test kann nicht ausgeführt werden, die robots.txt-Datei ist leer"
"Get a deeper understanding of your customers. Google Analytics gives you the free tools you need to analyze data for your business in one place.","Verstehen Sie Ihre Kunden besser. Google Analytics bietet Ihnen die kostenlosen Tools, die Sie benötigen, um Daten für Ihr Unternehmen an einem Ort zu analysieren."
"Please enable the Mirasvit_SeoSitemap module by running the following command: <pre>bin/magento module:enable Mirasvit_SeoSitemap</pre>","Bitte aktivieren Sie das Modul Mirasvit_SeoSitemap mit folgendem Befehl: <pre>bin/magento module:enable Mirasvit_SeoSitemap</pre>"
"Enhanced search results that provide additional information to searchers on the contents of a page. Google and other search engines use structured data, contained within the HTML, or Javascript of a webpage, to form these snippets.","Erweiterte Suchergebnisse, die Suchenden zusätzliche Informationen zum Inhalt einer Seite liefern. Google und andere Suchmaschinen verwenden strukturierte Daten im HTML oder JavaScript einer Webseite, um diese Snippets zu erstellen."
"Using product names or other variables as image filenames is more descriptive to search engines than using random characters or numbers.","Die Verwendung von Produktnamen oder anderen Variablen als Bilddateinamen ist für Suchmaschinen aussagekräftiger als die Verwendung zufälliger Zeichen oder Zahlen."
"Alt tags provide a text alternative for an image for search engines and those using screen readers to access a web page.","Alt-Tags bieten eine Textalternative für ein Bild für Suchmaschinen und Nutzer von Bildschirmleseprogrammen."
"When the ""Use meta tags from products if they are not empty"" option is set to ""Yes"", it will affect this template. Read more","Wenn die Option ""Meta-Tags von Produkten verwenden, wenn sie nicht leer sind"" auf ""Ja"" gesetzt ist, wirkt sich dies auf diese Vorlage aus. Mehr erfahren"
"When the ""Use meta tags from categories if they are not empty"" option is set to ""Yes"", it will affect this template. Read more","Wenn die Option ""Meta-Tags von Kategorien verwenden, wenn sie nicht leer sind"" auf ""Ja"" gesetzt ist, wirkt sich dies auf diese Vorlage aus. Mehr erfahren"
"Blog Data","Blog-Daten"
"Brand Data","Marken-Daten"
"Category Data","Kategoriedaten"
"CMS Page Data","CMS-Seitendaten"
"Filter Data","Filterdaten"
"Landing Page Data","Landing-Page-Daten"
"Current Page Data","Aktuelle Seitendaten"
"Pagination","Seitennavigation"
"Page %1","Seite %1"
"Product Data","Produktdaten"
"Store Data","Shop-Daten"
"Reversed by TrailingSlashService","Durch TrailingSlashService umgekehrt"
"Auto-generated by TrailingSlashService","Automatisch durch TrailingSlashService generiert"
