"Conditions","Conditions"
"Rule conditions (leave blank to use only regular expression)","Rule conditions (leave blank to use only regular expression)"
"Checklist","Checklist"
"Duplicateinfo","Duplicateinfo"
"Store Id","Store Id"
"Category Path","Category Path"
"Category Id","Category Id"
"Current request path","Current request path"
"URL key","URL key"
"Root Catalog (ID: 1)","Root Catalog (ID: 1)"
"(ID: %1)","(ID: %1)"
"Redirects","Redirects"
"Canonical rewrite","Canonical rewrite"
"Cross-links","Cross-links"
"Sitemap","Sitemap"
"Settings","Settings"
"User manual","User manual"
"Get support","Get support"
"Add New Redirect","Add New Redirect"
"Import/Export redirects","Import/Export redirects"
"Rewrite manager","Rewrite manager"
"Add rewrite","Add rewrite"
"Store group","Store group"
"Hreflang","Hreflang"
"Store","Store"
"Add","Add"
"(Id: %1)","(Id: %1)"
"Stores","Stores"
"button_label","button_label"
"Attribute","Attribute"
"Usage","Usage"
"Page type","Page type"
"Remove parent category path","Remove parent category path"
"URL pattern","URL pattern"
"Option","Option"
"Meta title","Meta title"
"Meta keywords","Meta keywords"
"Meta description","Meta description"
"Title (H1)","Title (H1)"
"SEO description","SEO description"
"Product short description","Product short description"
"Product description","Product description"
"Add SEO Template","Add SEO Template"
"Home","Home"
"Go to Home Page","Go to Home Page"
"SEO","SEO"
"This row no longer exists.","This row no longer exists."
"New canonical rewrite","New canonical rewrite"
"%1 item(s) was removed","%1 item(s) was removed"
"Please select item(s)","Please select item(s)"
"Edit canonical rewrite ID: %1","Edit canonical rewrite ID: %1"
"Total of %1 record(s) were successfully disabled","Total of %1 record(s) were successfully disabled"
"Total of %1 record(s) were successfully enabled","Total of %1 record(s) were successfully enabled"
"Row was saved.","Row was saved."
"No data to save.","No data to save."
"SEO Checklist","SEO Checklist"
"Create a unique url key for all of your categories listed on this table. If the table is empty, this means that you do not have duplicate keys and can push the ""<a href=""%1"" target=""_blank"">Remove parent category path</a>"" button to change category urls.","Create a unique url key for all of your categories listed on this table. If the table is empty, this means that you do not have duplicate keys and can push the ""<a href=""%1"" target=""_blank"">Remove parent category path</a>"" button to change category urls."
"Category duplicate urls","Category duplicate urls"
"Add redirect","Add redirect"
"Item was successfully deleted","Item was successfully deleted"
"Edit redirect","Edit redirect"
"The item does not exist.","The item does not exist."
"Total of %1 record(s) were successfully deleted","Total of %1 record(s) were successfully deleted"
"Item was successfully saved","Item was successfully saved"
