"Conditions","Condiciones"
"Rule conditions (leave blank to use only regular expression)","Condiciones de la regla (dejar en blanco para usar solo expresión regular)"
"Checklist","Lista de verificación"
"Duplicateinfo","Información de duplicados"
"Store Id","ID de la tienda"
"Category Path","Ruta de categoría"
"Category Id","ID de categoría"
"Current request path","Ruta de solicitud actual"
"URL key","Clave de URL"
"Root Catalog (ID: 1)","Catálogo raíz (ID: 1)"
"(ID: %1)","(ID: %1)"
"Redirects","Redirecciones"
"Canonical rewrite","Reescritura canonical"
"Cross-links","Vínculos cruzados"
"Sitemap","Mapa del sitio"
"Settings","Configuración"
"User manual","Manual de usuario"
"Get support","Obtener soporte"
"Add New Redirect","Añadir nueva redirección"
"Import/Export redirects","Importar/Exportar redirecciones"
"Rewrite manager","Gestor de reescrituras"
"Add rewrite","Añadir reescritura"
"Store group","Grupo de tienda"
"Hreflang","Hreflang"
"Store","Tienda"
"Add","Añadir"
"(Id: %1)","(Id: %1)"
"Stores","Tiendas"
"button_label","button_label"
"Attribute","Atributo"
"Usage","Uso"
"Page type","Tipo de página"
"Remove parent category path","Eliminar la ruta de categoría padre"
"URL pattern","Patrón de URL"
"Option","Opción"
"Meta title","Meta título"
"Meta keywords","Meta palabras clave"
"Meta description","Meta descripción"
"Title (H1)","Título (H1)"
"SEO description","Descripción SEO"
"Product short description","Descripción corta del producto"
"Product description","Descripción del producto"
"Add SEO Template","Añadir plantilla SEO"
"Home","Inicio"
"Go to Home Page","Ir a la página de inicio"
"SEO","SEO"
"This row no longer exists.","Esta fila ya no existe."
"New canonical rewrite","Nueva reescritura canonical"
"%1 item(s) was removed","%1 elemento(s) fue(ron) eliminado(s)"
"Please select item(s)","Por favor, seleccione elemento(s)"
"Edit canonical rewrite ID: %1","Editar reescritura canonical ID: %1"
"Total of %1 record(s) were successfully disabled","Se deshabilitaron correctamente %1 registro(s)"
"Total of %1 record(s) were successfully enabled","Se habilitaron correctamente %1 registro(s)"
"Row was saved.","La fila fue guardada."
"No data to save.","No hay datos para guardar."
"SEO Checklist","Lista de verificación SEO"
"Create a unique url key for all of your categories listed on this table. If the table is empty, this means that you do not have duplicate keys and can push the ""<a href=""%1"" target=""_blank"">Remove parent category path</a>"" button to change category urls.","Cree una clave de URL única para todas las categorías listadas en esta tabla. Si la tabla está vacía, significa que no tiene claves duplicadas y puede presionar el botón ""<a href=""%1"" target=""_blank"">Eliminar la ruta de categoría padre</a>"" para cambiar las URLs de las categorías."
"Category duplicate urls","URLs duplicadas de categoría"
"Add redirect","Añadir redirección"
"Item was successfully deleted","El elemento fue eliminado correctamente"
"Edit redirect","Editar redirección"
"The item does not exist.","El elemento no existe."
"Total of %1 record(s) were successfully deleted","Se eliminaron correctamente %1 registro(s)"
"Item was successfully saved","El elemento fue guardado correctamente"
"Unable to find an item to save","No se puede encontrar un elemento para guardar"
"There is no sample file for this entity.","No hay archivo de muestra para esta entidad."
"%1 records were inserted or updated","%1 registros fueron insertados o actualizados"
"URLs have been processed.","Las URLs han sido procesadas."
"Something went wrong.","Algo salió mal."
"Missing canonical URL.","Falta la URL canonical."
"%1 canonical on the page.","%1 canonical en la página."
"Canonical created not using Mirasvit SEO extension.","Canonical creado sin usar la extensión Mirasvit SEO."
"There is no H1 tag on the page.","No hay etiqueta H1 en la página."
"One H1 tag","Una etiqueta H1"
"%1 H1 tags.","%1 etiquetas H1."
"Length = %1. Recommended length up to %2 characters.","Longitud = %1. Longitud recomendada hasta %2 caracteres."
"Meta title not defined.","Meta título no definido."
"Meta description not defined.","Meta descripción no definida."
"Meta keywords not defined.","Meta palabras clave no definidas."
"Some alt tags are empty or missing.","Algunas etiquetas alt están vacías o faltan."
"Total number of images","Número total de imágenes"
"Images without alt attribute","Imágenes sin atributo alt"
"Images with empty alt attribute","Imágenes con atributo alt vacío"
"%1 images with correct alt attribute.","%1 imágenes con atributo alt correcto."
"Conditions combination","Combinación de condiciones"
"Categories and layered navigation","Categorías y navegación por capas"
"Products","Productos"
"Product attributes","Atributos del producto"
"Products additional","Productos adicionales"
"Attribute set","Conjunto de atributos"
"Category","Categoría"
"Created (days ago)","Creado (hace días)"
"Updated (days ago)","Actualizado (hace días)"
"Quantity","Cantidad"
"Price - Final Price","Precio - Precio final"
"Percent Discount","Descuento porcentual"
"Open Chooser","Abrir selector"
"Disabled","Deshabilitado"
"Enabled for all websites","Habilitado para todos los sitios web"
"Configure","Configurar"
"Add automatically","Añadir automáticamente"
"Add all selected options","Añadir todas las opciones seleccionadas"
"Add if only one option selected","Añadir solo si hay una opción seleccionada"
"Without filters","Sin filtros"
"With all filters","Con todos los filtros"
"Default","Predeterminado"
"Parent product","Producto padre"
"Use Robots meta header","Usar encabezado meta Robots"
"Enabled","Habilitado"
"Enabled if cookie exist","Habilitado si existe cookie"
"Right","Derecha"
"Left","Izquierda"
"Active","Activo"
"Inactive","Inactivo"
"Don't change","No cambiar"
"NOINDEX, NOFOLLOW","NOINDEX, NOFOLLOW"
"NOINDEX, FOLLOW","NOINDEX, FOLLOW"
"INDEX, NOFOLLOW","INDEX, NOFOLLOW"
"INDEX, FOLLOW","INDEX, FOLLOW"
"Default first","Predeterminado primero"
"Custom","Personalizado"
"Brand only","Solo marca"
"Category + Brand","Categoría + Marca"
"Direct link","Enlace directo"
"Shortest path","Ruta más corta"
"Longest path","Ruta más larga"
"Long","Largo"
"Short","Corto"
"Include categories path to Product URLs","Incluir la ruta de categorías en las URLs de producto"
"Don't include categories path to Product URLs","No incluir la ruta de categorías en las URLs de producto"
"301 Moved permanently","301 Movido permanentemente"
"302 Object moved","302 Objeto movido"
"307 Temporary redirect","307 Redirección temporal"
"Total number of products with reviews","Número total de productos con reseñas"
"Total number of reviews","Número total de reseñas"
"Redirect to the same page with trailing slash","Redirigir a la misma página con barra final"
"Redirect to the same page without trailing slash","Redirigir a la misma página sin barra final"
"Parent category path has been removed.","La ruta de categoría padre ha sido eliminada."
"Alternate Settings","Configuración de alternativas"
"Alternate group","Grupo alternativo"
"Open Graph Image Url","URL de imagen Open Graph"
"Wrong Hreflang locale code value: ""%1"". Must use the <a target=""_blank"" href=""http://en.wikipedia.org/wiki/ISO_3166-1_alpha-2"">ISO 3166-1 Alpha 2 format</a>","Valor de código de región Hreflang incorrecto: ""%1"". Debe usar el <a target=""_blank"" href=""http://en.wikipedia.org/wiki/ISO_3166-1_alpha-2"">formato ISO 3166-1 Alpha 2</a>"
