"Conditions","Conditions"
"Rule conditions (leave blank to use only regular expression)","Conditions de règle (laisser vide pour utiliser uniquement l'expression régulière)"
"Checklist","Liste de contrôle"
"Duplicateinfo","Duplicateinfo"
"Store Id","ID de magasin"
"Category Path","Chemin de catégorie"
"Category Id","ID de catégorie"
"Current request path","Chemin de requête actuel"
"URL key","Clé URL"
"Root Catalog (ID: 1)","Catalogue racine (ID : 1)"
"(ID: %1)","(ID : %1)"
"Redirects","Redirections"
"Canonical rewrite","Réécriture canonique"
"Cross-links","Liens croisés"
"Sitemap","Plan du site"
"Settings","Paramètres"
"User manual","Manuel utilisateur"
"Get support","Obtenir de l'aide"
"Add New Redirect","Ajouter une nouvelle redirection"
"Import/Export redirects","Importer/exporter des redirections"
"Rewrite manager","Gestionnaire de réécritures"
"Add rewrite","Ajouter une réécriture"
"Store group","Groupe de magasin"
"Hreflang","Hreflang"
"Store","Magasin"
"Add","Ajouter"
"(Id: %1)","(Id : %1)"
"Stores","Magasins"
"button_label","button_label"
"Attribute","Attribut"
"Usage","Utilisation"
"Page type","Type de page"
"Remove parent category path","Supprimer le chemin de catégorie parent"
"URL pattern","Modèle d'URL"
"Option","Option"
"Meta title","Titre méta"
"Meta keywords","Mots-clés méta"
"Meta description","Description méta"
"Title (H1)","Titre (H1)"
"SEO description","Description SEO"
"Product short description","Description courte du produit"
"Product description","Description du produit"
"Add SEO Template","Ajouter un modèle SEO"
"Home","Accueil"
"Go to Home Page","Aller à la page d'accueil"
"SEO","SEO"
"This row no longer exists.","Cette ligne n'existe plus."
"New canonical rewrite","Nouvelle réécriture canonique"
"%1 item(s) was removed","%1 élément(s) supprimé(s)"
"Please select item(s)","Veuillez sélectionner un ou des éléments"
"Edit canonical rewrite ID: %1","Modifier la réécriture canonique ID : %1"
"Total of %1 record(s) were successfully disabled","Au total, %1 enregistrement(s) ont été désactivé(s) avec succès"
"Total of %1 record(s) were successfully enabled","Au total, %1 enregistrement(s) ont été activé(s) avec succès"
"Row was saved.","La ligne a été enregistrée."
"No data to save.","Aucune donnée à enregistrer."
"SEO Checklist","Liste de contrôle SEO"
"Create a unique url key for all of your categories listed on this table. If the table is empty, this means that you do not have duplicate keys and can push the ""<a href=""%1"" target=""_blank"">Remove parent category path</a>"" button to change category urls.","Créez une clé URL unique pour toutes les catégories répertoriées dans ce tableau. Si le tableau est vide, cela signifie qu'il n'y a pas de clés en double et vous pouvez cliquer sur le bouton ""<a href=""%1"" target=""_blank"">Supprimer le chemin de catégorie parent</a>"" pour modifier les URLs des catégories."
"Category duplicate urls","URLs de catégorie en double"
"Add redirect","Ajouter une redirection"
"Item was successfully deleted","L'élément a été supprimé avec succès"
"Edit redirect","Modifier la redirection"
"The item does not exist.","L'élément n'existe pas."
"Total of %1 record(s) were successfully deleted","Au total, %1 enregistrement(s) ont été supprimé(s) avec succès"
"Item was successfully saved","L'élément a été enregistré avec succès"
"Unable to find an item to save","Impossible de trouver un élément à enregistrer"
"There is no sample file for this entity.","Il n'y a pas de fichier d'exemple pour cette entité."
"%1 records were inserted or updated","%1 enregistrements ont été insérés ou mis à jour"
"URLs have been processed.","Les URLs ont été traitées."
"Something went wrong.","Une erreur s'est produite."
"Missing canonical URL.","URL canonique manquante."
"%1 canonical on the page.","%1 canonique sur la page."
"Canonical created not using Mirasvit SEO extension.","Canonique créé sans utiliser l'extension Mirasvit SEO."
"There is no H1 tag on the page.","Il n'y a pas de balise H1 sur la page."
"One H1 tag","Une balise H1"
"%1 H1 tags.","%1 balises H1."
"Length = %1. Recommended length up to %2 characters.","Longueur = %1. Longueur recommandée jusqu'à %2 caractères."
"Meta title not defined.","Titre méta non défini."
"Meta description not defined.","Description méta non définie."
"Meta keywords not defined.","Mots-clés méta non définis."
"Some alt tags are empty or missing.","Certaines balises alt sont vides ou manquantes."
"Total number of images","Nombre total d'images"
"Images without alt attribute","Images sans attribut alt"
"Images with empty alt attribute","Images avec attribut alt vide"
"%1 images with correct alt attribute.","%1 images avec un attribut alt correct."
"Conditions combination","Combinaison de conditions"
"Categories and layered navigation","Catégories et navigation par couches"
"Products","Produits"
"Product attributes","Attributs de produit"
"Products additional","Produits supplémentaires"
"Attribute set","Ensemble d'attributs"
"Category","Catégorie"
"Created (days ago)","Créé (il y a des jours)"
"Updated (days ago)","Mis à jour (il y a des jours)"
"Quantity","Quantité"
"Price - Final Price","Prix - Prix final"
"Percent Discount","Remise en pourcentage"
"Open Chooser","Ouvrir le sélecteur"
"Disabled","Désactivé"
"Enabled for all websites","Activé pour tous les sites"
"Configure","Configurer"
"Add automatically","Ajouter automatiquement"
"Add all selected options","Ajouter toutes les options sélectionnées"
"Add if only one option selected","Ajouter si une seule option est sélectionnée"
"Without filters","Sans filtres"
"With all filters","Avec tous les filtres"
"Default","Par défaut"
"Parent product","Produit parent"
"Use Robots meta header","Utiliser l'en-tête méta Robots"
"Enabled","Activé"
"Enabled if cookie exist","Activé si le cookie existe"
"Right","Droite"
"Left","Gauche"
"Active","Actif"
"Inactive","Inactif"
"Don't change","Ne pas modifier"
"NOINDEX, NOFOLLOW","NOINDEX, NOFOLLOW"
"NOINDEX, FOLLOW","NOINDEX, FOLLOW"
"INDEX, NOFOLLOW","INDEX, NOFOLLOW"
"INDEX, FOLLOW","INDEX, FOLLOW"
"Default first","Par défaut en premier"
"Custom","Personnalisé"
"Brand only","Marque uniquement"
"Category + Brand","Catégorie + Marque"
"Direct link","Lien direct"
"Shortest path","Chemin le plus court"
"Longest path","Chemin le plus long"
"Long","Long"
"Short","Court"
"Include categories path to Product URLs","Inclure le chemin des catégories dans les URLs de produits"
"Don't include categories path to Product URLs","Ne pas inclure le chemin des catégories dans les URLs de produits"
"301 Moved permanently","301 Déplacé définitivement"
"302 Object moved","302 Objet déplacé"
"307 Temporary redirect","307 Redirection temporaire"
"Total number of products with reviews","Nombre total de produits avec avis"
"Total number of reviews","Nombre total d'avis"
"Redirect to the same page with trailing slash","Rediriger vers la même page avec barre oblique finale"
"Redirect to the same page without trailing slash","Rediriger vers la même page sans barre oblique finale"
"Parent category path has been removed.","Le chemin de catégorie parent a été supprimé."
"Alternate Settings","Paramètres alternatifs"
"Alternate group","Groupe alternatif"
"Open Graph Image Url","URL de l'image Open Graph"
"Wrong Hreflang locale code value: ""%1"". Must use the <a target=""_blank"" href=""http://en.wikipedia.org/wiki/ISO_3166-1_alpha-2"">ISO 3166-1 Alpha 2 format</a>","Valeur de code locale Hreflang incorrecte : ""%1"". Doit utiliser le <a target=""_blank"" href=""http://en.wikipedia.org/wiki/ISO_3166-1_alpha-2"">format ISO 3166-1 Alpha 2</a>"
"Template for URL key of Product Images","Modèle de clé URL pour les images de produits"
"Template for Product Images Alt","Modèle de texte alt pour les images de produits"
"Template for Product Images Title","Modèle de titre pour les images de produits"
"The store can't be indexed when closed to robots and crawlers.","Le magasin ne peut pas être indexé lorsqu'il est fermé aux robots et aux crawlers."
"The page needs to display a correct title and store description in search results.","La page doit afficher un titre correct et une description du magasin dans les résultats de recherche."
"Unable to run test, the robots.txt file is empty","Impossible d'exécuter le test, le fichier robots.txt est vide"
"Get a deeper understanding of your customers. Google Analytics gives you the free tools you need to analyze data for your business in one place.","Comprenez mieux vos clients. Google Analytics vous offre les outils gratuits dont vous avez besoin pour analyser les données de votre entreprise en un seul endroit."
"Please enable the Mirasvit_SeoSitemap module by running the following command: <pre>bin/magento module:enable Mirasvit_SeoSitemap</pre>","Veuillez activer le module Mirasvit_SeoSitemap en exécutant la commande suivante : <pre>bin/magento module:enable Mirasvit_SeoSitemap</pre>"
"Enhanced search results that provide additional information to searchers on the contents of a page. Google and other search engines use structured data, contained within the HTML, or Javascript of a webpage, to form these snippets.","Résultats de recherche enrichis qui fournissent des informations supplémentaires aux internautes sur le contenu d'une page. Google et d'autres moteurs de recherche utilisent des données structurées, contenues dans le HTML ou le Javascript d'une page web, pour former ces extraits."
"Using product names or other variables as image filenames is more descriptive to search engines than using random characters or numbers.","L'utilisation de noms de produits ou d'autres variables comme noms de fichiers d'images est plus descriptive pour les moteurs de recherche que l'utilisation de caractères ou de chiffres aléatoires."
"Alt tags provide a text alternative for an image for search engines and those using screen readers to access a web page.","Les balises alt fournissent une alternative textuelle pour une image pour les moteurs de recherche et les personnes utilisant des lecteurs d'écran pour accéder à une page web."
"When the ""Use meta tags from products if they are not empty"" option is set to ""Yes"", it will affect this template. Read more","Lorsque l'option ""Utiliser les balises méta des produits si elles ne sont pas vides"" est définie sur ""Oui"", cela affectera ce modèle. En savoir plus"
"When the ""Use meta tags from categories if they are not empty"" option is set to ""Yes"", it will affect this template. Read more","Lorsque l'option ""Utiliser les balises méta des catégories si elles ne sont pas vides"" est définie sur ""Oui"", cela affectera ce modèle. En savoir plus"
"Blog Data","Données du blog"
"Brand Data","Données de marque"
"Category Data","Données de catégorie"
