"Conditions","Condizioni"
"Rule conditions (leave blank to use only regular expression)","Condizioni della regola (lasciare vuoto per usare solo espressione regolare)"
"Checklist","Checklist"
"Duplicateinfo","Info duplicati"
"Store Id","ID negozio"
"Category Path","Percorso categoria"
"Category Id","ID categoria"
"Current request path","Percorso richiesta corrente"
"URL key","Chiave URL"
"Root Catalog (ID: 1)","Catalogo radice (ID: 1)"
"(ID: %1)","(ID: %1)"
"Redirects","Reindirizzamenti"
"Canonical rewrite","Riscrittura canonical"
"Cross-links","Link incrociati"
"Sitemap","Mappa del sito"
"Settings","Impostazioni"
"User manual","Manuale utente"
"Get support","Ottieni supporto"
"Add New Redirect","Aggiungi nuovo reindirizzamento"
"Import/Export redirects","Importa/Esporta reindirizzamenti"
"Rewrite manager","Gestore riscritture"
"Add rewrite","Aggiungi riscrittura"
"Store group","Gruppo negozio"
"Hreflang","Hreflang"
"Store","Negozio"
"Add","Aggiungi"
"(Id: %1)","(Id: %1)"
"Stores","Negozi"
"button_label","button_label"
"Attribute","Attributo"
"Usage","Utilizzo"
"Page type","Tipo di pagina"
"Remove parent category path","Rimuovi percorso categoria padre"
"URL pattern","Pattern URL"
"Option","Opzione"
"Meta title","Meta titolo"
"Meta keywords","Meta parole chiave"
"Meta description","Meta descrizione"
"Title (H1)","Titolo (H1)"
"SEO description","Descrizione SEO"
"Product short description","Descrizione breve prodotto"
"Product description","Descrizione prodotto"
"Add SEO Template","Aggiungi template SEO"
"Home","Home"
"Go to Home Page","Vai alla pagina iniziale"
"SEO","SEO"
"This row no longer exists.","Questa riga non esiste più."
"New canonical rewrite","Nuova riscrittura canonical"
"%1 item(s) was removed","%1 elemento/i rimosso/i"
"Please select item(s)","Selezionare elemento/i"
"Edit canonical rewrite ID: %1","Modifica riscrittura canonical ID: %1"
"Total of %1 record(s) were successfully disabled","%1 record/s disabilitato/i con successo"
"Total of %1 record(s) were successfully enabled","%1 record/s abilitato/i con successo"
"Row was saved.","La riga è stata salvata."
"No data to save.","Nessun dato da salvare."
"SEO Checklist","Checklist SEO"
"Create a unique url key for all of your categories listed on this table. If the table is empty, this means that you do not have duplicate keys and can push the ""<a href=""%1"" target=""_blank"">Remove parent category path</a>"" button to change category urls.","Crea una chiave URL univoca per tutte le categorie elencate in questa tabella. Se la tabella è vuota, significa che non hai chiavi duplicate e puoi premere il pulsante ""<a href=""%1"" target=""_blank"">Rimuovi percorso categoria padre</a>"" per modificare gli URL delle categorie."
"Category duplicate urls","URL categorie duplicati"
"Add redirect","Aggiungi reindirizzamento"
"Item was successfully deleted","Elemento eliminato con successo"
"Edit redirect","Modifica reindirizzamento"
"The item does not exist.","L'elemento non esiste."
"Total of %1 record(s) were successfully deleted","%1 record/s eliminato/i con successo"
"Item was successfully saved","Elemento salvato con successo"
"Unable to find an item to save","Impossibile trovare un elemento da salvare"
"There is no sample file for this entity.","Non esiste un file di esempio per questa entità."
"%1 records were inserted or updated","%1 record inseriti o aggiornati"
"URLs have been processed.","Gli URL sono stati elaborati."
"Something went wrong.","Si è verificato un errore."
"Missing canonical URL.","URL canonical mancante."
"%1 canonical on the page.","%1 canonical nella pagina."
"Canonical created not using Mirasvit SEO extension.","Canonical creato senza utilizzare l'estensione Mirasvit SEO."
"There is no H1 tag on the page.","Non c'è alcun tag H1 nella pagina."
"One H1 tag","Un tag H1"
"%1 H1 tags.","%1 tag H1."
"Length = %1. Recommended length up to %2 characters.","Lunghezza = %1. Lunghezza consigliata fino a %2 caratteri."
"Meta title not defined.","Meta titolo non definito."
"Meta description not defined.","Meta descrizione non definita."
"Meta keywords not defined.","Meta parole chiave non definite."
"Some alt tags are empty or missing.","Alcuni tag alt sono vuoti o mancanti."
"Total number of images","Numero totale di immagini"
"Images without alt attribute","Immagini senza attributo alt"
"Images with empty alt attribute","Immagini con attributo alt vuoto"
"%1 images with correct alt attribute.","%1 immagini con attributo alt corretto."
"Conditions combination","Combinazione di condizioni"
"Categories and layered navigation","Categorie e navigazione a strati"
"Products","Prodotti"
"Product attributes","Attributi prodotto"
"Products additional","Prodotti aggiuntivi"
"Attribute set","Set di attributi"
"Category","Categoria"
"Created (days ago)","Creato (giorni fa)"
"Updated (days ago)","Aggiornato (giorni fa)"
"Quantity","Quantità"
"Price - Final Price","Prezzo - Prezzo finale"
"Percent Discount","Sconto percentuale"
"Open Chooser","Apri selettore"
"Disabled","Disabilitato"
"Enabled for all websites","Abilitato per tutti i siti web"
"Configure","Configura"
"Add automatically","Aggiungi automaticamente"
"Add all selected options","Aggiungi tutte le opzioni selezionate"
"Add if only one option selected","Aggiungi solo se è selezionata un'opzione"
"Without filters","Senza filtri"
"With all filters","Con tutti i filtri"
"Default","Predefinito"
"Parent product","Prodotto padre"
"Use Robots meta header","Usa intestazione meta Robots"
"Enabled","Abilitato"
"Enabled if cookie exist","Abilitato se esiste il cookie"
"Right","Destra"
"Left","Sinistra"
"Active","Attivo"
"Inactive","Inattivo"
"Don't change","Non modificare"
"NOINDEX, NOFOLLOW","NOINDEX, NOFOLLOW"
"NOINDEX, FOLLOW","NOINDEX, FOLLOW"
"INDEX, NOFOLLOW","INDEX, NOFOLLOW"
"INDEX, FOLLOW","INDEX, FOLLOW"
"Default first","Predefinito prima"
"Custom","Personalizzato"
"Brand only","Solo marca"
"Category + Brand","Categoria + Marca"
"Direct link","Link diretto"
"Shortest path","Percorso più breve"
"Longest path","Percorso più lungo"
"Long","Lungo"
"Short","Breve"
"Include categories path to Product URLs","Includi percorso categorie negli URL prodotto"
"Don't include categories path to Product URLs","Non includere percorso categorie negli URL prodotto"
"301 Moved permanently","301 Spostato permanentemente"
"302 Object moved","302 Oggetto spostato"
"307 Temporary redirect","307 Reindirizzamento temporaneo"
"Total number of products with reviews","Numero totale di prodotti con recensioni"
"Total number of reviews","Numero totale di recensioni"
"Redirect to the same page with trailing slash","Reindirizza alla stessa pagina con barra finale"
"Redirect to the same page without trailing slash","Reindirizza alla stessa pagina senza barra finale"
"Parent category path has been removed.","Il percorso della categoria padre è stato rimosso."
"Alternate Settings","Impostazioni alternative"
"Alternate group","Gruppo alternativo"
"Open Graph Image Url","URL immagine Open Graph"
"Wrong Hreflang locale code value: ""%1"". Must use the <a target=""_blank"" href=""http://en.wikipedia.org/wiki/ISO_3166-1_alpha-2"">ISO 3166-1 Alpha 2 format</a>","Valore del codice locale Hreflang errato: ""%1"". Deve utilizzare il <a target=""_blank"" href=""http://en.wikipedia.org/wiki/ISO_3166-1_alpha-2"">formato ISO 3166-1 Alpha 2</a>"
"Template for URL key of Product Images","Template per la chiave URL delle immagini prodotto"
"Template for Product Images Alt","Template per l'alt delle immagini prodotto"
"Template for Product Images Title","Template per il titolo delle immagini prodotto"
"The store can't be indexed when closed to robots and crawlers.","Il negozio non può essere indicizzato quando è chiuso ai robot e ai crawler."
"The page needs to display a correct title and store description in search results.","La pagina deve visualizzare un titolo corretto e la descrizione del negozio nei risultati di ricerca."
"Unable to run test, the robots.txt file is empty","Impossibile eseguire il test, il file robots.txt è vuoto"
"Get a deeper understanding of your customers. Google Analytics gives you the free tools you need to analyze data for your business in one place.","Ottieni una comprensione più profonda dei tuoi clienti. Google Analytics ti fornisce gli strumenti gratuiti per analizzare i dati della tua attività in un unico posto."
"Please enable the Mirasvit_SeoSitemap module by running the following command: <pre>bin/magento module:enable Mirasvit_SeoSitemap</pre>","Abilita il modulo Mirasvit_SeoSitemap eseguendo il seguente comando: <pre>bin/magento module:enable Mirasvit_SeoSitemap</pre>"
"Enhanced search results that provide additional information to searchers on the contents of a page. Google and other search engines use structured data, contained within the HTML, or Javascript of a webpage, to form these snippets.","Risultati di ricerca migliorati che forniscono informazioni aggiuntive agli utenti sui contenuti di una pagina. Google e altri motori di ricerca utilizzano dati strutturati, contenuti nell'HTML o nel Javascript di una pagina web, per formare questi snippet."
"Using product names or other variables as image filenames is more descriptive to search engines than using random characters or numbers.","Usare i nomi dei prodotti o altre variabili come nomi dei file immagine è più descrittivo per i motori di ricerca rispetto all'utilizzo di caratteri o numeri casuali."
"Alt tags provide a text alternative for an image for search engines and those using screen readers to access a web page.","I tag alt forniscono un'alternativa testuale a un'immagine per i motori di ricerca e per chi usa lettori di schermo per accedere a una pagina web."
"When the ""Use meta tags from products if they are not empty"" option is set to ""Yes"", it will affect this template. Read more","Quando l'opzione ""Usa meta tag dai prodotti se non sono vuoti"" è impostata su ""Sì"", influenzerà questo template. Leggi di più"
"When the ""Use meta tags from categories if they are not empty"" option is set to ""Yes"", it will affect this template. Read more","Quando l'opzione ""Usa meta tag dalle categorie se non sono vuoti"" è impostata su ""Sì"", influenzerà questo template. Leggi di più"
"Blog Data","Dati blog"
"Brand Data","Dati marca"
"Category Data","Dati categoria"
"CMS Page Data","Dati pagine CMS"
"Filter Data","Dati filtro"
"Landing Page Data","Dati landing page"
"Current Page Data","Dati pagina corrente"
"Pagination","Paginazione"
"Page %1","Pagina %1"
"Product Data","Dati prodotto"
"Store Data","Dati negozio"
"Reversed by TrailingSlashService","Invertito da TrailingSlashService"
"Auto-generated by TrailingSlashService","Generato automaticamente da TrailingSlashService"
"Product ID: %1 Store ID: %2 Url Key: %3","ID prodotto: %1 ID negozio: %2 Chiave URL: %3"
"Already used url key","Chiave URL già utilizzata"
"Empty url key","Chiave URL vuota"
"Duplicate used url key","Chiave URL duplicata"
"Updated url key","Chiave URL aggiornata"
"Edit","Modifica"
"Delete","Elimina"
"Delete item?","Eliminare l'elemento?"
"Back","Indietro"
"Are you sure you want to do this?","Sei sicuro di voler eseguire questa operazione?"
"Reset","Reimposta"
"Resets input fields values","Reimposta i valori dei campi di input"
"Save and continue edit","Salva e continua la modifica"
"Save","Salva"
"All store views","Tutte le viste del negozio"
"Tests passed.","Test superati."
"test(s) remaining","test rimanenti"
"Hint","Suggerimento"
"Solution","Soluzione"
"here","qui"
"Import redirects (.csv)","Importa reindirizzamenti (.csv)"
"Import redirects","Importa reindirizzamenti"
"Download example CSV file for redirect import","Scarica il file CSV di esempio per l'importazione dei reindirizzamenti"
"Example of CSV file","Esempio di file CSV"
"Export redirects (.csv)","Esporta reindirizzamenti (.csv)"
"Export redirects","Esporta reindirizzamenti"
"This operation can take a long time.","Questa operazione potrebbe richiedere molto tempo."
"All category URLs will be changed. This action cannot be undone. Do you want to confirm it?","Tutti gli URL delle categorie verranno modificati. Questa azione non può essere annullata. Vuoi confermarlo?"
