"Conditions","Condições"
"Rule conditions (leave blank to use only regular expression)","Condições da regra (deixe em branco para usar apenas expressão regular)"
"Checklist","Lista de verificação"
"Duplicateinfo","Informações de duplicatas"
"Store Id","ID da loja"
"Category Path","Caminho da categoria"
"Category Id","ID da categoria"
"Current request path","Caminho da solicitação atual"
"URL key","Chave de URL"
"Root Catalog (ID: 1)","Catálogo raiz (ID: 1)"
"(ID: %1)","(ID: %1)"
"Redirects","Redirecionamentos"
"Canonical rewrite","Reescrita canonical"
"Cross-links","Links cruzados"
"Sitemap","Mapa do site"
"Settings","Configurações"
"User manual","Manual do usuário"
"Get support","Obter suporte"
"Add New Redirect","Adicionar novo redirecionamento"
"Import/Export redirects","Importar/Exportar redirecionamentos"
"Rewrite manager","Gerenciador de reescritas"
"Add rewrite","Adicionar reescrita"
"Store group","Grupo de loja"
"Hreflang","Hreflang"
"Store","Loja"
"Add","Adicionar"
"(Id: %1)","(Id: %1)"
"Stores","Lojas"
"button_label","button_label"
"Attribute","Atributo"
"Usage","Uso"
"Page type","Tipo de página"
"Remove parent category path","Remover caminho da categoria pai"
"URL pattern","Padrão de URL"
"Option","Opção"
"Meta title","Meta título"
"Meta keywords","Meta palavras-chave"
"Meta description","Meta descrição"
"Title (H1)","Título (H1)"
"SEO description","Descrição SEO"
"Product short description","Descrição curta do produto"
"Product description","Descrição do produto"
"Add SEO Template","Adicionar template SEO"
"Home","Início"
"Go to Home Page","Ir para a página inicial"
"SEO","SEO"
"This row no longer exists.","Esta linha não existe mais."
"New canonical rewrite","Nova reescrita canonical"
"%1 item(s) was removed","%1 item(ns) foi(ram) removido(s)"
"Please select item(s)","Por favor, selecione item(ns)"
"Edit canonical rewrite ID: %1","Editar reescrita canonical ID: %1"
"Total of %1 record(s) were successfully disabled","Total de %1 registro(s) desativado(s) com sucesso"
"Total of %1 record(s) were successfully enabled","Total de %1 registro(s) ativado(s) com sucesso"
"Row was saved.","A linha foi salva."
"No data to save.","Nenhum dado para salvar."
"SEO Checklist","Lista de verificação SEO"
"Create a unique url key for all of your categories listed on this table. If the table is empty, this means that you do not have duplicate keys and can push the ""<a href=""%1"" target=""_blank"">Remove parent category path</a>"" button to change category urls.","Crie uma chave de URL exclusiva para todas as suas categorias listadas nesta tabela. Se a tabela estiver vazia, significa que você não tem chaves duplicadas e pode clicar no botão ""<a href=""%1"" target=""_blank"">Remover caminho da categoria pai</a>"" para alterar as URLs das categorias."
"Category duplicate urls","URLs de categoria duplicadas"
"Add redirect","Adicionar redirecionamento"
"Item was successfully deleted","Item excluído com sucesso"
"Edit redirect","Editar redirecionamento"
"The item does not exist.","O item não existe."
"Total of %1 record(s) were successfully deleted","Total de %1 registro(s) excluído(s) com sucesso"
"Item was successfully saved","Item salvo com sucesso"
"Unable to find an item to save","Não foi possível encontrar um item para salvar"
"There is no sample file for this entity.","Não há arquivo de amostra para esta entidade."
"%1 records were inserted or updated","%1 registros foram inseridos ou atualizados"
"URLs have been processed.","As URLs foram processadas."
"Something went wrong.","Algo deu errado."
"Missing canonical URL.","URL canonical ausente."
"%1 canonical on the page.","%1 canonical na página."
"Canonical created not using Mirasvit SEO extension.","Canonical criado sem usar a extensão Mirasvit SEO."
"There is no H1 tag on the page.","Não há tag H1 na página."
"One H1 tag","Uma tag H1"
"%1 H1 tags.","%1 tags H1."
"Length = %1. Recommended length up to %2 characters.","Comprimento = %1. Comprimento recomendado até %2 caracteres."
