"Conditions","Condições"
"Rule conditions (leave blank to use only regular expression)","Condições de regra (deixe em branco para usar apenas expressão regular)"
"Checklist","Lista de verificação"
"Duplicateinfo","Informações de duplicados"
"Store Id","ID da loja"
"Category Path","Caminho de categoria"
"Category Id","ID de categoria"
"Current request path","Caminho de pedido atual"
"URL key","Chave de URL"
"Root Catalog (ID: 1)","Catálogo raiz (ID: 1)"
"(ID: %1)","(ID: %1)"
"Redirects","Redireccionamentos"
"Canonical rewrite","Reescrita canónica"
"Cross-links","Hiperligações cruzadas"
"Sitemap","Mapa do site"
"Settings","Definições"
"User manual","Manual do utilizador"
"Get support","Obter suporte"
"Add New Redirect","Adicionar novo redireccionamento"
"Import/Export redirects","Importar/Exportar redireccionamentos"
"Rewrite manager","Gestor de reescritas"
"Add rewrite","Adicionar reescrita"
"Store group","Grupo de loja"
"Hreflang","Hreflang"
"Store","Loja"
"Add","Adicionar"
"(Id: %1)","(Id: %1)"
"Stores","Lojas"
"button_label","button_label"
"Attribute","Atributo"
"Usage","Utilização"
"Page type","Tipo de página"
"Remove parent category path","Remover caminho de categoria pai"
"URL pattern","Padrão de URL"
"Option","Opção"
"Meta title","Meta título"
"Meta keywords","Meta palavras-chave"
"Meta description","Meta descrição"
"Title (H1)","Título (H1)"
"SEO description","Descrição SEO"
"Product short description","Descrição breve do produto"
"Product description","Descrição do produto"
"Add SEO Template","Adicionar modelo SEO"
"Home","Início"
"Go to Home Page","Ir para a página inicial"
"SEO","SEO"
"This row no longer exists.","Esta linha já não existe."
"New canonical rewrite","Nova reescrita canónica"
"%1 item(s) was removed","%1 item(s) foi(foram) removido(s)"
"Please select item(s)","Selecione o(s) item(s)"
"Edit canonical rewrite ID: %1","Editar reescrita canónica ID: %1"
"Total of %1 record(s) were successfully disabled","Total de %1 registo(s) desativado(s) com sucesso"
"Total of %1 record(s) were successfully enabled","Total de %1 registo(s) ativado(s) com sucesso"
"Row was saved.","A linha foi guardada."
"No data to save.","Não há dados para guardar."
"SEO Checklist","Lista de verificação SEO"
"Create a unique url key for all of your categories listed on this table. If the table is empty, this means that you do not have duplicate keys and can push the ""<a href=""%1"" target=""_blank"">Remove parent category path</a>"" button to change category urls.","Crie uma chave de URL única para todas as categorias listadas nesta tabela. Se a tabela estiver vazia, significa que não tem chaves duplicadas e pode premir o botão ""<a href=""%1"" target=""_blank"">Remover caminho de categoria pai</a>"" para alterar os URLs das categorias."
"Category duplicate urls","URLs duplicados de categoria"
"Add redirect","Adicionar redireccionamento"
"Item was successfully deleted","O item foi eliminado com sucesso"
"Edit redirect","Editar redireccionamento"
"The item does not exist.","O item não existe."
"Total of %1 record(s) were successfully deleted","Total de %1 registo(s) eliminado(s) com sucesso"
"Item was successfully saved","O item foi guardado com sucesso"
"Unable to find an item to save","Não foi possível encontrar um item para guardar"
"There is no sample file for this entity.","Não existe ficheiro de exemplo para esta entidade."
"%1 records were inserted or updated","%1 registos foram inseridos ou atualizados"
"URLs have been processed.","Os URLs foram processados."
"Something went wrong.","Algo correu mal."
"Missing canonical URL.","URL canónico em falta."
"%1 canonical on the page.","%1 canónico(s) na página."
"Canonical created not using Mirasvit SEO extension.","Canónico criado sem utilizar a extensão Mirasvit SEO."
"There is no H1 tag on the page.","Não existe etiqueta H1 na página."
"One H1 tag","Uma etiqueta H1"
"%1 H1 tags.","%1 etiquetas H1."
"Length = %1. Recommended length up to %2 characters.","Comprimento = %1. Comprimento recomendado até %2 caracteres."
"Meta title not defined.","Meta título não definido."
"Meta description not defined.","Meta descrição não definida."
"Meta keywords not defined.","Meta palavras-chave não definidas."
"Some alt tags are empty or missing.","Algumas etiquetas alt estão vazias ou em falta."
"Total number of images","Número total de imagens"
"Images without alt attribute","Imagens sem atributo alt"
"Images with empty alt attribute","Imagens com atributo alt vazio"
"%1 images with correct alt attribute.","%1 imagens com atributo alt correto."
"Conditions combination","Combinação de condições"
"Categories and layered navigation","Categorias e navegação em camadas"
"Products","Produtos"
"Product attributes","Atributos de produto"
"Products additional","Produtos adicionais"
"Attribute set","Conjunto de atributos"
"Category","Categoria"
"Created (days ago)","Criado (há dias)"
"Updated (days ago)","Atualizado (há dias)"
"Quantity","Quantidade"
"Price - Final Price","Preço - Preço final"
"Percent Discount","Desconto percentual"
"Open Chooser","Abrir seletor"
"Disabled","Desativado"
"Enabled for all websites","Ativado para todos os sites"
"Configure","Configurar"
"Add automatically","Adicionar automaticamente"
"Add all selected options","Adicionar todas as opções selecionadas"
"Add if only one option selected","Adicionar se apenas uma opção estiver selecionada"
"Without filters","Sem filtros"
"With all filters","Com todos os filtros"
"Default","Predefinição"
"Parent product","Produto pai"
"Use Robots meta header","Usar cabeçalho meta Robots"
"Enabled","Ativado"
"Enabled if cookie exist","Ativado se o cookie existir"
"Right","Direita"
"Left","Esquerda"
"Active","Ativo"
"Inactive","Inativo"
"Don't change","Não alterar"
"NOINDEX, NOFOLLOW","NOINDEX, NOFOLLOW"
"NOINDEX, FOLLOW","NOINDEX, FOLLOW"
"INDEX, NOFOLLOW","INDEX, NOFOLLOW"
"INDEX, FOLLOW","INDEX, FOLLOW"
"Default first","Predefinição primeiro"
"Custom","Personalizado"
"Brand only","Apenas marca"
"Category + Brand","Categoria + Marca"
"Direct link","Hiperligação direta"
"Shortest path","Caminho mais curto"
"Longest path","Caminho mais longo"
"Long","Longo"
"Short","Curto"
"Include categories path to Product URLs","Incluir caminho de categorias nos URLs de produto"
"Don't include categories path to Product URLs","Não incluir caminho de categorias nos URLs de produto"
"301 Moved permanently","301 Movido permanentemente"
"302 Object moved","302 Objeto movido"
"307 Temporary redirect","307 Redireccionamento temporário"
"Total number of products with reviews","Número total de produtos com avaliações"
"Total number of reviews","Número total de avaliações"
"Redirect to the same page with trailing slash","Redirecionar para a mesma página com barra final"
"Redirect to the same page without trailing slash","Redirecionar para a mesma página sem barra final"
"Parent category path has been removed.","O caminho da categoria pai foi removido."
"Alternate Settings","Definições alternativas"
"Alternate group","Grupo alternativo"
"Open Graph Image Url","URL da imagem Open Graph"
"Wrong Hreflang locale code value: ""%1"". Must use the <a target=""_blank"" href=""http://en.wikipedia.org/wiki/ISO_3166-1_alpha-2"">ISO 3166-1 Alpha 2 format</a>","Valor de código de localidade Hreflang incorreto: ""%1"". Deve usar o <a target=""_blank"" href=""http://en.wikipedia.org/wiki/ISO_3166-1_alpha-2"">formato ISO 3166-1 Alpha 2</a>"
"Template for URL key of Product Images","Modelo para chave de URL de imagens de produto"
"Template for Product Images Alt","Modelo para alt de imagens de produto"
"Template for Product Images Title","Modelo para título de imagens de produto"
"The store can't be indexed when closed to robots and crawlers.","A loja não pode ser indexada quando está fechada a robots e crawlers."
"The page needs to display a correct title and store description in search results.","A página tem de apresentar um título correto e a descrição da loja nos resultados de pesquisa."
"Unable to run test, the robots.txt file is empty","Não é possível executar o teste: o ficheiro robots.txt está vazio"
"Get a deeper understanding of your customers. Google Analytics gives you the free tools you need to analyze data for your business in one place.","Obtenha uma compreensão mais aprofundada dos seus clientes. O Google Analytics fornece-lhe as ferramentas gratuitas necessárias para analisar dados do seu negócio num único lugar."
"Please enable the Mirasvit_SeoSitemap module by running the following command: <pre>bin/magento module:enable Mirasvit_SeoSitemap</pre>","Ative o módulo Mirasvit_SeoSitemap executando o seguinte comando: <pre>bin/magento module:enable Mirasvit_SeoSitemap</pre>"
"Enhanced search results that provide additional information to searchers on the contents of a page. Google and other search engines use structured data, contained within the HTML, or Javascript of a webpage, to form these snippets.","Resultados de pesquisa melhorados que fornecem informações adicionais aos utilizadores sobre o conteúdo de uma página. O Google e outros motores de pesquisa utilizam dados estruturados, contidos no HTML ou JavaScript de uma página web, para formar esses snippets."
"Using product names or other variables as image filenames is more descriptive to search engines than using random characters or numbers.","Utilizar nomes de produtos ou outras variáveis como nomes de ficheiros de imagem é mais descritivo para os motores de pesquisa do que usar caracteres ou números aleatórios."
"Alt tags provide a text alternative for an image for search engines and those using screen readers to access a web page.","As etiquetas alt fornecem uma alternativa textual para uma imagem destinada a motores de pesquisa e a utilizadores de leitores de ecrã."
"When the ""Use meta tags from products if they are not empty"" option is set to ""Yes"", it will affect this template. Read more","Quando a opção ""Usar meta etiquetas de produtos se não estiverem vazias"" estiver definida como ""Sim"", afetará este modelo. Ler mais"
"When the ""Use meta tags from categories if they are not empty"" option is set to ""Yes"", it will affect this template. Read more","Quando a opção ""Usar meta etiquetas de categorias se não estiverem vazias"" estiver definida como ""Sim"", afetará este modelo. Ler mais"
"Blog Data","Dados do blogue"
"Brand Data","Dados da marca"
"Category Data","Dados de categoria"
"CMS Page Data","Dados de página CMS"
"Filter Data","Dados de filtro"
"Landing Page Data","Dados de página de destino"
"Current Page Data","Dados da página atual"
"Pagination","Paginação"
"Page %1","Página %1"
"Product Data","Dados de produto"
"Store Data","Dados da loja"
"Reversed by TrailingSlashService","Revertido pelo TrailingSlashService"
"Auto-generated by TrailingSlashService","Gerado automaticamente pelo TrailingSlashService"
"Product ID: %1 Store ID: %2 Url Key: %3","ID de produto: %1 ID de loja: %2 Chave de URL: %3"
"Already used url key","Chave de URL já utilizada"
"Empty url key","Chave de URL vazia"
"Duplicate used url key","Chave de URL duplicada utilizada"
"Updated url key","Chave de URL atualizada"
"Edit","Editar"
"Delete","Eliminar"
"Delete item?","Eliminar item?"
"Back","Voltar"
"Are you sure you want to do this?","Tem a certeza de que pretende efetuar esta ação?"
"Reset","Repor"
"Resets input fields values","Repõe os valores dos campos de entrada"
"Save and continue edit","Guardar e continuar a editar"
"Save","Guardar"
"All store views","Todas as vistas de loja"
"Tests passed.","Testes concluídos com sucesso."
"test(s) remaining","teste(s) restante(s)"
"Hint","Sugestão"
"Solution","Solução"
"here","aqui"
"Import redirects (.csv)","Importar redireccionamentos (.csv)"
"Import redirects","Importar redireccionamentos"
"Download example CSV file for redirect import","Descarregar ficheiro CSV de exemplo para importação de redireccionamentos"
"Example of CSV file","Exemplo de ficheiro CSV"
"Export redirects (.csv)","Exportar redireccionamentos (.csv)"
"Export redirects","Exportar redireccionamentos"
"This operation can take a long time.","Esta operação pode demorar algum tempo."
"All category URLs will be changed. This action cannot be undone. Do you want to confirm it?","Todos os URLs de categoria serão alterados. Esta ação não pode ser anulada. Deseja confirmar?"
"Error during request.","Erro durante o pedido."
"Error during removal of category path.","Erro ao remover o caminho de categoria."
"Error during processing URLs.","Erro ao processar URLs."
"All URLs will be changed. This action cannot be undone. Do you want to confirm it?","Todos os URLs serão alterados. Esta ação não pode ser anulada. Deseja confirmar?"
"Category image for %1","Imagem de categoria para %1"
"Attention","Atenção"
"SEO general settings","Definições gerais de SEO"
"Canonical settings","Definições canónicas"
"Configure canonical URLs to prevent duplicate content issues and consolidate ranking signals.","Configure URLs canónicos para evitar problemas de conteúdo duplicado e consolidar sinais de classificação."
"Common settings","Definições comuns"
"Control general canonical URL behavior across your store.","Controle o comportamento geral dos URLs canónicos na sua loja."
"Enable canonical URLs","Ativar URLs canónicos"
"Activate canonical URL generation to prevent duplicate content penalties and improve SEO ranking.","Ative a geração de URLs canónicos para evitar penalizações por conteúdo duplicado e melhorar a classificação SEO."
"Don't use canonical URLs on pages","Não usar URLs canónicos nas páginas"
"Specify URL patterns where canonical tags should be omitted (one URL per line).","Especifique padrões de URL onde as etiquetas canónicas devem ser omitidas (um URL por linha)."
"Add pagination to canonical URLs","Adicionar paginação aos URLs canónicos"
