"Conditions","Villkor"
"Rule conditions (leave blank to use only regular expression)","Regelvillkor (lämna tomt för att endast använda reguljärt uttryck)"
"Checklist","Checklista"
"Duplicateinfo","Duplicatinformation"
"Store Id","Butiks-ID"
"Category Path","Kategorisökväg"
"Category Id","Kategori-ID"
"Current request path","Aktuell förfrågningssökväg"
"URL key","URL-nyckel"
"Root Catalog (ID: 1)","Rotkatalog (ID: 1)"
"(ID: %1)","(ID: %1)"
"Redirects","Omdirigeringar"
"Canonical rewrite","Kanonisk omskrivning"
"Cross-links","Korslänkar"
"Sitemap","Webbplatskarta"
"Settings","Inställningar"
"User manual","Användarmanual"
"Get support","Få support"
"Add New Redirect","Lägg till ny omdirigering"
"Import/Export redirects","Importera/exportera omdirigeringar"
"Rewrite manager","Omskrivningshanterare"
"Add rewrite","Lägg till omskrivning"
"Store group","Butiksgrupp"
"Hreflang","Hreflang"
"Store","Butik"
"Add","Lägg till"
"(Id: %1)","(Id: %1)"
"Stores","Butiker"
"button_label","button_label"
"Attribute","Attribut"
"Usage","Användning"
"Page type","Sidtyp"
"Remove parent category path","Ta bort överordnad kategorisökväg"
"URL pattern","URL-mönster"
"Option","Alternativ"
"Meta title","Meta-titel"
"Meta keywords","Meta-nyckelord"
"Meta description","Meta-beskrivning"
"Title (H1)","Titel (H1)"
"SEO description","SEO-beskrivning"
"Product short description","Kort produktbeskrivning"
"Product description","Produktbeskrivning"
"Add SEO Template","Lägg till SEO-mall"
"Home","Hem"
"Go to Home Page","Gå till startsidan"
"SEO","SEO"
"This row no longer exists.","Den här raden finns inte längre."
"New canonical rewrite","Ny kanonisk omskrivning"
"%1 item(s) was removed","%1 objekt togs bort"
"Please select item(s)","Välj objekt"
"Edit canonical rewrite ID: %1","Redigera kanonisk omskrivning ID: %1"
"Total of %1 record(s) were successfully disabled","Totalt %1 post(er) inaktiverades"
"Total of %1 record(s) were successfully enabled","Totalt %1 post(er) aktiverades"
"Row was saved.","Raden sparades."
"No data to save.","Inga data att spara."
"SEO Checklist","SEO-checklista"
"Create a unique url key for all of your categories listed on this table. If the table is empty, this means that you do not have duplicate keys and can push the ""<a href=""%1"" target=""_blank"">Remove parent category path</a>"" button to change category urls.","Skapa en unik URL-nyckel för alla dina kategorier i den här tabellen. Om tabellen är tom betyder det att du inte har duplicerade nycklar och kan trycka på knappen ""<a href=""%1"" target=""_blank"">Ta bort överordnad kategorisökväg</a>"" för att ändra kategori-URL:er."
"Category duplicate urls","Duplicerade kategori-URL:er"
"Add redirect","Lägg till omdirigering"
"Item was successfully deleted","Objektet togs bort"
"Edit redirect","Redigera omdirigering"
"The item does not exist.","Objektet finns inte."
"Total of %1 record(s) were successfully deleted","Totalt %1 post(er) togs bort"
"Item was successfully saved","Objektet sparades"
"Unable to find an item to save","Kunde inte hitta ett objekt att spara"
"There is no sample file for this entity.","Det finns ingen exempelfil för den här entiteten."
"%1 records were inserted or updated","%1 poster infogades eller uppdaterades"
"URLs have been processed.","URL:er har bearbetats."
"Something went wrong.","Något gick fel."
"Missing canonical URL.","Kanonisk URL saknas."
"%1 canonical on the page.","%1 kanonisk(a) på sidan."
"Canonical created not using Mirasvit SEO extension.","Kanonisk skapad utan Mirasvit SEO-tillägget."
"There is no H1 tag on the page.","Det finns ingen H1-tagg på sidan."
"One H1 tag","En H1-tagg"
"%1 H1 tags.","%1 H1-taggar."
"Length = %1. Recommended length up to %2 characters.","Längd = %1. Rekommenderad längd upp till %2 tecken."
"Meta title not defined.","Meta-titel är inte definierad."
"Meta description not defined.","Meta-beskrivning är inte definierad."
"Meta keywords not defined.","Meta-nyckelord är inte definierade."
"Some alt tags are empty or missing.","Vissa alt-taggar är tomma eller saknas."
"Total number of images","Totalt antal bilder"
"Images without alt attribute","Bilder utan alt-attribut"
"Images with empty alt attribute","Bilder med tomt alt-attribut"
"%1 images with correct alt attribute.","%1 bilder med korrekt alt-attribut."
"Conditions combination","Villkorskombination"
"Categories and layered navigation","Kategorier och lagernavigering"
"Products","Produkter"
"Product attributes","Produktattribut"
"Products additional","Ytterligare produkter"
"Attribute set","Attributuppsättning"
"Category","Kategori"
"Created (days ago)","Skapad (dagar sedan)"
"Updated (days ago)","Uppdaterad (dagar sedan)"
"Quantity","Antal"
"Price - Final Price","Pris - Slutpris"
"Percent Discount","Procentrabatt"
"Open Chooser","Öppna väljare"
"Disabled","Inaktiverad"
"Enabled for all websites","Aktiverad för alla webbplatser"
"Configure","Konfigurera"
"Add automatically","Lägg till automatiskt"
"Add all selected options","Lägg till alla valda alternativ"
"Add if only one option selected","Lägg till om endast ett alternativ är valt"
"Without filters","Utan filter"
"With all filters","Med alla filter"
"Default","Standard"
"Parent product","Överordnad produkt"
"Use Robots meta header","Använd Robots meta-huvud"
"Enabled","Aktiverad"
"Enabled if cookie exist","Aktiverad om cookie finns"
"Right","Höger"
"Left","Vänster"
"Active","Aktiv"
"Inactive","Inaktiv"
"Don't change","Ändra inte"
"NOINDEX, NOFOLLOW","NOINDEX, NOFOLLOW"
"NOINDEX, FOLLOW","NOINDEX, FOLLOW"
"INDEX, NOFOLLOW","INDEX, NOFOLLOW"
"INDEX, FOLLOW","INDEX, FOLLOW"
"Default first","Standard först"
"Custom","Anpassad"
"Brand only","Endast varumärke"
"Category + Brand","Kategori + Varumärke"
"Direct link","Direktlänk"
"Shortest path","Kortaste sökväg"
"Longest path","Längsta sökväg"
"Long","Lång"
"Short","Kort"
"Include categories path to Product URLs","Inkludera kategorisökväg i produkt-URL:er"
"Don't include categories path to Product URLs","Inkludera inte kategorisökväg i produkt-URL:er"
"301 Moved permanently","301 Permanent flytt"
"302 Object moved","302 Objekt flyttat"
"307 Temporary redirect","307 Tillfällig omdirigering"
"Total number of products with reviews","Totalt antal produkter med recensioner"
"Total number of reviews","Totalt antal recensioner"
"Redirect to the same page with trailing slash","Omdirigera till samma sida med avslutande snedstreck"
"Redirect to the same page without trailing slash","Omdirigera till samma sida utan avslutande snedstreck"
"Parent category path has been removed.","Överordnad kategorisökväg har tagits bort."
"Alternate Settings","Alternativa inställningar"
"Alternate group","Alternativ grupp"
"Open Graph Image Url","Open Graph-bild-URL"
"Wrong Hreflang locale code value: ""%1"". Must use the <a target=""_blank"" href=""http://en.wikipedia.org/wiki/ISO_3166-1_alpha-2"">ISO 3166-1 Alpha 2 format</a>","Fel Hreflang-lokalvärde: ""%1"". Måste använda <a target=""_blank"" href=""http://en.wikipedia.org/wiki/ISO_3166-1_alpha-2"">ISO 3166-1 Alpha 2-formatet</a>"
"Template for URL key of Product Images","Mall för URL-nyckel för produktbilder"
"Template for Product Images Alt","Mall för produktbilders alt-text"
"Template for Product Images Title","Mall för produktbilders titel"
"The store can't be indexed when closed to robots and crawlers.","Butiken kan inte indexeras när den är stängd för robotar och crawlers."
"The page needs to display a correct title and store description in search results.","Sidan måste visa en korrekt titel och butiksbeskrivning i sökresultaten."
"Unable to run test, the robots.txt file is empty","Kan inte köra test, filen robots.txt är tom"
"Get a deeper understanding of your customers. Google Analytics gives you the free tools you need to analyze data for your business in one place.","Få en djupare förståelse för dina kunder. Google Analytics ger dig de kostnadsfria verktyg du behöver för att analysera data för ditt företag på ett ställe."
