"Conditions","Koşullar"
"Rule conditions (leave blank to use only regular expression)","Kural koşulları (yalnızca düzenli ifade kullanmak için boş bırakın)"
"Checklist","Kontrol listesi"
"Duplicateinfo","Yineleme bilgisi"
"Store Id","Mağaza ID"
"Category Path","Kategori yolu"
"Category Id","Kategori ID"
"Current request path","Mevcut istek yolu"
"URL key","URL anahtarı"
"Root Catalog (ID: 1)","Kök Katalog (ID: 1)"
"(ID: %1)","(ID: %1)"
"Redirects","Yönlendirmeler"
"Canonical rewrite","Canonical yeniden yazma"
"Cross-links","Çapraz bağlantılar"
"Sitemap","Site Haritası"
"Settings","Ayarlar"
"User manual","Kullanım kılavuzu"
"Get support","Destek al"
"Add New Redirect","Yeni yönlendirme ekle"
"Import/Export redirects","Yönlendirme içe/dışa aktar"
"Rewrite manager","Yeniden yazma yöneticisi"
"Add rewrite","Yeniden yazma ekle"
"Store group","Mağaza grubu"
"Hreflang","Hreflang"
"Store","Mağaza"
"Add","Ekle"
"(Id: %1)","(Id: %1)"
"Stores","Mağazalar"
"button_label","button_label"
"Attribute","Özellik"
"Usage","Kullanım"
"Page type","Sayfa türü"
"Remove parent category path","Üst kategori yolunu kaldır"
"URL pattern","URL deseni"
"Option","Seçenek"
"Meta title","Meta başlık"
"Meta keywords","Meta anahtar kelimeler"
"Meta description","Meta açıklama"
"Title (H1)","Başlık (H1)"
"SEO description","SEO açıklaması"
"Product short description","Ürün kısa açıklaması"
"Product description","Ürün açıklaması"
"Add SEO Template","SEO şablonu ekle"
"Home","Ana sayfa"
"Go to Home Page","Ana sayfaya git"
"SEO","SEO"
"This row no longer exists.","Bu satır artık mevcut değil."
"New canonical rewrite","Yeni canonical yeniden yazma"
"%1 item(s) was removed","%1 öğe kaldırıldı"
"Please select item(s)","Lütfen öğe(leri) seçin"
"Edit canonical rewrite ID: %1","Canonical yeniden yazma ID: %1 düzenle"
"Total of %1 record(s) were successfully disabled","Toplam %1 kayıt başarıyla devre dışı bırakıldı"
"Total of %1 record(s) were successfully enabled","Toplam %1 kayıt başarıyla etkinleştirildi"
"Row was saved.","Satır kaydedildi."
"No data to save.","Kaydedilecek veri yok."
"SEO Checklist","SEO kontrol listesi"
"Create a unique url key for all of your categories listed on this table. If the table is empty, this means that you do not have duplicate keys and can push the ""<a href=""%1"" target=""_blank"">Remove parent category path</a>"" button to change category urls.","Bu tabloda listelenen tüm kategorileriniz için benzersiz bir URL anahtarı oluşturun. Tablo boşsa, yinelenen anahtarınız yok demektir ve kategori URL'lerini değiştirmek için ""<a href=""%1"" target=""_blank"">Üst kategori yolunu kaldır</a>"" düğmesine basabilirsiniz."
"Category duplicate urls","Kategori yinelenen URL'leri"
"Add redirect","Yönlendirme ekle"
"Item was successfully deleted","Öğe başarıyla silindi"
"Edit redirect","Yönlendirmeyi düzenle"
"The item does not exist.","Öğe mevcut değil."
"Total of %1 record(s) were successfully deleted","Toplam %1 kayıt başarıyla silindi"
"Item was successfully saved","Öğe başarıyla kaydedildi"
"Unable to find an item to save","Kaydedilecek öğe bulunamadı"
"There is no sample file for this entity.","Bu varlık için örnek dosya yok."
"%1 records were inserted or updated","%1 kayıt eklendi veya güncellendi"
"URLs have been processed.","URL'ler işlendi."
"Something went wrong.","Bir şeyler yanlış gitti."
"Missing canonical URL.","Eksik canonical URL."
"%1 canonical on the page.","Sayfada %1 canonical."
"Canonical created not using Mirasvit SEO extension.","Canonical, Mirasvit SEO uzantısı kullanılmadan oluşturuldu."
"There is no H1 tag on the page.","Sayfada H1 etiketi yok."
"One H1 tag","Bir H1 etiketi"
"%1 H1 tags.","%1 H1 etiketi."
"Length = %1. Recommended length up to %2 characters.","Uzunluk = %1. Önerilen uzunluk %2 karaktere kadar."
"Meta title not defined.","Meta başlık tanımlanmamış."
"Meta description not defined.","Meta açıklama tanımlanmamış."
"Meta keywords not defined.","Meta anahtar kelimeler tanımlanmamış."
"Some alt tags are empty or missing.","Bazı alt etiketleri boş veya eksik."
"Total number of images","Toplam resim sayısı"
"Images without alt attribute","Alt özelliği olmayan resimler"
"Images with empty alt attribute","Boş alt özelliğine sahip resimler"
"%1 images with correct alt attribute.","%1 resim doğru alt özelliğine sahip."
"Conditions combination","Koşul kombinasyonu"
"Categories and layered navigation","Kategoriler ve katmanlı navigasyon"
"Products","Ürünler"
"Product attributes","Ürün özellikleri"
"Products additional","Ek ürün ayarları"
"Attribute set","Özellik seti"
"Category","Kategori"
"Created (days ago)","Oluşturulma tarihi (gün önce)"
"Updated (days ago)","Güncellenme tarihi (gün önce)"
"Quantity","Miktar"
"Price - Final Price","Fiyat — Son Fiyat"
"Percent Discount","Yüzde İndirimi"
"Open Chooser","Seçiciyi aç"
"Disabled","Devre dışı"
"Enabled for all websites","Tüm web siteleri için etkin"
"Configure","Yapılandır"
"Add automatically","Otomatik ekle"
"Add all selected options","Seçilen tüm seçenekleri ekle"
"Add if only one option selected","Yalnızca bir seçenek seçiliyse ekle"
"Without filters","Filtre olmadan"
"With all filters","Tüm filtrelerle"
"Default","Varsayılan"
"Parent product","Üst ürün"
"Use Robots meta header","Robots meta header kullan"
"Enabled","Etkin"
"Enabled if cookie exist","Cookie varsa etkin"
"Right","Sağ"
"Left","Sol"
"Active","Aktif"
"Inactive","Etkin değil"
"Don't change","Değiştirme"
"NOINDEX, NOFOLLOW","NOINDEX, NOFOLLOW"
"NOINDEX, FOLLOW","NOINDEX, FOLLOW"
"INDEX, NOFOLLOW","INDEX, NOFOLLOW"
"INDEX, FOLLOW","INDEX, FOLLOW"
"Default first","Önce varsayılan"
"Custom","Özel"
"Brand only","Yalnızca marka"
"Category + Brand","Kategori + Marka"
"Direct link","Doğrudan bağlantı"
"Shortest path","En kısa yol"
"Longest path","En uzun yol"
"Long","Uzun"
"Short","Kısa"
"Include categories path to Product URLs","Ürün URL'lerine kategori yolunu dahil et"
"Don't include categories path to Product URLs","Ürün URL'lerine kategori yolunu dahil etme"
"301 Moved permanently","301 Kalıcı olarak taşındı"
"302 Object moved","302 Nesne taşındı"
"307 Temporary redirect","307 Geçici yönlendirme"
"Total number of products with reviews","Yorumlu ürünlerin toplam sayısı"
"Total number of reviews","Toplam yorum sayısı"
"Redirect to the same page with trailing slash","Sonda eğik çizgiyle aynı sayfaya yönlendir"
"Redirect to the same page without trailing slash","Sonda eğik çizgi olmadan aynı sayfaya yönlendir"
"Parent category path has been removed.","Üst kategori yolu kaldırıldı."
"Alternate Settings","Alternate ayarları"
"Alternate group","Alternate grubu"
"Open Graph Image Url","Open Graph Resim URL'si"
"Wrong Hreflang locale code value: ""%1"". Must use the <a target=""_blank"" href=""http://en.wikipedia.org/wiki/ISO_3166-1_alpha-2"">ISO 3166-1 Alpha 2 format</a>","Yanlış Hreflang yerel kodu değeri: ""%1"". <a target=""_blank"" href=""http://en.wikipedia.org/wiki/ISO_3166-1_alpha-2"">ISO 3166-1 Alpha 2 formatı</a> kullanılmalıdır"
"Template for URL key of Product Images","Ürün resimleri için URL anahtarı şablonu"
"Template for Product Images Alt","Ürün resimleri için alt şablonu"
"Template for Product Images Title","Ürün resimleri için title şablonu"
"The store can't be indexed when closed to robots and crawlers.","Mağaza, robotlara ve tarayıcılara kapalıyken indekslenemez."
"The page needs to display a correct title and store description in search results.","Sayfanın arama sonuçlarında doğru başlık ve mağaza açıklaması görüntülemesi gerekiyor."
"Unable to run test, the robots.txt file is empty","Test çalıştırılamıyor — robots.txt dosyası boş"
"Get a deeper understanding of your customers. Google Analytics gives you the free tools you need to analyze data for your business in one place.","Müşterilerinizi daha iyi anlayın. Google Analytics, işletmenizin verilerini tek bir yerde analiz etmek için ihtiyacınız olan ücretsiz araçları sağlar."
"Please enable the Mirasvit_SeoSitemap module by running the following command: <pre>bin/magento module:enable Mirasvit_SeoSitemap</pre>","Lütfen aşağıdaki komutu çalıştırarak Mirasvit_SeoSitemap modülünü etkinleştirin: <pre>bin/magento module:enable Mirasvit_SeoSitemap</pre>"
"Enhanced search results that provide additional information to searchers on the contents of a page. Google and other search engines use structured data, contained within the HTML, or Javascript of a webpage, to form these snippets.","Arama yapanlara bir sayfanın içeriği hakkında ek bilgi sağlayan gelişmiş arama sonuçları. Google ve diğer arama motorları bu snippet'leri oluşturmak için web sayfasının HTML'si veya JavaScript'i içinde yer alan yapılandırılmış verileri kullanır."
"Using product names or other variables as image filenames is more descriptive to search engines than using random characters or numbers.","Rastgele karakterler veya sayılar yerine ürün adları veya diğer değişkenlerin resim dosyası adları olarak kullanılması, arama motorları için daha açıklayıcıdır."
"Alt tags provide a text alternative for an image for search engines and those using screen readers to access a web page.","Alt etiketleri, arama motorları ve web sayfasına erişmek için ekran okuyucu kullananlar için bir resmin metin alternatifini sağlar."
"When the ""Use meta tags from products if they are not empty"" option is set to ""Yes"", it will affect this template. Read more","\"Boş değilse ürünlerden meta etiketleri kullan\" seçeneği \"Evet\" olarak ayarlandığında bu şablonu etkileyecektir. Daha fazla bilgi edinin"
"When the ""Use meta tags from categories if they are not empty"" option is set to ""Yes"", it will affect this template. Read more","\"Boş değilse kategorilerden meta etiketleri kullan\" seçeneği \"Evet\" olarak ayarlandığında bu şablonu etkileyecektir. Daha fazla bilgi edinin"
"Blog Data","Blog verileri"
"Brand Data","Marka verileri"
"Category Data","Kategori verileri"
"CMS Page Data","CMS sayfası verileri"
"Filter Data","Filtre verileri"
"Landing Page Data","Açılış sayfası verileri"
"Current Page Data","Mevcut sayfa verileri"
"Pagination","Sayfalama"
"Page %1","Sayfa %1"
"Product Data","Ürün verileri"
"Store Data","Mağaza verileri"
"Reversed by TrailingSlashService","TrailingSlashService tarafından geri alındı"
"Auto-generated by TrailingSlashService","TrailingSlashService tarafından otomatik oluşturuldu"
"Product ID: %1 Store ID: %2 Url Key: %3","Ürün ID: %1 Mağaza ID: %2 URL Anahtarı: %3"
"Already used url key","URL anahtarı zaten kullanımda"
"Empty url key","Boş URL anahtarı"
"Duplicate used url key","Yinelenen URL anahtarı"
"Updated url key","URL anahtarı güncellendi"
"Edit","Düzenle"
"Delete","Sil"
"Delete item?","Öğeyi sil?"
"Back","Geri"
"Are you sure you want to do this?","Bunu yapmak istediğinizden emin misiniz?"
"Reset","Sıfırla"
"Resets input fields values","Giriş alanlarının değerlerini sıfırlar"
"Save and continue edit","Kaydet ve düzenlemeye devam et"
"Save","Kaydet"
"All store views","Tüm mağaza görünümleri"
"Tests passed.","Testler geçti."
"test(s) remaining","kalan test(ler)"
"Hint","İpucu"
"Solution","Çözüm"
"here","burada"
"Import redirects (.csv)","Yönlendirmeleri içe aktar (.csv)"
"Import redirects","Yönlendirmeleri içe aktar"
"Download example CSV file for redirect import","Yönlendirme içe aktarımı için örnek CSV dosyasını indir"
"Example of CSV file","CSV dosyası örneği"
"Export redirects (.csv)","Yönlendirmeleri dışa aktar (.csv)"
"Export redirects","Yönlendirmeleri dışa aktar"
"This operation can take a long time.","Bu işlem uzun sürebilir."
"All category URLs will be changed. This action cannot be undone. Do you want to confirm it?","Tüm kategori URL'leri değiştirilecek. Bu işlem geri alınamaz. Onaylamak istiyor musunuz?"
"Error during request.","İstek sırasında hata."
"Error during removal of category path.","Kategori yolu kaldırılırken hata."
"Error during processing URLs.","URL'ler işlenirken hata."
"All URLs will be changed. This action cannot be undone. Do you want to confirm it?","Tüm URL'ler değiştirilecek. Bu işlem geri alınamaz. Onaylamak istiyor musunuz?"
"Category image for %1","%1 için kategori resmi"
"Attention","Dikkat"
"SEO general settings","Genel SEO ayarları"
"Canonical settings","Canonical ayarları"
"Configure canonical URLs to prevent duplicate content issues and consolidate ranking signals.","Yinelenen içerik sorunlarını önlemek ve sıralama sinyallerini pekiştirmek için canonical URL'leri yapılandırın."
"Common settings","Genel ayarlar"
"Control general canonical URL behavior across your store.","Mağazanız genelinde genel canonical URL davranışını kontrol edin."
"Enable canonical URLs","Canonical URL'leri etkinleştir"
"Activate canonical URL generation to prevent duplicate content penalties and improve SEO ranking.","Yinelenen içerik cezalarını önlemek ve SEO sıralamasını iyileştirmek için canonical URL oluşturmayı etkinleştirin."
"Don't use canonical URLs on pages","Sayfalarda canonical URL kullanma"
"Specify URL patterns where canonical tags should be omitted (one URL per line).","Canonical etiketlerin atlanması gereken URL desenlerini belirtin (satır başına bir URL)."
"Add pagination to canonical URLs","Canonical URL'lere sayfalama ekle"
"When enabled, pagination parameters will be included in canonical URLs for paginated content.","Etkinleştirildiğinde, sayfalama parametreleri sayfalanmış içerik için canonical URL'lere dahil edilir."
