"Page has links to broken page","Seite hat Links zu einer defekten Seite"
"Internal outlinks to 4xx","Interne ausgehende Links zu 4xx"
"Page has links to broken resources","Seite hat Links zu defekten Ressourcen"
"Linked broken resources","Verlinkte defekte Ressourcen"
"Redirects linked to the page","Weiterleitungen, die mit der Seite verknüpft sind"
"200 page","200-Seite"
"Status Code","Statuscode"
"404 page","404-Seite"
"4xx page","4xx-Seite"
"H1 tag is missing or empty","H1-Tag fehlt oder ist leer"
"H1 tag","H1-Tag"
"Page has more than one H1 tag","Seite hat mehr als ein H1-Tag"
"H1 tags","H1-Tags"
"Duplicate of meta description","Duplikat der Meta-Beschreibung"
"URLs with the same meta descriptions","URLs mit identischen Meta-Beschreibungen"
"The page doesn't have a meta description","Die Seite hat keine Meta-Beschreibung"
"No pages with the identical meta description found","Keine Seiten mit identischer Meta-Beschreibung gefunden"
"Empty meta description","Leere Meta-Beschreibung"
"Meta description too short","Meta-Beschreibung zu kurz"
"Meta description too long","Meta-Beschreibung zu lang"
"Meta description length","Länge der Meta-Beschreibung"
"Meta description","Meta-Beschreibung"
"Duplicate of meta title","Duplikat des Meta-Titels"
"URLs with the same meta titles","URLs mit identischen Meta-Titeln"
"The page doesn't have a meta title","Die Seite hat keinen Meta-Titel"
"No pages with the identical meta title found","Keine Seiten mit identischem Meta-Titel gefunden"
"Empty meta title","Leerer Meta-Titel"
"Meta title too short","Meta-Titel zu kurz"
"Meta title too long","Meta-Titel zu lang"
"Meta title length","Länge des Meta-Titels"
"Meta title","Meta-Titel"
"SEO audit disabled in configurations","SEO-Audit in den Konfigurationen deaktiviert"
"This job no longer exists.","Dieser Auftrag existiert nicht mehr."
"Job #%1 - %2","Auftrag #%1 - %2"
"SEO audit","SEO-Audit"
"See details","Details anzeigen"
"Back to all jobs","Zurück zu allen Aufträgen"
"Back to all issues","Zurück zu allen Problemen"
"See URL details","URL-Details anzeigen"
"URL","URL"
"Score","Bewertung"
"Message","Nachricht"
"Checks","Prüfungen"
"Health score","Gesundheitsbewertung"
"Health score reflects the results of all checks performed on internal URLs of the website","Die Gesundheitsbewertung spiegelt die Ergebnisse aller Prüfungen wider, die an internen URLs der Website durchgeführt wurden"
"Issue distribution","Problemverteilung"
"Issue Type","Problemtyp"
"Count","Anzahl"
"Distribution","Verteilung"
"Error","Fehler"
"Warning","Warnung"
"Notice","Hinweis"
"Error distribution","Fehlerverteilung"
"Status","Status"
"Description","Beschreibung"
"Pages without errors","Seiten ohne Fehler"
"Pages with errors","Seiten mit Fehlern"
"General settings","Allgemeine Einstellungen"
"Core configuration settings that control the SEO audit functionality.","Kernkonfigurationseinstellungen, die die SEO-Audit-Funktionalität steuern."
"Enable SEO audit","SEO-Audit aktivieren"
"When enabled, the module will perform scheduled SEO audits based on the configuration. Disabling will pause all automated audit functionality.","Wenn aktiviert, führt das Modul geplante SEO-Audits basierend auf der Konfiguration durch. Deaktivieren pausiert alle automatisierten Audit-Funktionen."
"Issue","Problem"
"Crawled","Gecrawlt"
"Errors","Fehler"
"Warnings","Warnungen"
"Notices","Hinweise"
"ID","ID"
"Date","Datum"
"Duration","Dauer"
"Total URLs crawled","Gesamte gecrawlte URLs"
"Pages","Seiten"
"Resources","Ressourcen"
"Resources with errors","Ressourcen mit Fehlern"
"Url details","URL-Details"
"Url","URL"
"Url score","URL-Bewertung"
"Linked pages","Verlinkte Seiten"
"Linked resources","Verlinkte Ressourcen"
"Server load threshold (%)","Serverlastschwelle (%)"
"The crawler pauses when CPU load exceeds this value. Default is 80. Lower this value on servers that are sensitive to load spikes.","Der Crawler pausiert, wenn die CPU-Last diesen Wert überschreitet. Standardwert ist 80. Senken Sie diesen Wert auf Servern, die empfindlich auf Lastspitzen reagieren."
