"Page has links to broken page","Page has links to broken page"
"Internal outlinks to 4xx","Internal outlinks to 4xx"
"Page has links to broken resources","Page has links to broken resources"
"Linked broken resources","Linked broken resources"
"Redirects linked to the page","Redirects linked to the page"
"200 page","200 page"
"Status Code","Status Code"
"404 page","404 page"
"4xx page","4xx page"
"H1 tag is missing or empty","H1 tag is missing or empty"
"H1 tag","H1 tag"
"Page has more than one H1 tag","Page has more than one H1 tag"
"H1 tags","H1 tags"
"Duplicate of meta description","Duplicate of meta description"
"URLs with the same meta descriptions","URLs with the same meta descriptions"
"The page doesn't have a meta description","The page doesn't have a meta description"
"No pages with the identical meta description found","No pages with the identical meta description found"
"Empty meta description","Empty meta description"
"Meta description too short","Meta description too short"
"Meta description too long","Meta description too long"
"Meta description length","Meta description length"
"Meta description","Meta description"
"Duplicate of meta title","Duplicate of meta title"
"URLs with the same meta titles","URLs with the same meta titles"
"The page doesn't have a meta title","The page doesn't have a meta title"
"No pages with the identical meta title found","No pages with the identical meta title found"
"Empty meta title","Empty meta title"
"Meta title too short","Meta title too short"
"Meta title too long","Meta title too long"
"Meta title length","Meta title length"
"Meta title","Meta title"
"SEO audit disabled in configurations","SEO audit disabled in configurations"
"This job no longer exists.","This job no longer exists."
"Job #%1 - %2","Job #%1 - %2"
"SEO audit","SEO audit"
"See details","See details"
"Back to all jobs","Back to all jobs"
"Back to all issues","Back to all issues"
"See URL details","See URL details"
"URL","URL"
"Score","Score"
"Message","Message"
"Checks","Checks"
"Health score","Health score"
"Health score reflects the results of all checks performed on internal URLs of the website","Health score reflects the results of all checks performed on internal URLs of the website"
"Issue distribution","Issue distribution"
"Issue Type","Issue Type"
"Count","Count"
"Distribution","Distribution"
"Error","Error"
"Warning","Warning"
"Notice","Notice"
"Error distribution","Error distribution"
"Status","Status"
"Description","Description"
"Pages without errors","Pages without errors"
"Pages with errors","Pages with errors"
"General settings","General settings"
"Core configuration settings that control the SEO audit functionality.","Core configuration settings that control the SEO audit functionality."
"Enable SEO audit","Enable SEO audit"
"When enabled, the module will perform scheduled SEO audits based on the configuration. Disabling will pause all automated audit functionality.","When enabled, the module will perform scheduled SEO audits based on the configuration. Disabling will pause all automated audit functionality."
