"Page has links to broken page","La página tiene enlaces a una página rota"
"Internal outlinks to 4xx","Enlaces internos salientes a 4xx"
"Page has links to broken resources","La página tiene enlaces a recursos rotos"
"Linked broken resources","Recursos rotos enlazados"
"Redirects linked to the page","Redirecciones enlazadas a la página"
"200 page","Página 200"
"Status Code","Código de estado"
"404 page","Página 404"
"4xx page","Página 4xx"
"H1 tag is missing or empty","La etiqueta H1 está ausente o vacía"
"H1 tag","Etiqueta H1"
"Page has more than one H1 tag","La página tiene más de una etiqueta H1"
"H1 tags","Etiquetas H1"
"Duplicate of meta description","Duplicado de meta descripción"
"URLs with the same meta descriptions","URLs con las mismas meta descripciones"
"The page doesn't have a meta description","La página no tiene meta descripción"
"No pages with the identical meta description found","No se encontraron páginas con la misma meta descripción"
"Empty meta description","Meta descripción vacía"
"Meta description too short","Meta descripción demasiado corta"
"Meta description too long","Meta descripción demasiado larga"
"Meta description length","Longitud de la meta descripción"
"Meta description","Meta descripción"
"Duplicate of meta title","Duplicado de meta título"
"URLs with the same meta titles","URLs con los mismos meta títulos"
"The page doesn't have a meta title","La página no tiene meta título"
"No pages with the identical meta title found","No se encontraron páginas con el mismo meta título"
"Empty meta title","Meta título vacío"
"Meta title too short","Meta título demasiado corto"
"Meta title too long","Meta título demasiado largo"
"Meta title length","Longitud del meta título"
"Meta title","Meta título"
"SEO audit disabled in configurations","Auditoría SEO deshabilitada en las configuraciones"
"This job no longer exists.","Este trabajo ya no existe."
"Job #%1 - %2","Trabajo #%1 - %2"
"SEO audit","Auditoría SEO"
"See details","Ver detalles"
"Back to all jobs","Volver a todos los trabajos"
"Back to all issues","Volver a todos los problemas"
"See URL details","Ver detalles de URL"
"URL","URL"
"Score","Puntuación"
"Message","Mensaje"
"Checks","Verificaciones"
"Health score","Puntuación de salud"
"Health score reflects the results of all checks performed on internal URLs of the website","La puntuación de salud refleja los resultados de todas las verificaciones realizadas en las URLs internas del sitio web"
"Issue distribution","Distribución de problemas"
"Issue Type","Tipo de problema"
"Count","Recuento"
"Distribution","Distribución"
"Error","Error"
"Warning","Advertencia"
"Notice","Aviso"
"Error distribution","Distribución de errores"
"Status","Estado"
"Description","Descripción"
"Pages without errors","Páginas sin errores"
"Pages with errors","Páginas con errores"
"General settings","Configuración general"
"Core configuration settings that control the SEO audit functionality.","Configuraciones principales que controlan la funcionalidad de auditoría SEO."
"Enable SEO audit","Habilitar auditoría SEO"
"When enabled, the module will perform scheduled SEO audits based on the configuration. Disabling will pause all automated audit functionality.","Cuando está habilitado, el módulo realizará auditorías SEO programadas según la configuración. Deshabilitar pausará toda la funcionalidad de auditoría automatizada."
"Issue","Problema"
"Crawled","Rastreado"
"Errors","Errores"
"Warnings","Advertencias"
"Notices","Avisos"
"ID","ID"
"Date","Fecha"
"Duration","Duración"
"Total URLs crawled","Total de URLs rastreadas"
"Pages","Páginas"
"Resources","Recursos"
"Resources with errors","Recursos con errores"
"Url details","Detalles de URL"
"Url","URL"
"Url score","Puntuación de URL"
"Linked pages","Páginas enlazadas"
"Linked resources","Recursos enlazados"
"Server load threshold (%)","Umbral de carga del servidor (%)"
"The crawler pauses when CPU load exceeds this value. Default is 80. Lower this value on servers that are sensitive to load spikes.","El crawler se pausa cuando la carga de CPU supera este valor. El valor predeterminado es 80. Redúzcalo en servidores sensibles a picos de carga."
"Crawl schedule","Programación del rastreo"
"Cron expression for how often the crawler runs. Default <code>*/30 * * * *</code> runs every 30 minutes. Use <code>0 2 * * *</code> to run once a day at 2 AM.","Expresión Cron para la frecuencia de ejecución del crawler. Por defecto <code>*/30 * * * *</code> se ejecuta cada 30 minutos. Use <code>0 2 * * *</code> para ejecutarlo una vez al día a las 2 AM."
"Crawl performance","Rendimiento del rastreo"
"Control how aggressively the SEO audit crawls your store. Lower intensity reduces server load at the cost of a longer crawl time.","Controla la agresividad con que el audit SEO rastrea su tienda. Una menor intensidad reduce la carga del servidor a costa de un tiempo de rastreo más largo."
"Crawl intensity","Intensidad del rastreo"
"Set the crawl intensity. Custom allows per-field configuration below.","Establece la intensidad del rastreo. El modo Personalizado permite configurar cada campo individualmente a continuación."
"<b>High — intensive crawl</b>: no delay between requests, suitable for dedicated servers with spare capacity.<br/><b>Medium — default mode</b>: 200 ms delay, recommended for most stores.<br/><b>Low — soft crawl</b>: 500 ms delay, use on shared hosting or stores with limited resources.<br/><b>Custom — expert mode</b>: configure all crawl settings manually.","<b>Alta — rastreo intensivo</b>: sin pausa entre solicitudes, indicado para servidores dedicados con capacidad libre.<br/><b>Media — modo predeterminado</b>: pausa de 200 ms, recomendado para la mayoría de tiendas.<br/><b>Baja — rastreo suave</b>: pausa de 500 ms, para hosting compartido o tiendas con recursos limitados.<br/><b>Personalizado — modo experto</b>: configurar todos los ajustes de rastreo manualmente."
"High — intensive crawl","Alta — rastreo intensivo"
"Medium — default mode","Media — modo predeterminado"
"Low — soft crawl","Baja — rastreo suave"
"Custom — expert mode","Personalizado — modo experto"
"Custom intensity settings","Ajustes de intensidad personalizados"
"Applies only when Crawl intensity is set to Custom.","Se aplica solo cuando la intensidad del rastreo está establecida en Personalizado."
"Delay between requests (ms)","Retraso entre solicitudes (ms)"
"Time to wait between consecutive URL requests. Set to <code>0</code> for no delay, <code>500</code> for half a second.","Tiempo de espera entre solicitudes URL consecutivas. Establezca <code>0</code> para sin demora, <code>500</code> para medio segundo."
"Delay in milliseconds inserted after each crawled URL. Reduces peak PHP-FPM concurrency on busy stores.","Retraso en milisegundos insertado después de cada URL rastreada. Reduce la concurrencia pico de PHP-FPM en tiendas con alto tráfico."
"Maximum URLs per cron run","Máximo de URLs por ejecución Cron"
"The crawler also stops after 5 minutes regardless of this limit.","El crawler también se detiene tras 5 minutos independientemente de este límite."
"Hard cap on the number of URLs crawled in a single cron run. Set to <code>0</code> for no limit (time-bound only).","Límite estricto del número de URLs rastreadas en una sola ejecución Cron. Establezca <code>0</code> para sin límite (solo limitado por tiempo)."
"Exclude URL patterns","Excluir patrones de URL"
"One path or substring per line. Any URL containing a listed pattern will be skipped. Example: <code>/checkout</code>, <code>/customer</code>, <code>/cdn-cgi/</code>, <code>facebook.com</code>.","Una ruta o subcadena por línea. Cualquier URL que contenga un patrón de la lista será omitida. Ejemplo: <code>/checkout</code>, <code>/customer</code>, <code>/cdn-cgi/</code>, <code>facebook.com</code>."
"Restart job after (days)","Reiniciar trabajo después de (días)"
"The audit job is force-restarted after this many days. Use this as a safety net for stores with more URLs than the crawler can process in one day.","El trabajo de auditoría se reinicia forzosamente después de este número de días. Úselo como red de seguridad para tiendas con más URLs de las que el crawler puede procesar en un día."
