"Page has links to broken page","La page contient des liens vers une page brisée"
"Internal outlinks to 4xx","Liens sortants internes vers des 4xx"
"Page has links to broken resources","La page contient des liens vers des ressources brisées"
"Linked broken resources","Ressources brisées liées"
"Redirects linked to the page","Redirections liées à la page"
"200 page","Page 200"
"Status Code","Code de statut"
"404 page","Page 404"
"4xx page","Page 4xx"
"H1 tag is missing or empty","La balise H1 est manquante ou vide"
"H1 tag","Balise H1"
"Page has more than one H1 tag","La page comporte plus d'une balise H1"
"H1 tags","Balises H1"
"Duplicate of meta description","Doublon de description méta"
"URLs with the same meta descriptions","URLs avec des descriptions méta identiques"
"The page doesn't have a meta description","La page n'a pas de description méta"
"No pages with the identical meta description found","Aucune page avec une description méta identique trouvée"
"Empty meta description","Description méta vide"
"Meta description too short","Description méta trop courte"
"Meta description too long","Description méta trop longue"
"Meta description length","Longueur de la description méta"
"Meta description","Description méta"
"Duplicate of meta title","Doublon de titre méta"
"URLs with the same meta titles","URLs avec des titres méta identiques"
"The page doesn't have a meta title","La page n'a pas de titre méta"
"No pages with the identical meta title found","Aucune page avec un titre méta identique trouvée"
"Empty meta title","Titre méta vide"
"Meta title too short","Titre méta trop court"
"Meta title too long","Titre méta trop long"
"Meta title length","Longueur du titre méta"
"Meta title","Titre méta"
"SEO audit disabled in configurations","Audit SEO désactivé dans les configurations"
"This job no longer exists.","Cette tâche n'existe plus."
"Job #%1 - %2","Tâche #%1 - %2"
"SEO audit","Audit SEO"
"See details","Voir les détails"
"Back to all jobs","Retour à toutes les tâches"
"Back to all issues","Retour à tous les problèmes"
"See URL details","Voir les détails de l'URL"
"URL","URL"
"Score","Score"
"Message","Message"
"Checks","Vérifications"
"Health score","Score de santé"
"Health score reflects the results of all checks performed on internal URLs of the website","Le score de santé reflète les résultats de toutes les vérifications effectuées sur les URLs internes du site web"
"Issue distribution","Distribution des problèmes"
"Issue Type","Type de problème"
"Count","Nombre"
"Distribution","Distribution"
"Error","Erreur"
"Warning","Avertissement"
"Notice","Remarque"
"Error distribution","Distribution des erreurs"
"Status","Statut"
"Description","Description"
"Pages without errors","Pages sans erreurs"
"Pages with errors","Pages avec erreurs"
"General settings","Paramètres généraux"
"Core configuration settings that control the SEO audit functionality.","Paramètres de configuration de base qui contrôlent la fonctionnalité d'audit SEO."
"Enable SEO audit","Activer l'audit SEO"
"When enabled, the module will perform scheduled SEO audits based on the configuration. Disabling will pause all automated audit functionality.","Lorsqu'il est activé, le module effectuera des audits SEO planifiés basés sur la configuration. La désactivation mettra en pause toutes les fonctionnalités d'audit automatisé."
"Issue","Problème"
"Crawled","Crawlé"
"Errors","Erreurs"
"Warnings","Avertissements"
"Notices","Remarques"
"ID","ID"
"Date","Date"
"Duration","Durée"
"Total URLs crawled","Total des URLs crawlées"
"Pages","Pages"
"Resources","Ressources"
"Resources with errors","Ressources avec erreurs"
"Url details","Détails de l'URL"
"Url","URL"
"Url score","Score de l'URL"
"Linked pages","Pages liées"
"Linked resources","Ressources liées"
"Server load threshold (%)","Seuil de charge serveur (%)"
"The crawler pauses when CPU load exceeds this value. Default is 80. Lower this value on servers that are sensitive to load spikes.","Le crawler se met en pause lorsque la charge CPU dépasse cette valeur. La valeur par défaut est 80. Réduisez-la sur les serveurs sensibles aux pics de charge."
"Crawl schedule","Planification du crawl"
"Cron expression for how often the crawler runs. Default <code>*/30 * * * *</code> runs every 30 minutes. Use <code>0 2 * * *</code> to run once a day at 2 AM.","Expression Cron pour la fréquence d'exécution du crawler. Par défaut <code>*/30 * * * *</code> s'exécute toutes les 30 minutes. Utilisez <code>0 2 * * *</code> pour une exécution quotidienne à 2 h."
"Crawl performance","Performance du crawl"
"Control how aggressively the SEO audit crawls your store. Lower intensity reduces server load at the cost of a longer crawl time.","Contrôle l'intensité avec laquelle l'audit SEO explore votre boutique. Une intensité moindre réduit la charge serveur au détriment de la durée du crawl."
"Crawl intensity","Intensité du crawl"
"Set the crawl intensity. Custom allows per-field configuration below.","Définit l'intensité du crawl. Le mode Personnalisé permet une configuration détaillée dans les champs ci-dessous."
