"Page has links to broken page","La pagina ha link a una pagina non funzionante"
"Internal outlinks to 4xx","Link interni in uscita verso 4xx"
"Page has links to broken resources","La pagina ha link a risorse non funzionanti"
"Linked broken resources","Risorse non funzionanti collegate"
"Redirects linked to the page","Reindirizzamenti collegati alla pagina"
"200 page","Pagina 200"
"Status Code","Codice di stato"
"404 page","Pagina 404"
"4xx page","Pagina 4xx"
"H1 tag is missing or empty","Il tag H1 è assente o vuoto"
"H1 tag","Tag H1"
"Page has more than one H1 tag","La pagina ha più di un tag H1"
"H1 tags","Tag H1"
"Duplicate of meta description","Duplicato della meta descrizione"
"URLs with the same meta descriptions","URL con le stesse meta descrizioni"
"The page doesn't have a meta description","La pagina non ha una meta descrizione"
"No pages with the identical meta description found","Nessuna pagina con la stessa meta descrizione trovata"
"Empty meta description","Meta descrizione vuota"
"Meta description too short","Meta descrizione troppo breve"
"Meta description too long","Meta descrizione troppo lunga"
"Meta description length","Lunghezza della meta descrizione"
"Meta description","Meta descrizione"
"Duplicate of meta title","Duplicato del meta titolo"
"URLs with the same meta titles","URL con gli stessi meta titoli"
"The page doesn't have a meta title","La pagina non ha un meta titolo"
"No pages with the identical meta title found","Nessuna pagina con lo stesso meta titolo trovata"
"Empty meta title","Meta titolo vuoto"
"Meta title too short","Meta titolo troppo breve"
"Meta title too long","Meta titolo troppo lungo"
"Meta title length","Lunghezza del meta titolo"
"Meta title","Meta titolo"
"SEO audit disabled in configurations","Audit SEO disabilitato nelle configurazioni"
"This job no longer exists.","Questo lavoro non esiste più."
"Job #%1 - %2","Lavoro #%1 - %2"
"SEO audit","Audit SEO"
"See details","Vedi dettagli"
"Back to all jobs","Torna a tutti i lavori"
"Back to all issues","Torna a tutti i problemi"
"See URL details","Vedi dettagli URL"
"URL","URL"
"Score","Punteggio"
"Message","Messaggio"
"Checks","Verifiche"
"Health score","Punteggio di salute"
"Health score reflects the results of all checks performed on internal URLs of the website","Il punteggio di salute riflette i risultati di tutte le verifiche eseguite sugli URL interni del sito web"
"Issue distribution","Distribuzione dei problemi"
"Issue Type","Tipo di problema"
"Count","Conteggio"
"Distribution","Distribuzione"
"Error","Errore"
"Warning","Avviso"
"Notice","Nota"
"Error distribution","Distribuzione degli errori"
"Status","Stato"
"Description","Descrizione"
"Pages without errors","Pagine senza errori"
"Pages with errors","Pagine con errori"
"General settings","Impostazioni generali"
"Core configuration settings that control the SEO audit functionality.","Impostazioni di configurazione principali che controllano la funzionalità di audit SEO."
"Enable SEO audit","Abilita audit SEO"
"When enabled, the module will perform scheduled SEO audits based on the configuration. Disabling will pause all automated audit functionality.","Quando abilitato, il modulo eseguirà audit SEO pianificati in base alla configurazione. La disabilitazione metterà in pausa tutte le funzionalità di audit automatizzate."
"Issue","Problema"
"Crawled","Scansionato"
"Errors","Errori"
"Warnings","Avvisi"
"Notices","Note"
"ID","ID"
"Date","Data"
"Duration","Durata"
"Total URLs crawled","URL totali scansionati"
"Pages","Pagine"
"Resources","Risorse"
"Resources with errors","Risorse con errori"
"Url details","Dettagli URL"
"Url","URL"
"Url score","Punteggio URL"
"Linked pages","Pagine collegate"
"Linked resources","Risorse collegate"
"Server load threshold (%)","Soglia di carico del server (%)"
"The crawler pauses when CPU load exceeds this value. Default is 80. Lower this value on servers that are sensitive to load spikes.","Il crawler si mette in pausa quando il carico CPU supera questo valore. Il valore predefinito è 80. Riducetelo sui server sensibili ai picchi di carico."
"Crawl schedule","Pianificazione del crawl"
"Cron expression for how often the crawler runs. Default <code>*/30 * * * *</code> runs every 30 minutes. Use <code>0 2 * * *</code> to run once a day at 2 AM.","Espressione Cron per la frequenza di esecuzione del crawler. Il valore predefinito <code>*/30 * * * *</code> viene eseguito ogni 30 minuti. Usate <code>0 2 * * *</code> per eseguirlo una volta al giorno alle 2."
"Crawl performance","Prestazioni del crawl"
"Control how aggressively the SEO audit crawls your store. Lower intensity reduces server load at the cost of a longer crawl time.","Controlla l'intensità con cui l'audit SEO esplora il vostro negozio. Un'intensità inferiore riduce il carico del server a scapito di un tempo di crawl più lungo."
"Crawl intensity","Intensità del crawl"
"Set the crawl intensity. Custom allows per-field configuration below.","Imposta l'intensità del crawl. La modalità Personalizzata consente la configurazione dettagliata nei campi sottostanti."
"<b>High — intensive crawl</b>: no delay between requests, suitable for dedicated servers with spare capacity.<br/><b>Medium — default mode</b>: 200 ms delay, recommended for most stores.<br/><b>Low — soft crawl</b>: 500 ms delay, use on shared hosting or stores with limited resources.<br/><b>Custom — expert mode</b>: configure all crawl settings manually.","<b>Alta — crawl intensivo</b>: nessuna pausa tra le richieste, adatto a server dedicati con capacità disponibile.<br/><b>Media — modalità predefinita</b>: pausa di 200 ms, consigliata per la maggior parte dei negozi.<br/><b>Bassa — crawl soft</b>: pausa di 500 ms, per hosting condiviso o negozi con risorse limitate.<br/><b>Personalizzata — modalità esperto</b>: configurare manualmente tutte le impostazioni del crawl."
"High — intensive crawl","Alta — crawl intensivo"
"Medium — default mode","Media — modalità predefinita"
"Low — soft crawl","Bassa — crawl soft"
"Custom — expert mode","Personalizzata — modalità esperto"
"Custom intensity settings","Impostazioni di intensità personalizzate"
"Applies only when Crawl intensity is set to Custom.","Si applica solo quando l'intensità del crawl è impostata su Personalizzata."
"Delay between requests (ms)","Ritardo tra le richieste (ms)"
"Time to wait between consecutive URL requests. Set to <code>0</code> for no delay, <code>500</code> for half a second.","Tempo di attesa tra richieste URL consecutive. Impostate <code>0</code> per nessun ritardo, <code>500</code> per mezzo secondo."
"Delay in milliseconds inserted after each crawled URL. Reduces peak PHP-FPM concurrency on busy stores.","Ritardo in millisecondi inserito dopo ogni URL analizzata. Riduce i picchi di concorrenza PHP-FPM nei negozi molto trafficati."
"Maximum URLs per cron run","Numero massimo di URL per esecuzione Cron"
"The crawler also stops after 5 minutes regardless of this limit.","Il crawler si ferma comunque dopo 5 minuti indipendentemente da questo limite."
"Hard cap on the number of URLs crawled in a single cron run. Set to <code>0</code> for no limit (time-bound only).","Limite massimo del numero di URL analizzate in una singola esecuzione Cron. Impostate <code>0</code> per nessun limite (solo vincolato dal tempo)."
"Exclude URL patterns","Escludi pattern URL"
"One path or substring per line. Any URL containing a listed pattern will be skipped. Example: <code>/checkout</code>, <code>/customer</code>, <code>/cdn-cgi/</code>, <code>facebook.com</code>.","Un percorso o sottostringa per riga. Qualsiasi URL contenente un pattern elencato verrà ignorata. Esempio: <code>/checkout</code>, <code>/customer</code>, <code>/cdn-cgi/</code>, <code>facebook.com</code>."
