"Page has links to broken page","Strona ma linki do uszkodzonej strony"
"Internal outlinks to 4xx","Wewnętrzne linki wychodzące do 4xx"
"Page has links to broken resources","Strona ma linki do uszkodzonych zasobów"
"Linked broken resources","Połączone uszkodzone zasoby"
"Redirects linked to the page","Przekierowania połączone ze stroną"
"200 page","Strona 200"
"Status Code","Kod statusu"
"404 page","Strona 404"
"4xx page","Strona 4xx"
"H1 tag is missing or empty","Znacznik H1 brakuje lub jest pusty"
"H1 tag","Znacznik H1"
"Page has more than one H1 tag","Strona ma więcej niż jeden znacznik H1"
"H1 tags","Znaczniki H1"
"Duplicate of meta description","Duplikat meta opisu"
"URLs with the same meta descriptions","Adresy URL z tymi samymi meta opisami"
"The page doesn't have a meta description","Strona nie ma meta opisu"
"No pages with the identical meta description found","Nie znaleziono stron z identycznym meta opisem"
"Empty meta description","Pusty meta opis"
"Meta description too short","Meta opis zbyt krótki"
"Meta description too long","Meta opis zbyt długi"
"Meta description length","Długość meta opisu"
"Meta description","Meta opis"
"Duplicate of meta title","Duplikat meta tytułu"
"URLs with the same meta titles","Adresy URL z tymi samymi meta tytułami"
"The page doesn't have a meta title","Strona nie ma meta tytułu"
"No pages with the identical meta title found","Nie znaleziono stron z identycznym meta tytułem"
"Empty meta title","Pusty meta tytuł"
"Meta title too short","Meta tytuł zbyt krótki"
"Meta title too long","Meta tytuł zbyt długi"
"Meta title length","Długość meta tytułu"
"Meta title","Meta tytuł"
"SEO audit disabled in configurations","Audyt SEO wyłączony w konfiguracjach"
"This job no longer exists.","To zadanie już nie istnieje."
"Job #%1 - %2","Zadanie #%1 - %2"
"SEO audit","Audyt SEO"
"See details","Zobacz szczegóły"
"Back to all jobs","Powrót do wszystkich zadań"
"Back to all issues","Powrót do wszystkich problemów"
"See URL details","Zobacz szczegóły URL"
"URL","URL"
"Score","Wynik"
"Message","Wiadomość"
"Checks","Sprawdzenia"
"Health score","Wynik zdrowia"
"Health score reflects the results of all checks performed on internal URLs of the website","Wynik zdrowia odzwierciedla wyniki wszystkich sprawdzeń przeprowadzonych na wewnętrznych adresach URL witryny"
"Issue distribution","Dystrybucja problemów"
"Issue Type","Typ problemu"
"Count","Liczba"
"Distribution","Dystrybucja"
"Error","Błąd"
"Warning","Ostrzeżenie"
"Notice","Uwaga"
