"Page has links to broken page","A página tem links para uma página com erro"
"Internal outlinks to 4xx","Links internos de saída para 4xx"
"Page has links to broken resources","A página tem links para recursos com erro"
"Linked broken resources","Recursos com erro vinculados"
"Redirects linked to the page","Redirecionamentos vinculados à página"
"200 page","Página 200"
"Status Code","Código de status"
"404 page","Página 404"
"4xx page","Página 4xx"
"H1 tag is missing or empty","A tag H1 está ausente ou vazia"
"H1 tag","Tag H1"
"Page has more than one H1 tag","A página tem mais de uma tag H1"
"H1 tags","Tags H1"
"Duplicate of meta description","Duplicata da meta descrição"
"URLs with the same meta descriptions","URLs com as mesmas meta descrições"
"The page doesn't have a meta description","A página não tem meta descrição"
"No pages with the identical meta description found","Nenhuma página com a mesma meta descrição encontrada"
"Empty meta description","Meta descrição vazia"
"Meta description too short","Meta descrição muito curta"
"Meta description too long","Meta descrição muito longa"
"Meta description length","Comprimento da meta descrição"
"Meta description","Meta descrição"
"Duplicate of meta title","Duplicata do meta título"
"URLs with the same meta titles","URLs com os mesmos meta títulos"
"The page doesn't have a meta title","A página não tem meta título"
"No pages with the identical meta title found","Nenhuma página com o mesmo meta título encontrada"
"Empty meta title","Meta título vazio"
"Meta title too short","Meta título muito curto"
"Meta title too long","Meta título muito longo"
"Meta title length","Comprimento do meta título"
"Meta title","Meta título"
"SEO audit disabled in configurations","Auditoria SEO desativada nas configurações"
"This job no longer exists.","Este trabalho não existe mais."
"Job #%1 - %2","Trabalho #%1 - %2"
"SEO audit","Auditoria SEO"
"See details","Ver detalhes"
"Back to all jobs","Voltar a todos os trabalhos"
"Back to all issues","Voltar a todos os problemas"
"See URL details","Ver detalhes da URL"
"URL","URL"
"Score","Pontuação"
"Message","Mensagem"
"Checks","Verificações"
"Health score","Pontuação de saúde"
"Health score reflects the results of all checks performed on internal URLs of the website","A pontuação de saúde reflete os resultados de todas as verificações realizadas nas URLs internas do site"
"Issue distribution","Distribuição de problemas"
"Issue Type","Tipo de problema"
"Count","Contagem"
"Distribution","Distribuição"
"Error","Erro"
"Warning","Aviso"
"Notice","Observação"
"Error distribution","Distribuição de erros"
"Status","Status"
"Description","Descrição"
"Pages without errors","Páginas sem erros"
"Pages with errors","Páginas com erros"
"General settings","Configurações gerais"
"Core configuration settings that control the SEO audit functionality.","Configurações principais que controlam a funcionalidade de auditoria SEO."
"Enable SEO audit","Ativar auditoria SEO"
"When enabled, the module will perform scheduled SEO audits based on the configuration. Disabling will pause all automated audit functionality.","Quando ativado, o módulo realizará auditorias SEO programadas com base na configuração. Desativar pausará toda a funcionalidade de auditoria automatizada."
"Issue","Problema"
"Crawled","Rastreado"
"Errors","Erros"
"Warnings","Avisos"
"Notices","Observações"
"ID","ID"
"Date","Data"
"Duration","Duração"
