"Page has links to broken page","Sidan har länkar till en trasig sida"
"Internal outlinks to 4xx","Interna utgående länkar till 4xx"
"Page has links to broken resources","Sidan har länkar till trasiga resurser"
"Linked broken resources","Länkade trasiga resurser"
"Redirects linked to the page","Omdirigeringar länkade till sidan"
"200 page","200-sida"
"Status Code","Statuskod"
"404 page","404-sida"
"4xx page","4xx-sida"
"H1 tag is missing or empty","H1-tagg saknas eller är tom"
"H1 tag","H1-tagg"
"Page has more than one H1 tag","Sidan har mer än en H1-tagg"
"H1 tags","H1-taggar"
"Duplicate of meta description","Duplikat av meta-beskrivning"
"URLs with the same meta descriptions","URL:er med samma meta-beskrivningar"
"The page doesn't have a meta description","Sidan saknar meta-beskrivning"
"No pages with the identical meta description found","Inga sidor med identisk meta-beskrivning hittades"
"Empty meta description","Tom meta-beskrivning"
"Meta description too short","Meta-beskrivning för kort"
"Meta description too long","Meta-beskrivning för lång"
"Meta description length","Meta-beskrivningens längd"
"Meta description","Meta-beskrivning"
"Duplicate of meta title","Duplikat av meta-titel"
"URLs with the same meta titles","URL:er med samma meta-titlar"
"The page doesn't have a meta title","Sidan saknar meta-titel"
"No pages with the identical meta title found","Inga sidor med identisk meta-titel hittades"
"Empty meta title","Tom meta-titel"
"Meta title too short","Meta-titel för kort"
"Meta title too long","Meta-titel för lång"
"Meta title length","Meta-titels längd"
"Meta title","Meta-titel"
"SEO audit disabled in configurations","SEO-granskning inaktiverad i konfigurationer"
"This job no longer exists.","Det här jobbet finns inte längre."
"Job #%1 - %2","Jobb #%1 - %2"
"SEO audit","SEO-granskning"
"See details","Se detaljer"
"Back to all jobs","Tillbaka till alla jobb"
"Back to all issues","Tillbaka till alla problem"
"See URL details","Se URL-detaljer"
"URL","URL"
"Score","Poäng"
"Message","Meddelande"
"Checks","Kontroller"
"Health score","Hälsopoäng"
"Health score reflects the results of all checks performed on internal URLs of the website","Hälsopoängen återspeglar resultaten av alla kontroller som utförts på webbplatsens interna URL:er"
"Issue distribution","Problemdistribution"
"Issue Type","Problemtyp"
"Count","Antal"
"Distribution","Distribution"
"Error","Fel"
"Warning","Varning"
"Notice","Meddelande"
"Error distribution","Feldistribution"
"Status","Status"
"Description","Beskrivning"
"Pages without errors","Sidor utan fel"
"Pages with errors","Sidor med fel"
"General settings","Allmänna inställningar"
"Core configuration settings that control the SEO audit functionality.","Kärnkonfigurationsinställningar som styr SEO-granskningsfunktionen."
"Enable SEO audit","Aktivera SEO-granskning"
"When enabled, the module will perform scheduled SEO audits based on the configuration. Disabling will pause all automated audit functionality.","När aktiverat utför modulen schemalagda SEO-granskningar baserat på konfigurationen. Inaktivering pausar all automatiserad granskningsfunktionalitet."
"Issue","Problem"
"Crawled","Crawlad"
"Errors","Fel"
"Warnings","Varningar"
"Notices","Meddelanden"
"ID","ID"
"Date","Datum"
"Duration","Varaktighet"
"Total URLs crawled","Totalt antal crawlade URL:er"
"Pages","Sidor"
"Resources","Resurser"
"Resources with errors","Resurser med fel"
"Url details","URL-detaljer"
"Url","URL"
"Url score","URL-poäng"
"Linked pages","Länkade sidor"
"Linked resources","Länkade resurser"
"Server load threshold (%)","Serverbelastningsgräns (%)"
"The crawler pauses when CPU load exceeds this value. Default is 80. Lower this value on servers that are sensitive to load spikes.","Crawlern pausar när CPU-belastningen överstiger detta värde. Standard är 80. Sänk detta värde på servrar som är känsliga för belastningstoppar."
"Crawl schedule","Crawlschema"
"Cron expression for how often the crawler runs. Default <code>*/30 * * * *</code> runs every 30 minutes. Use <code>0 2 * * *</code> to run once a day at 2 AM.","Cron-uttryck för hur ofta crawlern körs. Standard <code>*/30 * * * *</code> körs var 30:e minut. Använd <code>0 2 * * *</code> för att köra en gång om dagen kl. 2."
"Crawl performance","Crawlprestanda"
