"Add new link","Add new link"
"Import/Export links","Import/Export links"
"[deleted]","[deleted]"
"All store views","All store views"
"There is no sample file for this entity.","There is no sample file for this entity."
"Unable to create export file.","Unable to create export file."
"Unable to send export file.","Unable to send export file."
"Cross-links","Cross-links"
"%1 records were inserted or updated","%1 records were inserted or updated"
"New link","New link"
"Item was successfully deleted","Item was successfully deleted"
"Edit link '%1'","Edit link '%1'"
"The link does not exist.","The link does not exist."
"Please select item(s)","Please select item(s)"
"Total of %1 record(s) were successfully deleted","Total of %1 record(s) were successfully deleted"
"Total of %1 record(s) were successfully disabled","Total of %1 record(s) were successfully disabled"
"Total of %1 record(s) were successfully enabled","Total of %1 record(s) were successfully enabled"
"Link was successfully saved","Link was successfully saved"
"Unable to find link to save","Unable to find link to save"
"First","First"
"Last","Last"
"Random","Random"
"CMS page","CMS page"
"CMS block","CMS block"
"Category description","Category description"
"Product short description","Product short description"
"Product full description","Product full description"
"Product attributes","Product attributes"
"SEO description","SEO description"
"Blog MX post content","Blog MX post content"
"Mageplaza Blog post content","Mageplaza Blog post content"
"_self (in current window)","_self (in current window)"
"_blank (in new window)","_blank (in new window)"
"_self (in own frameset)","_self (in own frameset)"
"_top (in full current browser window)","_top (in full current browser window)"
"Back","Back"
"Delete","Delete"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Reset","Reset"
"Resets input fields values","Resets input fields values"
"Save and continue edit","Save and continue edit"
"Save","Save"
"Edit","Edit"
"SEO Autolink Import","SEO Autolink Import"
"Import links (.csv)","Import links (.csv)"
"Import links","Import links"
"This is a required field.","This is a required field."
"Download example CSV file for autolink import","Download example CSV file for autolink import"
"Example of CSV file","Example of CSV file"
"SEO Autolink Export","SEO Autolink Export"
"Export links (.csv)","Export links (.csv)"
"Export links","Export links"
"Cross-links settings","Cross-links settings"
"Configure how cross-linking behaves across your site content to enhance internal linking structure.","Configure how cross-linking behaves across your site content to enhance internal linking structure."
"Allowed areas for cross-links","Allowed areas for cross-links"
"Select specific content areas where cross-links should be automatically inserted. Limiting to relevant areas improves page load performance.","Select specific content areas where cross-links should be automatically inserted. Limiting to relevant areas improves page load performance."
"Restrict link placement in tags","Restrict link placement in tags"
"Specify HTML tags where links should not be inserted (e.g., h1, h2, a, strong). Enter one tag per line without brackets.","Specify HTML tags where links should not be inserted (e.g., h1, h2, a, strong). Enter one tag per line without brackets."
"Prevent adding cross-links on pages","Prevent adding cross-links on pages"
"Enter URL patterns (one per line) where cross-links should be disabled. Use * as wildcard (e.g., catalog/product/* or */checkout).","Enter URL patterns (one per line) where cross-links should be disabled. Use * as wildcard (e.g., catalog/product/* or */checkout)."
"Template paths for link insertion","Template paths for link insertion"
"Specify template file paths (one per line) where links should be inserted. Note: Processing will fail for templates exceeding 1000 HTML tags due to memory constraints.","Specify template file paths (one per line) where links should be inserted. Note: Processing will fail for templates exceeding 1000 HTML tags due to memory constraints."
"Max number of links per page","Max number of links per page"
"Set maximum number of auto-generated cross-links per page. Lower values may improve page load time and prevent over-optimization.","Set maximum number of auto-generated cross-links per page. Lower values may improve page load time and prevent over-optimization."
"Avoid duplicate URLs in cross-links","Avoid duplicate URLs in cross-links"
"When enabled, if multiple keywords point to the same URL, only the first occurrence will be linked. This prevents duplicate links and improves page load performance.","When enabled, if multiple keywords point to the same URL, only the first occurrence will be linked. This prevents duplicate links and improves page load performance."
"General information","General information"
"Keyword","Keyword"
"URL","URL"
"URL target","URL target"
"URL title","URL title"
"Nofollow","Nofollow"
"Number of substitutions","Number of substitutions"
"Sort order","Sort order"
"Occurrence","Occurrence"
"Is active","Is active"
"Active from","Active from"
"Active to","Active to"
"Visible in store view","Visible in store view"
"Change status","Change status"
"Active","Active"
"Inactive","Inactive"
"Delete items","Delete items"
"Are you sure you want to delete the selected items?","Are you sure you want to delete the selected items?"
"ID","ID"
"Store view","Store view"
"Status","Status"
"Is nofollow","Is nofollow"
"Max replacements","Max replacements"
"Link type","Link type"
"Entity ID","Entity ID"
"Enter the product ID or category ID. The current URL for this entity will be resolved automatically when the link is inserted.","Enter the product ID or category ID. The current URL for this entity will be resolved automatically when the link is inserted."
"Custom URL","Custom URL"
"Product by ID","Product by ID"
"Category by ID","Category by ID"
"URL is required for custom URL links.","URL is required for custom URL links."
"Entity ID is required for product/category links.","Entity ID is required for product/category links."
