"Add new link","Ajouter un nouveau lien"
"Import/Export links","Importer/exporter des liens"
"[deleted]","[supprimé]"
"All store views","Toutes les vues de magasin"
"There is no sample file for this entity.","Il n'y a pas de fichier d'exemple pour cette entité."
"Unable to create export file.","Impossible de créer le fichier d'exportation."
"Unable to send export file.","Impossible d'envoyer le fichier d'exportation."
"Cross-links","Liens croisés"
"%1 records were inserted or updated","%1 enregistrements ont été insérés ou mis à jour"
"New link","Nouveau lien"
"Item was successfully deleted","L'élément a été supprimé avec succès"
"Edit link '%1'","Modifier le lien '%1'"
"The link does not exist.","Le lien n'existe pas."
"Please select item(s)","Veuillez sélectionner un ou des éléments"
"Total of %1 record(s) were successfully deleted","Au total, %1 enregistrement(s) ont été supprimé(s) avec succès"
"Total of %1 record(s) were successfully disabled","Au total, %1 enregistrement(s) ont été désactivé(s) avec succès"
"Total of %1 record(s) were successfully enabled","Au total, %1 enregistrement(s) ont été activé(s) avec succès"
"Link was successfully saved","Le lien a été enregistré avec succès"
"Unable to find link to save","Impossible de trouver le lien à enregistrer"
"First","Premier"
"Last","Dernier"
"Random","Aléatoire"
"CMS page","Page CMS"
"CMS block","Bloc CMS"
"Category description","Description de catégorie"
"Product short description","Description courte du produit"
"Product full description","Description complète du produit"
"Product attributes","Attributs de produit"
"SEO description","Description SEO"
"Blog MX post content","Contenu d'article Blog MX"
"Mageplaza Blog post content","Contenu d'article Blog Mageplaza"
"_self (in current window)","_self (dans la fenêtre actuelle)"
"_blank (in new window)","_blank (dans une nouvelle fenêtre)"
"_self (in own frameset)","_self (dans son propre jeu de cadres)"
"_top (in full current browser window)","_top (dans toute la fenêtre du navigateur actuel)"
"Back","Retour"
"Delete","Supprimer"
"Are you sure you want to do this?","Êtes-vous sûr de vouloir effectuer cette action ?"
"Reset","Réinitialiser"
"Resets input fields values","Réinitialise les valeurs des champs de saisie"
"Save and continue edit","Enregistrer et continuer la modification"
"Save","Enregistrer"
"Edit","Modifier"
"SEO Autolink Import","Importation SEO Autolink"
"Import links (.csv)","Importer des liens (.csv)"
"Import links","Importer des liens"
"This is a required field.","Ce champ est obligatoire."
"Download example CSV file for autolink import","Télécharger un exemple de fichier CSV pour l'importation automatique de liens"
"Example of CSV file","Exemple de fichier CSV"
"SEO Autolink Export","Exportation SEO Autolink"
"Export links (.csv)","Exporter des liens (.csv)"
"Export links","Exporter des liens"
"Cross-links settings","Paramètres des liens croisés"
"Configure how cross-linking behaves across your site content to enhance internal linking structure.","Configurez le comportement des liens croisés dans l'ensemble du contenu de votre site pour améliorer la structure de liens internes."
"Allowed areas for cross-links","Zones autorisées pour les liens croisés"
"Select specific content areas where cross-links should be automatically inserted. Limiting to relevant areas improves page load performance.","Sélectionnez des zones de contenu spécifiques où les liens croisés doivent être insérés automatiquement. La limitation aux zones pertinentes améliore les performances de chargement des pages."
"Restrict link placement in tags","Restreindre le placement des liens dans les balises"
"Specify HTML tags where links should not be inserted (e.g., h1, h2, a, strong). Enter one tag per line without brackets.","Spécifiez les balises HTML où les liens ne doivent pas être insérés (p. ex., h1, h2, a, strong). Saisissez une balise par ligne sans crochets."
"Prevent adding cross-links on pages","Empêcher l'ajout de liens croisés sur les pages"
"Enter URL patterns (one per line) where cross-links should be disabled. Use * as wildcard (e.g., catalog/product/* or */checkout).","Saisissez des modèles d'URL (un par ligne) où les liens croisés doivent être désactivés. Utilisez * comme caractère générique (p. ex., catalog/product/* ou */checkout)."
"Template paths for link insertion","Chemins de modèles pour l'insertion de liens"
"Specify template file paths (one per line) where links should be inserted. Note: Processing will fail for templates exceeding 1000 HTML tags due to memory constraints.","Spécifiez les chemins de fichiers de modèles (un par ligne) où les liens doivent être insérés. Remarque : Le traitement échouera pour les modèles dépassant 1 000 balises HTML en raison de contraintes mémoire."
"Max number of links per page","Nombre maximum de liens par page"
"Set maximum number of auto-generated cross-links per page. Lower values may improve page load time and prevent over-optimization.","Définissez le nombre maximum de liens croisés générés automatiquement par page. Des valeurs plus faibles peuvent améliorer le temps de chargement et prévenir la sur-optimisation."
"Avoid duplicate URLs in cross-links","Éviter les URLs en double dans les liens croisés"
"When enabled, if multiple keywords point to the same URL, only the first occurrence will be linked. This prevents duplicate links and improves page load performance.","Lorsqu'il est activé, si plusieurs mots-clés pointent vers la même URL, seule la première occurrence sera liée. Cela évite les liens en double et améliore les performances de chargement."
"General information","Informations générales"
"Keyword","Mot-clé"
"URL","URL"
"URL target","Cible URL"
"URL title","Titre URL"
"Nofollow","Nofollow"
"Number of substitutions","Nombre de substitutions"
"Sort order","Ordre de tri"
"Occurrence","Occurrence"
"Is active","Est actif"
"Active from","Actif à partir de"
"Active to","Actif jusqu'au"
"Visible in store view","Visible dans la vue de magasin"
"Change status","Modifier le statut"
"Active","Actif"
"Inactive","Inactif"
"Delete items","Supprimer les éléments"
"Are you sure you want to delete the selected items?","Êtes-vous sûr de vouloir supprimer les éléments sélectionnés ?"
"ID","ID"
"Store view","Vue de magasin"
"Status","Statut"
"Is nofollow","Est nofollow"
"Max replacements","Remplacements maximum"
"Link type","Type de lien"
"Entity ID","ID d'entité"
"Enter the product ID or category ID. The current URL for this entity will be resolved automatically when the link is inserted.","Saisissez l'ID du produit ou l'ID de la catégorie. L'URL actuelle de cette entité sera résolue automatiquement lors de l'insertion du lien."
"Custom URL","URL personnalisée"
"Product by ID","Produit par ID"
"Category by ID","Catégorie par ID"
"URL is required for custom URL links.","L'URL est requise pour les liens d'URL personnalisés."
"Entity ID is required for product/category links.","L'ID d'entité est requis pour les liens produit/catégorie."
