"Add new link","Aggiungi nuovo collegamento"
"Import/Export links","Importa/Esporta collegamenti"
"[deleted]","[eliminato]"
"All store views","Tutte le viste del negozio"
"There is no sample file for this entity.","Non esiste un file di esempio per questa entità."
"Unable to create export file.","Impossibile creare il file di esportazione."
"Unable to send export file.","Impossibile inviare il file di esportazione."
"Cross-links","Collegamenti incrociati"
"%1 records were inserted or updated","%1 record sono stati inseriti o aggiornati"
"New link","Nuovo collegamento"
"Item was successfully deleted","L'elemento è stato eliminato con successo"
"Edit link '%1'","Modifica collegamento '%1'"
"The link does not exist.","Il collegamento non esiste."
"Please select item(s)","Seleziona elemento/i"
"Total of %1 record(s) were successfully deleted","Un totale di %1 record è stato eliminato con successo"
"Total of %1 record(s) were successfully disabled","Un totale di %1 record è stato disabilitato con successo"
"Total of %1 record(s) were successfully enabled","Un totale di %1 record è stato abilitato con successo"
"Link was successfully saved","Il collegamento è stato salvato con successo"
"Unable to find link to save","Impossibile trovare il collegamento da salvare"
"First","Primo"
"Last","Ultimo"
"Random","Casuale"
"CMS page","Pagina CMS"
"CMS block","Blocco CMS"
"Category description","Descrizione della categoria"
"Product short description","Descrizione breve del prodotto"
"Product full description","Descrizione completa del prodotto"
"Product attributes","Attributi del prodotto"
"SEO description","Descrizione SEO"
"Blog MX post content","Contenuto del post Blog MX"
"Mageplaza Blog post content","Contenuto del post Mageplaza Blog"
"_self (in current window)","_self (nella finestra corrente)"
"_blank (in new window)","_blank (in una nuova finestra)"
"_self (in own frameset)","_self (nel proprio frameset)"
"_top (in full current browser window)","_top (nell'intera finestra del browser)"
"Back","Indietro"
"Delete","Elimina"
"Are you sure you want to do this?","Sei sicuro di voler eseguire questa operazione?"
"Reset","Reimposta"
"Resets input fields values","Reimposta i valori dei campi di input"
"Save and continue edit","Salva e continua la modifica"
"Save","Salva"
"Edit","Modifica"
"SEO Autolink Import","Importazione SEO Autolink"
"Import links (.csv)","Importa collegamenti (.csv)"
"Import links","Importa collegamenti"
"This is a required field.","Questo campo è obbligatorio."
"Download example CSV file for autolink import","Scarica il file CSV di esempio per l'importazione degli autolink"
"Example of CSV file","Esempio di file CSV"
"SEO Autolink Export","Esportazione SEO Autolink"
"Export links (.csv)","Esporta collegamenti (.csv)"
"Export links","Esporta collegamenti"
"Cross-links settings","Impostazioni dei collegamenti incrociati"
"Configure how cross-linking behaves across your site content to enhance internal linking structure.","Configura il comportamento dei collegamenti incrociati nel contenuto del sito per migliorare la struttura dei link interni."
"Allowed areas for cross-links","Aree consentite per i collegamenti incrociati"
"Select specific content areas where cross-links should be automatically inserted. Limiting to relevant areas improves page load performance.","Seleziona aree di contenuto specifiche in cui i collegamenti incrociati devono essere inseriti automaticamente. Limitare alle aree rilevanti migliora le prestazioni di caricamento della pagina."
"Restrict link placement in tags","Limita il posizionamento dei link nei tag"
"Specify HTML tags where links should not be inserted (e.g., h1, h2, a, strong). Enter one tag per line without brackets.","Specifica i tag HTML in cui i link non devono essere inseriti (ad es. h1, h2, a, strong). Inserisci un tag per riga senza parentesi."
"Prevent adding cross-links on pages","Impedisci l'aggiunta di collegamenti incrociati nelle pagine"
"Enter URL patterns (one per line) where cross-links should be disabled. Use * as wildcard (e.g., catalog/product/* or */checkout).","Inserisci i pattern URL (uno per riga) dove i collegamenti incrociati devono essere disabilitati. Usa * come carattere jolly (ad es. catalog/product/* o */checkout)."
"Template paths for link insertion","Percorsi dei template per l'inserimento dei link"
"Specify template file paths (one per line) where links should be inserted. Note: Processing will fail for templates exceeding 1000 HTML tags due to memory constraints.","Specifica i percorsi dei file template (uno per riga) dove devono essere inseriti i link. Nota: l'elaborazione fallirà per i template che superano i 1000 tag HTML a causa dei limiti di memoria."
"Max number of links per page","Numero massimo di link per pagina"
"Set maximum number of auto-generated cross-links per page. Lower values may improve page load time and prevent over-optimization.","Imposta il numero massimo di collegamenti incrociati generati automaticamente per pagina. Valori più bassi possono migliorare i tempi di caricamento della pagina e prevenire la sovraottimizzazione."
"Avoid duplicate URLs in cross-links","Evita URL duplicate nei collegamenti incrociati"
"When enabled, if multiple keywords point to the same URL, only the first occurrence will be linked. This prevents duplicate links and improves page load performance.","Quando abilitato, se più parole chiave puntano allo stesso URL, solo la prima occorrenza verrà collegata. Questo previene i link duplicati e migliora le prestazioni di caricamento della pagina."
"General information","Informazioni generali"
"Keyword","Parola chiave"
"URL","URL"
"URL target","URL di destinazione"
"URL title","Titolo URL"
"Nofollow","Nofollow"
"Number of substitutions","Numero di sostituzioni"
"Sort order","Ordinamento"
"Occurrence","Occorrenza"
"Is active","È attivo"
"Active from","Attivo dal"
"Active to","Attivo fino al"
"Visible in store view","Visibile nella vista del negozio"
"Change status","Cambia stato"
"Active","Attivo"
"Inactive","Inattivo"
"Delete items","Elimina elementi"
"Are you sure you want to delete the selected items?","Sei sicuro di voler eliminare gli elementi selezionati?"
"ID","ID"
"Store view","Vista del negozio"
"Status","Stato"
"Is nofollow","È nofollow"
"Max replacements","Sostituzioni massime"
"Link type","Tipo di collegamento"
"Entity ID","ID entità"
"Enter the product ID or category ID. The current URL for this entity will be resolved automatically when the link is inserted.","Inserisci l'ID del prodotto o l'ID della categoria. L'URL corrente di questa entità verrà risolta automaticamente quando il collegamento viene inserito."
"Custom URL","URL personalizzato"
"Product by ID","Prodotto per ID"
"Category by ID","Categoria per ID"
"URL is required for custom URL links.","L'URL è obbligatoria per i collegamenti URL personalizzati."
"Entity ID is required for product/category links.","L'ID entità è obbligatorio per i collegamenti a prodotti/categorie."
