"Add new link","Dodaj nowy link"
"Import/Export links","Importuj/Eksportuj linki"
"[deleted]","[usunięty]"
"All store views","Wszystkie widoki sklepu"
"There is no sample file for this entity.","Brak pliku przykładowego dla tej encji."
"Unable to create export file.","Nie można utworzyć pliku eksportu."
"Unable to send export file.","Nie można wysłać pliku eksportu."
"Cross-links","Linki krzyżowe"
"%1 records were inserted or updated","Wstawiono lub zaktualizowano %1 rekordów"
"New link","Nowy link"
"Item was successfully deleted","Element został pomyślnie usunięty"
"Edit link '%1'","Edytuj link '%1'"
"The link does not exist.","Link nie istnieje."
"Please select item(s)","Wybierz element(y)"
"Total of %1 record(s) were successfully deleted","Łącznie %1 rekord(ów) zostało pomyślnie usuniętych"
"Total of %1 record(s) were successfully disabled","Łącznie %1 rekord(ów) zostało pomyślnie wyłączonych"
"Total of %1 record(s) were successfully enabled","Łącznie %1 rekord(ów) zostało pomyślnie włączonych"
"Link was successfully saved","Link został pomyślnie zapisany"
"Unable to find link to save","Nie można znaleźć linku do zapisania"
"First","Pierwsze"
"Last","Ostatnie"
"Random","Losowe"
"CMS page","Strona CMS"
"CMS block","Blok CMS"
"Category description","Opis kategorii"
"Product short description","Krótki opis produktu"
"Product full description","Pełny opis produktu"
"Product attributes","Atrybuty produktu"
"SEO description","Opis SEO"
"Blog MX post content","Treść wpisu Blog MX"
"Mageplaza Blog post content","Treść wpisu Mageplaza Blog"
"_self (in current window)","_self (w bieżącym oknie)"
"_blank (in new window)","_blank (w nowym oknie)"
"_self (in own frameset)","_self (we własnym zestawie ramek)"
"_top (in full current browser window)","_top (w pełnym oknie przeglądarki)"
"Back","Wstecz"
"Delete","Usuń"
"Are you sure you want to do this?","Czy na pewno chcesz to zrobić?"
"Reset","Resetuj"
"Resets input fields values","Resetuje wartości pól wprowadzania"
"Save and continue edit","Zapisz i kontynuuj edycję"
"Save","Zapisz"
"Edit","Edytuj"
"SEO Autolink Import","Import Autolink SEO"
"Import links (.csv)","Importuj linki (.csv)"
"Import links","Importuj linki"
"This is a required field.","To pole jest wymagane."
"Download example CSV file for autolink import","Pobierz przykładowy plik CSV do importu autolinkowania"
"Example of CSV file","Przykład pliku CSV"
"SEO Autolink Export","Eksport Autolink SEO"
"Export links (.csv)","Eksportuj linki (.csv)"
"Export links","Eksportuj linki"
"Cross-links settings","Ustawienia linków krzyżowych"
"Configure how cross-linking behaves across your site content to enhance internal linking structure.","Skonfiguruj zachowanie linków krzyżowych w treści witryny, aby ulepszyć strukturę linkowania wewnętrznego."
"Allowed areas for cross-links","Dozwolone obszary dla linków krzyżowych"
"Select specific content areas where cross-links should be automatically inserted. Limiting to relevant areas improves page load performance.","Wybierz określone obszary treści, w których linki krzyżowe mają być wstawiane automatycznie. Ograniczenie do odpowiednich obszarów poprawia wydajność ładowania strony."
"Restrict link placement in tags","Ogranicz umieszczanie linków w znacznikach"
"Specify HTML tags where links should not be inserted (e.g., h1, h2, a, strong). Enter one tag per line without brackets.","Określ znaczniki HTML, w których linki nie powinny być wstawiane (np. h1, h2, a, strong). Wprowadź jeden znacznik na linię bez nawiasów kwadratowych."
"Prevent adding cross-links on pages","Zapobiegaj dodawaniu linków krzyżowych na stronach"
"Enter URL patterns (one per line) where cross-links should be disabled. Use * as wildcard (e.g., catalog/product/* or */checkout).","Wprowadź wzorce URL (jeden na linię), na których linki krzyżowe mają być wyłączone. Użyj * jako symbolu wieloznacznego (np. catalog/product/* lub */checkout)."
"Template paths for link insertion","Ścieżki szablonów do wstawiania linków"
"Specify template file paths (one per line) where links should be inserted. Note: Processing will fail for templates exceeding 1000 HTML tags due to memory constraints.","Określ ścieżki plików szablonów (jeden na linię), w których linki mają być wstawiane. Uwaga: Przetwarzanie nie powiedzie się dla szablonów przekraczających 1000 znaczników HTML ze względu na ograniczenia pamięci."
"Max number of links per page","Maksymalna liczba linków na stronę"
"Set maximum number of auto-generated cross-links per page. Lower values may improve page load time and prevent over-optimization.","Ustaw maksymalną liczbę automatycznie generowanych linków krzyżowych na stronę. Niższe wartości mogą poprawić czas ładowania strony i zapobiec nadmiernej optymalizacji."
"Avoid duplicate URLs in cross-links","Unikaj zduplikowanych adresów URL w linkach krzyżowych"
"When enabled, if multiple keywords point to the same URL, only the first occurrence will be linked. This prevents duplicate links and improves page load performance.","Po włączeniu, jeśli wiele słów kluczowych wskazuje na ten sam URL, tylko pierwsze wystąpienie zostanie zlinkowane. Zapobiega to zduplikowanym linkom i poprawia wydajność ładowania strony."
"General information","Informacje ogólne"
"Keyword","Słowo kluczowe"
"URL","URL"
"URL target","Cel URL"
"URL title","Tytuł URL"
"Nofollow","Nofollow"
"Number of substitutions","Liczba podstawień"
"Sort order","Kolejność sortowania"
"Occurrence","Wystąpienie"
"Is active","Jest aktywny"
"Active from","Aktywny od"
"Active to","Aktywny do"
"Visible in store view","Widoczny w widoku sklepu"
"Change status","Zmień status"
"Active","Aktywny"
"Inactive","Nieaktywny"
"Delete items","Usuń elementy"
"Are you sure you want to delete the selected items?","Czy na pewno chcesz usunąć wybrane elementy?"
"ID","ID"
"Store view","Widok sklepu"
"Status","Status"
"Is nofollow","Jest nofollow"
"Max replacements","Maksymalna liczba zamian"
"Link type","Typ linku"
"Entity ID","ID encji"
"Enter the product ID or category ID. The current URL for this entity will be resolved automatically when the link is inserted.","Wprowadź ID produktu lub ID kategorii. Aktualny URL dla tej encji zostanie automatycznie rozwiązany podczas wstawiania linku."
"Custom URL","Własny URL"
"Product by ID","Produkt według ID"
"Category by ID","Kategoria według ID"
"URL is required for custom URL links.","URL jest wymagany dla linków z własnym URL."
"Entity ID is required for product/category links.","ID encji jest wymagane dla linków do produktu/kategorii."
