"Template manager","Vorlagenmanager"
"Rewrite manager","Umschreibungs-Manager"
"Settings","Einstellungen"
"Preview template","Vorlage vorschau"
"SEO description","SEO-Beschreibung"
"Rewrite was removed","Umschreibung wurde entfernt"
"Please select rewrite","Bitte Umschreibung auswählen"
"This rewrite no longer exists.","Diese Umschreibung existiert nicht mehr."
"New rewrite","Neue Umschreibung"
"There is no sample file for this entity.","Für diese Entität ist keine Beispieldatei vorhanden."
"Unable to create export file.","Exportdatei konnte nicht erstellt werden."
"Unable to send export file.","Exportdatei konnte nicht gesendet werden."
"Import/Export rewrites","Umschreibungen importieren/exportieren"
"%1 records were inserted or updated","%1 Datensätze wurden eingefügt oder aktualisiert"
"Rewrite was saved.","Umschreibung wurde gespeichert."
"No data to save.","Keine Daten zum Speichern."
"Advanced SEO Suite","Advanced SEO Suite"
"Template was removed","Vorlage wurde entfernt"
"Please select template","Bitte Vorlage auswählen"
"Template was duplicated successfully.","Vorlage wurde erfolgreich dupliziert."
"This template no longer exists.","Diese Vorlage existiert nicht mehr."
"New template","Neue Vorlage"
"Template was saved.","Vorlage wurde gespeichert."
"Disabled","Deaktiviert"
"At the beginning","Am Anfang"
"At the end","Am Ende"
"At the beginning (add to the first page)","Am Anfang (zur ersten Seite hinzufügen)"
"At the end (add to the first page)","Am Ende (zur ersten Seite hinzufügen)"
"Category","Kategorie"
"Post","Beitrag"
"Tag","Tag"
"Author","Autor"
"Brand","Marke"
"Open Chooser","Auswahl öffnen"
"Conditions combination","Bedingungskombination"
"Filter Subselection","Filter-Teilauswahl"
"Category Attributes","Kategorieattribute"
"Product attributes","Produktattribute"
"Page attributes","Seitenattribute"
"Blog Attributes","Blog-Attribute"
"Brand Attributes","Marken-Attribute"
"Landing Page Attributes","Landing-Page-Attribute"
"Product attribute","Produktattribut"
"is","ist"
"is not","ist nicht"
"equals or greater than","gleich oder größer als"
"equals or less than","gleich oder kleiner als"
"greater than","größer als"
"less than","kleiner als"
