"Template manager","Template manager"
"Rewrite manager","Rewrite manager"
Settings,Settings
"Preview template","Preview template"
"SEO description","SEO description"
"Rewrite was removed","Rewrite was removed"
"Please select rewrite","Please select rewrite"
"This rewrite no longer exists.","This rewrite no longer exists."
"New rewrite","New rewrite"
"There is no sample file for this entity.","There is no sample file for this entity."
"Unable to create export file.","Unable to create export file."
"Unable to send export file.","Unable to send export file."
"Import/Export rewrites","Import/Export rewrites"
"%1 records were inserted or updated","%1 records were inserted or updated"
"Rewrite was saved.","Rewrite was saved."
"No data to save.","No data to save."
"Advanced SEO Suite","Advanced SEO Suite"
"Template was removed","Template was removed"
"Please select template","Please select template"
"Template was duplicated successfully.","Template was duplicated successfully."
"This template no longer exists.","This template no longer exists."
"New template","New template"
"Template was saved.","Template was saved."
Disabled,Disabled
"At the beginning","At the beginning"
"At the end","At the end"
"At the beginning (add to the first page)","At the beginning (add to the first page)"
"At the end (add to the first page)","At the end (add to the first page)"
Category,Category
Post,Post
Tag,Tag
Author,Author
Brand,Brand
"Open Chooser","Open Chooser"
"Conditions combination","Conditions combination"
"Filter Subselection","Filter Subselection"
"Category Attributes","Category Attributes"
"Product attributes","Product attributes"
"Page attributes","Page attributes"
"Blog Attributes","Blog Attributes"
"Brand Attributes","Brand Attributes"
"Landing Page Attributes","Landing Page Attributes"
"Product attribute","Product attribute"
is,is
"is not","is not"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"less than","less than"
"If number of applied filters %1 %2 while %3 of these Conditions match:","If number of applied filters %1 %2 while %3 of these Conditions match:"
"Landing Page","Landing Page"
Page,Page
"Attribute set","Attribute set"
"Product type","Product type"
"SEO Content","SEO Content"
"Is Category Page — %1","Is Category Page — %1"
"Is Landing Page — %1","Is Landing Page — %1"
"Is Navigation Page — %1","Is Navigation Page — %1"
"Is Product Page — %1","Is Product Page — %1"
"Is CMS page — %1","Is CMS page — %1"
"Is Blog Page — %1","Is Blog Page — %1"
"Is Brand Page — %1","Is Brand Page — %1"
State,State
"Applied Template — %1","Applied Template — %1"
"Applied Rewrite — %1","Applied Rewrite — %1"
Content,Content
"Content Sources","Content Sources"
"Page %1 | %2","Page %1 | %2"
"%1 | Page %2","%1 | Page %2"
"Tag: %1","Tag: %1"
Back,Back
Delete,Delete
"Are you sure you want to do this?","Are you sure you want to do this?"
"Save and continue edit","Save and continue edit"
Save,Save
Edit,Edit
"Delete rewrite?","Delete rewrite?"
Default,Default
Yes,Yes
No,No
"Bottom of the page","Bottom of the page"
"Under custom template","Under custom template"
"Don't add automatically","Don't add automatically"
"Don't change","Don't change"
"NOINDEX, NOFOLLOW","NOINDEX, NOFOLLOW"
"NOINDEX, FOLLOW","NOINDEX, FOLLOW"
"INDEX, NOFOLLOW","INDEX, NOFOLLOW"
"INDEX, FOLLOW","INDEX, FOLLOW"
Conditions,Conditions
"Conditions (leave blank for all elements, depending from rule type)","Conditions (leave blank for all elements, depending from rule type)"
Duplicate,Duplicate
"Delete template?","Delete template?"
"Meta title","Meta title"
"Meta keywords","Meta keywords"
"Meta description","Meta description"
"Title (H1)","Title (H1)"
"Product short description","Product short description"
"Product Description","Product Description"
"Category description","Category description"
"Brand Description","Brand Description"
"Under product list","Under product list"
"Under short description","Under short description"
"Under full description","Under full description"
Categories,Categories
"Layered navigation","Layered navigation"
Products,Products
"CMS pages","CMS pages"
Blog,Blog
"Landing Pages","Landing Pages"
"SEO Rewrite Import","SEO Rewrite Import"
"Import rewrites (.csv)","Import rewrites (.csv)"
"Import rewrites","Import rewrites"
"This is a required field.","This is a required field."
"Example of CSV file","Example of CSV file"
"SEO Rewrite Export","SEO Rewrite Export"
"Export rewrites (.csv)","Export rewrites (.csv)"
"Export rewrites","Export rewrites"
"Please select the rule type","Please select the rule type"
"Preview not allowed for layered navigation templates","Preview not allowed for layered navigation templates"
"Preview not allowed for Blog templates","Preview not allowed for Blog templates"
"Preview not allowed for Brand templates","Preview not allowed for Brand templates"
"URL or Entity IDs separated by comma","URL or Entity IDs separated by comma"
"Nothing to display","Nothing to display"
"Template variables","Template variables"
"learn more","learn more"
"Double click on a variable to insert it into the field","Double click on a variable to insert it into the field"
