"Template manager","Gestor de plantillas"
"Rewrite manager","Gestor de reescrituras"
"Settings","Configuración"
"Preview template","Vista previa de plantilla"
"SEO description","Descripción SEO"
"Rewrite was removed","La reescritura fue eliminada"
"Please select rewrite","Por favor, seleccione una reescritura"
"This rewrite no longer exists.","Esta reescritura ya no existe."
"New rewrite","Nueva reescritura"
"There is no sample file for this entity.","No hay archivo de muestra para esta entidad."
"Unable to create export file.","No se puede crear el archivo de exportación."
"Unable to send export file.","No se puede enviar el archivo de exportación."
"Import/Export rewrites","Importar/Exportar reescrituras"
"%1 records were inserted or updated","%1 registros fueron insertados o actualizados"
"Rewrite was saved.","La reescritura fue guardada."
"No data to save.","No hay datos para guardar."
"Advanced SEO Suite","Advanced SEO Suite"
"Template was removed","La plantilla fue eliminada"
"Please select template","Por favor, seleccione una plantilla"
"Template was duplicated successfully.","La plantilla fue duplicada correctamente."
"This template no longer exists.","Esta plantilla ya no existe."
"New template","Nueva plantilla"
"Template was saved.","La plantilla fue guardada."
"Disabled","Deshabilitado"
"At the beginning","Al principio"
"At the end","Al final"
"At the beginning (add to the first page)","Al principio (agregar a la primera página)"
"At the end (add to the first page)","Al final (agregar a la primera página)"
"Category","Categoría"
"Post","Publicación"
"Tag","Etiqueta"
"Author","Autor"
"Brand","Marca"
"Open Chooser","Abrir selector"
"Conditions combination","Combinación de condiciones"
"Filter Subselection","Subselección de filtro"
"Category Attributes","Atributos de categoría"
"Product attributes","Atributos del producto"
"Page attributes","Atributos de página"
"Blog Attributes","Atributos de blog"
"Brand Attributes","Atributos de marca"
"Landing Page Attributes","Atributos de página de destino"
"Product attribute","Atributo del producto"
"is","es"
"is not","no es"
"equals or greater than","igual o mayor que"
"equals or less than","igual o menor que"
"greater than","mayor que"
"less than","menor que"
"If number of applied filters %1 %2 while %3 of these Conditions match:","Si el número de filtros aplicados %1 %2 mientras %3 de estas condiciones coinciden:"
"Landing Page","Página de destino"
"Page","Página"
"Attribute set","Conjunto de atributos"
"Product type","Tipo de producto"
"SEO Content","Contenido SEO"
"Is Category Page — %1","Es página de categoría — %1"
"Is Landing Page — %1","Es página de destino — %1"
"Is Navigation Page — %1","Es página de navegación — %1"
"Is Product Page — %1","Es página de producto — %1"
"Is CMS page — %1","Es página CMS — %1"
"Is Blog Page — %1","Es página de blog — %1"
"Is Brand Page — %1","Es página de marca — %1"
"State","Estado"
"Applied Template — %1","Plantilla aplicada — %1"
"Applied Rewrite — %1","Reescritura aplicada — %1"
"Content","Contenido"
"Content Sources","Fuentes de contenido"
"Page %1 | %2","Página %1 | %2"
"%1 | Page %2","%1 | Página %2"
"Tag: %1","Etiqueta: %1"
"Back","Volver"
"Delete","Eliminar"
"Are you sure you want to do this?","¿Está seguro de que desea hacer esto?"
"Save and continue edit","Guardar y continuar editando"
"Save","Guardar"
"Edit","Editar"
"Delete rewrite?","¿Eliminar la reescritura?"
"Default","Predeterminado"
"Yes","Sí"
"No","No"
"Bottom of the page","Al pie de la página"
"Under custom template","Debajo de la plantilla personalizada"
"Don't add automatically","No agregar automáticamente"
"Don't change","No cambiar"
"NOINDEX, NOFOLLOW","NOINDEX, NOFOLLOW"
"NOINDEX, FOLLOW","NOINDEX, FOLLOW"
