"Template manager","Gestionnaire de modèles"
"Rewrite manager","Gestionnaire de réécritures"
"Settings","Paramètres"
"Preview template","Aperçu du modèle"
"SEO description","Description SEO"
"Rewrite was removed","La réécriture a été supprimée"
"Please select rewrite","Veuillez sélectionner une réécriture"
"This rewrite no longer exists.","Cette réécriture n'existe plus."
"New rewrite","Nouvelle réécriture"
"There is no sample file for this entity.","Il n'y a pas de fichier d'exemple pour cette entité."
"Unable to create export file.","Impossible de créer le fichier d'exportation."
"Unable to send export file.","Impossible d'envoyer le fichier d'exportation."
"Import/Export rewrites","Importer/exporter des réécritures"
"%1 records were inserted or updated","%1 enregistrements ont été insérés ou mis à jour"
"Rewrite was saved.","La réécriture a été enregistrée."
"No data to save.","Aucune donnée à enregistrer."
"Advanced SEO Suite","Advanced SEO Suite"
"Template was removed","Le modèle a été supprimé"
"Please select template","Veuillez sélectionner un modèle"
"Template was duplicated successfully.","Le modèle a été dupliqué avec succès."
"This template no longer exists.","Ce modèle n'existe plus."
"New template","Nouveau modèle"
"Template was saved.","Le modèle a été enregistré."
"Disabled","Désactivé"
"At the beginning","Au début"
"At the end","À la fin"
"At the beginning (add to the first page)","Au début (ajouter à la première page)"
"At the end (add to the first page)","À la fin (ajouter à la première page)"
"Category","Catégorie"
"Post","Article"
"Tag","Étiquette"
"Author","Auteur"
"Brand","Marque"
"Open Chooser","Ouvrir le sélecteur"
"Conditions combination","Combinaison de conditions"
"Filter Subselection","Sous-sélection de filtre"
"Category Attributes","Attributs de catégorie"
"Product attributes","Attributs de produit"
"Page attributes","Attributs de page"
"Blog Attributes","Attributs de blog"
"Brand Attributes","Attributs de marque"
"Landing Page Attributes","Attributs de page de destination"
"Product attribute","Attribut de produit"
"is","est"
"is not","n'est pas"
"equals or greater than","égal ou supérieur à"
"equals or less than","égal ou inférieur à"
"greater than","supérieur à"
"less than","inférieur à"
"If number of applied filters %1 %2 while %3 of these Conditions match:","Si le nombre de filtres appliqués %1 %2 tandis que %3 de ces conditions correspondent :"
"Landing Page","Page de destination"
"Page","Page"
"Attribute set","Ensemble d'attributs"
"Product type","Type de produit"
"SEO Content","Contenu SEO"
"Is Category Page — %1","Est une page de catégorie — %1"
"Is Landing Page — %1","Est une page de destination — %1"
"Is Navigation Page — %1","Est une page de navigation — %1"
"Is Product Page — %1","Est une page produit — %1"
"Is CMS page — %1","Est une page CMS — %1"
"Is Blog Page — %1","Est une page de blog — %1"
"Is Brand Page — %1","Est une page de marque — %1"
"State","État"
"Applied Template — %1","Modèle appliqué — %1"
"Applied Rewrite — %1","Réécriture appliquée — %1"
"Content","Contenu"
"Content Sources","Sources de contenu"
"Page %1 | %2","Page %1 | %2"
"%1 | Page %2","%1 | Page %2"
"Tag: %1","Étiquette : %1"
"Back","Retour"
"Delete","Supprimer"
"Are you sure you want to do this?","Êtes-vous sûr de vouloir effectuer cette action ?"
"Save and continue edit","Enregistrer et continuer la modification"
"Save","Enregistrer"
"Edit","Modifier"
"Delete rewrite?","Supprimer la réécriture ?"
"Default","Par défaut"
"Yes","Oui"
"No","Non"
"Bottom of the page","En bas de la page"
"Under custom template","Sous le modèle personnalisé"
"Don't add automatically","Ne pas ajouter automatiquement"
"Don't change","Ne pas modifier"
"NOINDEX, NOFOLLOW","NOINDEX, NOFOLLOW"
"NOINDEX, FOLLOW","NOINDEX, FOLLOW"
"INDEX, NOFOLLOW","INDEX, NOFOLLOW"
"INDEX, FOLLOW","INDEX, FOLLOW"
"Conditions","Conditions"
"Conditions (leave blank for all elements, depending from rule type)","Conditions (laisser vide pour tous les éléments, selon le type de règle)"
"Duplicate","Dupliquer"
"Delete template?","Supprimer le modèle ?"
"Meta title","Titre méta"
"Meta keywords","Mots-clés méta"
"Meta description","Description méta"
"Title (H1)","Titre (H1)"
"Product short description","Description courte du produit"
"Product Description","Description du produit"
"Category description","Description de catégorie"
"Brand Description","Description de marque"
"Under product list","Sous la liste de produits"
"Under short description","Sous la description courte"
"Under full description","Sous la description complète"
"Categories","Catégories"
"Layered navigation","Navigation par couches"
"Products","Produits"
"CMS pages","Pages CMS"
"Blog","Blog"
"Landing Pages","Pages de destination"
"SEO Rewrite Import","Importation de réécritures SEO"
"Import rewrites (.csv)","Importer des réécritures (.csv)"
"Import rewrites","Importer des réécritures"
"This is a required field.","Ce champ est obligatoire."
"Example of CSV file","Exemple de fichier CSV"
"SEO Rewrite Export","Exportation de réécritures SEO"
"Export rewrites (.csv)","Exporter des réécritures (.csv)"
"Export rewrites","Exporter des réécritures"
"Please select the rule type","Veuillez sélectionner le type de règle"
"Preview not allowed for layered navigation templates","Aperçu non autorisé pour les modèles de navigation par couches"
"Preview not allowed for Blog templates","Aperçu non autorisé pour les modèles de blog"
"Preview not allowed for Brand templates","Aperçu non autorisé pour les modèles de marque"
"URL or Entity IDs separated by comma","URL ou ID d'entités séparés par une virgule"
"Nothing to display","Rien à afficher"
"Template variables","Variables de modèle"
"learn more","en savoir plus"
"Double click on a variable to insert it into the field","Double-cliquez sur une variable pour l'insérer dans le champ"
"Learn more about template variables","En savoir plus sur les variables de modèle"
"Template Preview","Aperçu du modèle"
"Reload","Recharger"
"SEO Templates and rewrites","Modèles et réécritures SEO"
"General settings","Paramètres généraux"
"Configure basic behavior of meta tags processing across your store.","Configurez le comportement de base du traitement des balises méta dans votre magasin."
"Apply store prefixes to custom titles","Appliquer les préfixes du magasin aux titres personnalisés"
"When enabled, store's title prefix/suffix (configured in Content > Design > Configuration) will be automatically applied to any custom meta titles.","Lorsqu'il est activé, le préfixe/suffixe de titre du magasin (configuré dans Contenu > Design > Configuration) sera automatiquement appliqué à tous les titres méta personnalisés."
"Allow HTML in meta tags","Autoriser le HTML dans les balises méta"
"When enabled, HTML special characters (&, <, >, etc.) will be preserved in meta tags rather than being escaped. Useful for including special symbols or entities.","Lorsqu'il est activé, les caractères spéciaux HTML (&, <, >, etc.) seront conservés dans les balises méta plutôt qu'échappés. Utile pour inclure des symboles ou entités spéciaux."
"Use existing meta tags","Utiliser les balises méta existantes"
