"Template manager","Gestione dei template"
"Rewrite manager","Gestione delle riscritture"
"Settings","Impostazioni"
"Preview template","Anteprima del template"
"SEO description","Descrizione SEO"
"Rewrite was removed","La riscrittura è stata rimossa"
"Please select rewrite","Seleziona una riscrittura"
"This rewrite no longer exists.","Questa riscrittura non esiste più."
"New rewrite","Nuova riscrittura"
"There is no sample file for this entity.","Non esiste un file di esempio per questa entità."
"Unable to create export file.","Impossibile creare il file di esportazione."
"Unable to send export file.","Impossibile inviare il file di esportazione."
"Import/Export rewrites","Importa/Esporta riscritture"
"%1 records were inserted or updated","%1 record sono stati inseriti o aggiornati"
"Rewrite was saved.","La riscrittura è stata salvata."
"No data to save.","Nessun dato da salvare."
"Advanced SEO Suite","Advanced SEO Suite"
"Template was removed","Il template è stato rimosso"
"Please select template","Seleziona un template"
"Template was duplicated successfully.","Il template è stato duplicato con successo."
"This template no longer exists.","Questo template non esiste più."
"New template","Nuovo template"
"Template was saved.","Il template è stato salvato."
"Disabled","Disabilitato"
"At the beginning","All'inizio"
"At the end","Alla fine"
"At the beginning (add to the first page)","All'inizio (aggiungi alla prima pagina)"
"At the end (add to the first page)","Alla fine (aggiungi alla prima pagina)"
"Category","Categoria"
"Post","Articolo"
"Tag","Tag"
"Author","Autore"
"Brand","Brand"
"Open Chooser","Apri selettore"
"Conditions combination","Combinazione di condizioni"
"Filter Subselection","Selezione filtro"
"Category Attributes","Attributi della categoria"
"Product attributes","Attributi del prodotto"
"Page attributes","Attributi della pagina"
"Blog Attributes","Attributi del blog"
"Brand Attributes","Attributi del brand"
"Landing Page Attributes","Attributi della pagina di destinazione"
"Product attribute","Attributo del prodotto"
"is","è"
"is not","non è"
"equals or greater than","uguale o maggiore di"
"equals or less than","uguale o minore di"
"greater than","maggiore di"
"less than","minore di"
"If number of applied filters %1 %2 while %3 of these Conditions match:","Se il numero di filtri applicati %1 %2 mentre %3 di queste condizioni corrispondono:"
"Landing Page","Pagina di destinazione"
"Page","Pagina"
"Attribute set","Set di attributi"
"Product type","Tipo di prodotto"
"SEO Content","Contenuto SEO"
"Is Category Page — %1","È pagina di categoria — %1"
"Is Landing Page — %1","È pagina di destinazione — %1"
"Is Navigation Page — %1","È pagina di navigazione — %1"
"Is Product Page — %1","È pagina di prodotto — %1"
"Is CMS page — %1","È pagina CMS — %1"
"Is Blog Page — %1","È pagina del blog — %1"
"Is Brand Page — %1","È pagina del brand — %1"
"State","Stato"
"Applied Template — %1","Template applicato — %1"
"Applied Rewrite — %1","Riscrittura applicata — %1"
"Content","Contenuto"
"Content Sources","Fonti di contenuto"
"Page %1 | %2","Pagina %1 | %2"
"%1 | Page %2","%1 | Pagina %2"
"Tag: %1","Tag: %1"
"Back","Indietro"
"Delete","Elimina"
"Are you sure you want to do this?","Sei sicuro di voler eseguire questa operazione?"
"Save and continue edit","Salva e continua la modifica"
"Save","Salva"
"Edit","Modifica"
"Delete rewrite?","Eliminare la riscrittura?"
"Default","Predefinito"
"Yes","Sì"
"No","No"
"Bottom of the page","In fondo alla pagina"
"Under custom template","Sotto il template personalizzato"
"Don't add automatically","Non aggiungere automaticamente"
"Don't change","Non modificare"
"NOINDEX, NOFOLLOW","NOINDEX, NOFOLLOW"
"NOINDEX, FOLLOW","NOINDEX, FOLLOW"
"INDEX, NOFOLLOW","INDEX, NOFOLLOW"
"INDEX, FOLLOW","INDEX, FOLLOW"
"Conditions","Condizioni"
