"Template manager","Mallhanterare"
"Rewrite manager","Omskrivningshanterare"
"Settings","Inställningar"
"Preview template","Förhandsgranska mall"
"SEO description","SEO-beskrivning"
"Rewrite was removed","Omskrivningen togs bort"
"Please select rewrite","Välj omskrivning"
"This rewrite no longer exists.","Den här omskrivningen finns inte längre."
"New rewrite","Ny omskrivning"
"There is no sample file for this entity.","Det finns ingen exempelfil för den här entiteten."
"Unable to create export file.","Kunde inte skapa exportfilen."
"Unable to send export file.","Kunde inte skicka exportfilen."
"Import/Export rewrites","Importera/exportera omskrivningar"
"%1 records were inserted or updated","%1 poster infogades eller uppdaterades"
"Rewrite was saved.","Omskrivningen sparades."
"No data to save.","Inga data att spara."
"Advanced SEO Suite","Advanced SEO Suite"
"Template was removed","Mallen togs bort"
"Please select template","Välj mall"
"Template was duplicated successfully.","Mallen duplicerades."
"This template no longer exists.","Den här mallen finns inte längre."
"New template","Ny mall"
"Template was saved.","Mallen sparades."
"Disabled","Inaktiverad"
"At the beginning","I början"
"At the end","I slutet"
"At the beginning (add to the first page)","I början (lägg till på första sidan)"
"At the end (add to the first page)","I slutet (lägg till på första sidan)"
"Category","Kategori"
"Post","Inlägg"
"Tag","Tagg"
"Author","Författare"
"Brand","Varumärke"
"Open Chooser","Öppna väljare"
"Conditions combination","Villkorskombination"
"Filter Subselection","Filterurval"
"Category Attributes","Kategoriattribut"
"Product attributes","Produktattribut"
"Page attributes","Sidattribut"
"Blog Attributes","Bloggattribut"
"Brand Attributes","Varumärkesattribut"
"Landing Page Attributes","Landningssidattribut"
"Product attribute","Produktattribut"
"is","är"
"is not","är inte"
"equals or greater than","lika med eller större än"
"equals or less than","lika med eller mindre än"
"greater than","större än"
"less than","mindre än"
"If number of applied filters %1 %2 while %3 of these Conditions match:","Om antalet tillämpade filter %1 %2 medan %3 av dessa villkor matchar:"
"Landing Page","Landningssida"
"Page","Sida"
"Attribute set","Attributuppsättning"
"Product type","Produkttyp"
"SEO Content","SEO-innehåll"
"Is Category Page — %1","Är kategorisida — %1"
"Is Landing Page — %1","Är landningssida — %1"
"Is Navigation Page — %1","Är navigationssida — %1"
"Is Product Page — %1","Är produktsida — %1"
"Is CMS page — %1","Är CMS-sida — %1"
"Is Blog Page — %1","Är bloggsida — %1"
"Is Brand Page — %1","Är varumärkessida — %1"
"State","Tillstånd"
"Applied Template — %1","Tillämpad mall — %1"
"Applied Rewrite — %1","Tillämpad omskrivning — %1"
"Content","Innehåll"
"Content Sources","Innehållskällor"
"Page %1 | %2","Sida %1 | %2"
"%1 | Page %2","%1 | Sida %2"
"Tag: %1","Tagg: %1"
"Back","Tillbaka"
"Delete","Ta bort"
"Are you sure you want to do this?","Är du säker på att du vill göra detta?"
"Save and continue edit","Spara och fortsätt redigera"
"Save","Spara"
"Edit","Redigera"
"Delete rewrite?","Ta bort omskrivning?"
"Default","Standard"
"Yes","Ja"
"No","Nej"
"Bottom of the page","Längst ner på sidan"
"Under custom template","Under anpassad mall"
"Don't add automatically","Lägg inte till automatiskt"
"Don't change","Ändra inte"
"NOINDEX, NOFOLLOW","NOINDEX, NOFOLLOW"
"NOINDEX, FOLLOW","NOINDEX, FOLLOW"
"INDEX, NOFOLLOW","INDEX, NOFOLLOW"
"INDEX, FOLLOW","INDEX, FOLLOW"
"Conditions","Villkor"
"Conditions (leave blank for all elements, depending from rule type)","Villkor (lämna tomt för alla element, beroende på regeltyp)"
