Attribute,Atribut
"Enable SEO URL","Povolit SEO URL"
"URL Alias","Alias URL"
"SEO Filters","SEO filtry"
"SEO Filters configuration is not available for this attribute","Konfigurace SEO filtrů není pro tento atribut k dispozici"
"All (%1) attribute and option aliases were removed.","Všechny aliasy atributů a možností (%1) byly odstraněny."
"Use Default","Použít výchozí"
Enabled,Povoleno
Disabled,Zakázáno
"Do not use a separator [allweather]","Nepoužívat oddělovač [allweather]"
"Use ""_"" as a separator [all_weather]","Použít ""_"" jako oddělovač [all_weather]"
"Use ""-"" as a separator [all-weather]","Použít ""-"" jako oddělovač [all-weather]"
"Use capital letter as a separator [allWeather]","Použít velké písmeno jako oddělovač [allWeather]"
"Store View Label","Popisek pohledu obchodu"
"Default (Admin) Label","Výchozí popisek (administrace)"
"Short: category/option1-option2-option3","Krátký: category/option1-option2-option3"
"Long: category/attr1/option1-option2/attr2/option3","Dlouhý: category/attr1/option1-option2/attr2/option3"
"Short: category/option1/option2/option3","Krátký: category/option1/option2/option3"
"Short: category/option1_option2_option3","Krátký: category/option1_option2_option3"
"Long: category/attr1/option1-option2/attr2/option1","Dlouhý: category/attr1/option1-option2/attr2/option1"
"Long: category/attr1-option1-option2/attr2-option1","Dlouhý: category/attr1-option1-option2/attr2-option1"
"Long: category/attr1:option1,option2/attr2:option1,option2","Dlouhý: category/attr1:option1,option2/attr2:option1,option2"
"The rewrite ""%1"" already exists or is not available. New rewrite ""%2"" was generated.","Přepis ""%1"" již existuje nebo není dostupný. Byl vygenerován nový přepis ""%2""."
"The rewrite ""%1"" already exists for one of the additional filter options. New rewrite ""%2"" was generated.","Přepis ""%1"" již existuje pro jednu z dalších možností filtru. Byl vygenerován nový přepis ""%2""."
"Using the hyphen as a word separator has limitations.","Použití pomlčky jako oddělovače slov má svá omezení."
"Since the hyphen is used as an option separator, aliases like: ""weight-height"" and single ""weight"" may not be recognized correctly by the SEO filter route handler.","Protože se pomlčka používá jako oddělovač možností, aliasy jako: ""weight-height"" a samostatné ""weight"" nemusí být správně rozpoznány obslužnou rutinou SEO filtrů."
"Seo Friendly Urls","SEO přátelské URL"
Option,Možnost
"SEO friendly aliases are automatically generated when ""Use in Layered Navigation"" is set to Filterable.","SEO přátelské aliasy se generují automaticky, pokud je ""Použít ve vrstvené navigaci"" nastaveno na Filtrovatelné."
"This is a required field.","Toto je povinné pole."
Warning,Upozornění
"Filter SEO URLs","SEO URL filtrů"
"SEO friendly Layered Navigation URLs","SEO přátelské URL vrstvené navigace"
"Enable SEO Friendly URLs","Povolit SEO přátelské URL"
"Activates SEO-friendly URLs for layered navigation. Works with default Magento or Mirasvit Layered Navigation only.","Aktivuje SEO přátelské URL pro vrstvenou navigaci. Funguje pouze s výchozí vrstvenou navigací Magenta nebo s modulem Mirasvit Layered Navigation."
"URL Formats","Formáty URL"
"Select the URL format for filters.","Vyberte formát URL pro filtry."
"Separator for Filter Names","Oddělovač pro názvy filtrů"
"Choose a separator to go between words in complex filter names. For example, ""all-weather"" vs. ""allweather.""","Zvolte oddělovač, který se vloží mezi slova ve složených názvech filtrů. Například ""all-weather"" versus ""allweather."""
"Use Prefix for Filters","Použít prefix pro filtry"
"Optionally, add a prefix before filters in URLs to improve readability.","Volitelně přidejte prefix před filtry v URL pro lepší čitelnost."
"Rewrite Alias Source","Zdroj aliasu přepisu"
"Define the source for URL rewrite aliases. Choose between using the store view label or the default store view label for consistency across all views.","Určete zdroj aliasů pro přepisy URL. Vyberte mezi popiskem pohledu obchodu nebo výchozím popiskem pohledu obchodu pro konzistenci napříč všemi pohledy."
"%1 orphaned alias(es) removed.","Odebráno %1 osamocených aliasů."
