Attribute,Attribut
"Enable SEO URL","SEO-URL aktivieren"
"URL Alias","URL-Alias"
"SEO Filters","SEO-Filter"
"SEO Filters configuration is not available for this attribute","Die Konfiguration der SEO-Filter ist für dieses Attribut nicht verfügbar"
"All (%1) attribute and option aliases were removed.","Alle (%1) Attribut- und Options-Aliase wurden entfernt."
"Use Default","Standard verwenden"
Enabled,Aktiviert
Disabled,Deaktiviert
"Do not use a separator [allweather]","Kein Trennzeichen verwenden [allweather]"
"Use ""_"" as a separator [all_weather]","""_"" als Trennzeichen verwenden [all_weather]"
"Use ""-"" as a separator [all-weather]","""-"" als Trennzeichen verwenden [all-weather]"
"Use capital letter as a separator [allWeather]","Großbuchstaben als Trennzeichen verwenden [allWeather]"
"Store View Label","Store-View-Bezeichnung"
"Default (Admin) Label","Standard-Bezeichnung (Admin)"
"Short: category/option1-option2-option3","Kurz: category/option1-option2-option3"
"Long: category/attr1/option1-option2/attr2/option3","Lang: category/attr1/option1-option2/attr2/option3"
"Short: category/option1/option2/option3","Kurz: category/option1/option2/option3"
"Short: category/option1_option2_option3","Kurz: category/option1_option2_option3"
"Long: category/attr1/option1-option2/attr2/option1","Lang: category/attr1/option1-option2/attr2/option1"
"Long: category/attr1-option1-option2/attr2-option1","Lang: category/attr1-option1-option2/attr2-option1"
"Long: category/attr1:option1,option2/attr2:option1,option2","Lang: category/attr1:option1,option2/attr2:option1,option2"
"The rewrite ""%1"" already exists or is not available. New rewrite ""%2"" was generated.","Das Rewrite ""%1"" existiert bereits oder ist nicht verfügbar. Ein neues Rewrite ""%2"" wurde erzeugt."
"The rewrite ""%1"" already exists for one of the additional filter options. New rewrite ""%2"" was generated.","Das Rewrite ""%1"" existiert bereits für eine der zusätzlichen Filteroptionen. Ein neues Rewrite ""%2"" wurde erzeugt."
"Using the hyphen as a word separator has limitations.","Die Verwendung des Bindestrichs als Worttrennzeichen hat Einschränkungen."
"Since the hyphen is used as an option separator, aliases like: ""weight-height"" and single ""weight"" may not be recognized correctly by the SEO filter route handler.","Da der Bindestrich als Optionstrennzeichen verwendet wird, werden Aliase wie ""weight-height"" und einzelnes ""weight"" vom SEO-Filter-Route-Handler möglicherweise nicht korrekt erkannt."
"Seo Friendly Urls","SEO-freundliche URLs"
Option,Option
"SEO friendly aliases are automatically generated when ""Use in Layered Navigation"" is set to Filterable.","SEO-freundliche Aliase werden automatisch erzeugt, wenn ""In Layered Navigation verwenden"" auf Filterbar gesetzt ist."
"This is a required field.","Dies ist ein Pflichtfeld."
Warning,Warnung
"Filter SEO URLs","SEO-URLs für Filter"
"SEO friendly Layered Navigation URLs","SEO-freundliche URLs für die Layered Navigation"
"Enable SEO Friendly URLs","SEO-freundliche URLs aktivieren"
"Activates SEO-friendly URLs for layered navigation. Works with default Magento or Mirasvit Layered Navigation only.","Aktiviert SEO-freundliche URLs für die Layered Navigation. Funktioniert nur mit der Standard-Layered-Navigation von Magento oder mit Mirasvit Layered Navigation."
"URL Formats","URL-Formate"
"Select the URL format for filters.","Wählen Sie das URL-Format für Filter."
"Separator for Filter Names","Trennzeichen für Filternamen"
"Choose a separator to go between words in complex filter names. For example, ""all-weather"" vs. ""allweather.""","Wählen Sie ein Trennzeichen, das zwischen Wörtern in zusammengesetzten Filternamen eingefügt wird. Zum Beispiel ""all-weather"" vs. ""allweather."""
"Use Prefix for Filters","Präfix für Filter verwenden"
"Optionally, add a prefix before filters in URLs to improve readability.","Fügen Sie optional einen Präfix vor Filtern in URLs ein, um die Lesbarkeit zu verbessern."
"Rewrite Alias Source","Quelle für Rewrite-Alias"
"Define the source for URL rewrite aliases. Choose between using the store view label or the default store view label for consistency across all views.","Legen Sie die Quelle für URL-Rewrite-Aliase fest. Wählen Sie zwischen der Store-View-Bezeichnung und der Standard-Store-View-Bezeichnung, um Konsistenz über alle Ansichten hinweg zu gewährleisten."
"%1 orphaned alias(es) removed.","%1 verwaiste Alias(e) entfernt."
