Attribute,Atributo
"Enable SEO URL","Activar URL SEO"
"URL Alias","Alias de URL"
"SEO Filters","Filtros SEO"
"SEO Filters configuration is not available for this attribute","La configuración de filtros SEO no está disponible para este atributo"
"All (%1) attribute and option aliases were removed.","Se han eliminado todos los alias de atributos y opciones (%1)."
"Use Default","Usar valor predeterminado"
Enabled,Activado
Disabled,Desactivado
"Do not use a separator [allweather]","No utilizar separador [allweather]"
"Use ""_"" as a separator [all_weather]","Utilizar ""_"" como separador [all_weather]"
"Use ""-"" as a separator [all-weather]","Utilizar ""-"" como separador [all-weather]"
"Use capital letter as a separator [allWeather]","Utilizar mayúscula como separador [allWeather]"
"Store View Label","Etiqueta de la vista de tienda"
"Default (Admin) Label","Etiqueta predeterminada (Admin)"
"Short: category/option1-option2-option3","Corto: category/option1-option2-option3"
"Long: category/attr1/option1-option2/attr2/option3","Largo: category/attr1/option1-option2/attr2/option3"
"Short: category/option1/option2/option3","Corto: category/option1/option2/option3"
"Short: category/option1_option2_option3","Corto: category/option1_option2_option3"
"Long: category/attr1/option1-option2/attr2/option1","Largo: category/attr1/option1-option2/attr2/option1"
"Long: category/attr1-option1-option2/attr2-option1","Largo: category/attr1-option1-option2/attr2-option1"
"Long: category/attr1:option1,option2/attr2:option1,option2","Largo: category/attr1:option1,option2/attr2:option1,option2"
"The rewrite ""%1"" already exists or is not available. New rewrite ""%2"" was generated.","La reescritura ""%1"" ya existe o no está disponible. Se ha generado una nueva reescritura ""%2""."
"The rewrite ""%1"" already exists for one of the additional filter options. New rewrite ""%2"" was generated.","La reescritura ""%1"" ya existe para una de las opciones de filtro adicionales. Se ha generado una nueva reescritura ""%2""."
"Using the hyphen as a word separator has limitations.","El uso del guion como separador de palabras tiene limitaciones."
"Since the hyphen is used as an option separator, aliases like: ""weight-height"" and single ""weight"" may not be recognized correctly by the SEO filter route handler.","Dado que el guion se utiliza como separador de opciones, alias como ""weight-height"" y el valor simple ""weight"" pueden no ser reconocidos correctamente por el controlador de rutas del filtro SEO."
"Seo Friendly Urls","URLs amigables para SEO"
Option,Opción
"SEO friendly aliases are automatically generated when ""Use in Layered Navigation"" is set to Filterable.","Los alias amigables para SEO se generan automáticamente cuando ""Usar en navegación por capas"" está configurado como Filtrable."
"This is a required field.","Este campo es obligatorio."
Warning,Advertencia
"Filter SEO URLs","URLs SEO de filtros"
"SEO friendly Layered Navigation URLs","URLs de navegación por capas amigables para SEO"
"Enable SEO Friendly URLs","Activar URLs amigables para SEO"
"Activates SEO-friendly URLs for layered navigation. Works with default Magento or Mirasvit Layered Navigation only.","Activa URLs amigables para SEO en la navegación por capas. Solo funciona con la navegación por capas predeterminada de Magento o con Mirasvit Layered Navigation."
"URL Formats","Formatos de URL"
"Select the URL format for filters.","Seleccione el formato de URL para los filtros."
"Separator for Filter Names","Separador para nombres de filtros"
"Choose a separator to go between words in complex filter names. For example, ""all-weather"" vs. ""allweather.""","Elija un separador para colocar entre palabras en nombres de filtros compuestos. Por ejemplo, ""all-weather"" frente a ""allweather."""
"Use Prefix for Filters","Usar prefijo para filtros"
"Optionally, add a prefix before filters in URLs to improve readability.","Opcionalmente, añada un prefijo antes de los filtros en las URLs para mejorar la legibilidad."
"Rewrite Alias Source","Fuente del alias de reescritura"
"Define the source for URL rewrite aliases. Choose between using the store view label or the default store view label for consistency across all views.","Defina la fuente de los alias de reescritura de URL. Elija entre utilizar la etiqueta de la vista de tienda o la etiqueta predeterminada de la vista de tienda para mantener la coherencia entre todas las vistas."
"%1 orphaned alias(es) removed.","%1 alias huérfano(s) eliminado(s)."
