Attribute,Attribut
"Enable SEO URL","Activer l'URL SEO"
"URL Alias","Alias d'URL"
"SEO Filters","Filtres SEO"
"SEO Filters configuration is not available for this attribute","La configuration des filtres SEO n'est pas disponible pour cet attribut"
"All (%1) attribute and option aliases were removed.","Tous les alias d'attribut et d'option (%1) ont été supprimés."
"Use Default","Utiliser la valeur par défaut"
Enabled,Activé
Disabled,Désactivé
"Do not use a separator [allweather]","Ne pas utiliser de séparateur [allweather]"
"Use ""_"" as a separator [all_weather]","Utiliser ""_"" comme séparateur [all_weather]"
"Use ""-"" as a separator [all-weather]","Utiliser ""-"" comme séparateur [all-weather]"
"Use capital letter as a separator [allWeather]","Utiliser une majuscule comme séparateur [allWeather]"
"Store View Label","Libellé de la vue magasin"
"Default (Admin) Label","Libellé par défaut (Admin)"
"Short: category/option1-option2-option3","Court : category/option1-option2-option3"
"Long: category/attr1/option1-option2/attr2/option3","Long : category/attr1/option1-option2/attr2/option3"
"Short: category/option1/option2/option3","Court : category/option1/option2/option3"
"Short: category/option1_option2_option3","Court : category/option1_option2_option3"
"Long: category/attr1/option1-option2/attr2/option1","Long : category/attr1/option1-option2/attr2/option1"
"Long: category/attr1-option1-option2/attr2-option1","Long : category/attr1-option1-option2/attr2-option1"
"Long: category/attr1:option1,option2/attr2:option1,option2","Long : category/attr1:option1,option2/attr2:option1,option2"
"The rewrite ""%1"" already exists or is not available. New rewrite ""%2"" was generated.","La réécriture ""%1"" existe déjà ou n'est pas disponible. Une nouvelle réécriture ""%2"" a été générée."
"The rewrite ""%1"" already exists for one of the additional filter options. New rewrite ""%2"" was generated.","La réécriture ""%1"" existe déjà pour l'une des options de filtre supplémentaires. Une nouvelle réécriture ""%2"" a été générée."
"Using the hyphen as a word separator has limitations.","L'utilisation du trait d'union comme séparateur de mots a des limites."
"Since the hyphen is used as an option separator, aliases like: ""weight-height"" and single ""weight"" may not be recognized correctly by the SEO filter route handler.","Le trait d'union étant utilisé comme séparateur d'options, des alias tels que ""weight-height"" et un simple ""weight"" peuvent ne pas être reconnus correctement par le gestionnaire de routes du filtre SEO."
"Seo Friendly Urls","URL optimisées pour le SEO"
Option,Option
"SEO friendly aliases are automatically generated when ""Use in Layered Navigation"" is set to Filterable.","Les alias optimisés pour le SEO sont générés automatiquement lorsque ""Utiliser dans la navigation par couches"" est défini sur Filtrable."
"This is a required field.","Ce champ est obligatoire."
Warning,Avertissement
"Filter SEO URLs","URL SEO des filtres"
"SEO friendly Layered Navigation URLs","URL de navigation par couches optimisées pour le SEO"
"Enable SEO Friendly URLs","Activer les URL optimisées pour le SEO"
"Activates SEO-friendly URLs for layered navigation. Works with default Magento or Mirasvit Layered Navigation only.","Active les URL optimisées pour le SEO dans la navigation par couches. Fonctionne uniquement avec la navigation par couches par défaut de Magento ou celle de Mirasvit."
"URL Formats","Formats d'URL"
"Select the URL format for filters.","Sélectionnez le format d'URL pour les filtres."
"Separator for Filter Names","Séparateur pour les noms de filtres"
"Choose a separator to go between words in complex filter names. For example, ""all-weather"" vs. ""allweather.""","Choisissez un séparateur à placer entre les mots dans les noms de filtres composés. Par exemple, ""all-weather"" contre ""allweather""."
"Use Prefix for Filters","Utiliser un préfixe pour les filtres"
"Optionally, add a prefix before filters in URLs to improve readability.","Ajoutez éventuellement un préfixe devant les filtres dans les URL pour améliorer la lisibilité."
"Rewrite Alias Source","Source de l'alias de réécriture"
"Define the source for URL rewrite aliases. Choose between using the store view label or the default store view label for consistency across all views.","Définissez la source des alias de réécriture d'URL. Choisissez entre le libellé de la vue magasin ou le libellé de la vue magasin par défaut pour garantir la cohérence entre toutes les vues."
"%1 orphaned alias(es) removed.","%1 alias orphelin(s) supprimé(s)."
