Attribute,Attributo
"Enable SEO URL","Abilita URL SEO"
"URL Alias","Alias URL"
"SEO Filters","Filtri SEO"
"SEO Filters configuration is not available for this attribute","La configurazione dei filtri SEO non è disponibile per questo attributo"
"All (%1) attribute and option aliases were removed.","Tutti gli alias di attributo e opzione (%1) sono stati rimossi."
"Use Default","Usa predefinito"
Enabled,Abilitato
Disabled,Disabilitato
"Do not use a separator [allweather]","Non usare un separatore [allweather]"
"Use ""_"" as a separator [all_weather]","Usa ""_"" come separatore [all_weather]"
"Use ""-"" as a separator [all-weather]","Usa ""-"" come separatore [all-weather]"
"Use capital letter as a separator [allWeather]","Usa una lettera maiuscola come separatore [allWeather]"
"Store View Label","Etichetta vista negozio"
"Default (Admin) Label","Etichetta predefinita (Admin)"
"Short: category/option1-option2-option3","Breve: category/option1-option2-option3"
"Long: category/attr1/option1-option2/attr2/option3","Lungo: category/attr1/option1-option2/attr2/option3"
"Short: category/option1/option2/option3","Breve: category/option1/option2/option3"
"Short: category/option1_option2_option3","Breve: category/option1_option2_option3"
"Long: category/attr1/option1-option2/attr2/option1","Lungo: category/attr1/option1-option2/attr2/option1"
"Long: category/attr1-option1-option2/attr2-option1","Lungo: category/attr1-option1-option2/attr2-option1"
"Long: category/attr1:option1,option2/attr2:option1,option2","Lungo: category/attr1:option1,option2/attr2:option1,option2"
"The rewrite ""%1"" already exists or is not available. New rewrite ""%2"" was generated.","La riscrittura ""%1"" esiste già o non è disponibile. È stata generata una nuova riscrittura ""%2""."
"The rewrite ""%1"" already exists for one of the additional filter options. New rewrite ""%2"" was generated.","La riscrittura ""%1"" esiste già per una delle opzioni di filtro aggiuntive. È stata generata una nuova riscrittura ""%2""."
"Using the hyphen as a word separator has limitations.","L'uso del trattino come separatore di parole presenta delle limitazioni."
"Since the hyphen is used as an option separator, aliases like: ""weight-height"" and single ""weight"" may not be recognized correctly by the SEO filter route handler.","Poiché il trattino viene utilizzato come separatore di opzioni, alias come ""weight-height"" e il singolo ""weight"" potrebbero non essere riconosciuti correttamente dal gestore di route del filtro SEO."
"Seo Friendly Urls","URL SEO friendly"
Option,Opzione
"SEO friendly aliases are automatically generated when ""Use in Layered Navigation"" is set to Filterable.","Gli alias SEO friendly vengono generati automaticamente quando ""Usa nella navigazione a livelli"" è impostato su Filtrabile."
"This is a required field.","Questo è un campo obbligatorio."
Warning,Avviso
"Filter SEO URLs","URL SEO dei filtri"
"SEO friendly Layered Navigation URLs","URL SEO friendly per la navigazione a livelli"
"Enable SEO Friendly URLs","Abilita URL SEO friendly"
"Activates SEO-friendly URLs for layered navigation. Works with default Magento or Mirasvit Layered Navigation only.","Attiva gli URL SEO friendly per la navigazione a livelli. Funziona solo con la navigazione a livelli predefinita di Magento o quella di Mirasvit."
"URL Formats","Formati URL"
"Select the URL format for filters.","Seleziona il formato URL per i filtri."
"Separator for Filter Names","Separatore per i nomi dei filtri"
"Choose a separator to go between words in complex filter names. For example, ""all-weather"" vs. ""allweather.""","Scegli un separatore da inserire tra le parole nei nomi di filtri complessi. Ad esempio, ""all-weather"" invece di ""allweather""."
"Use Prefix for Filters","Usa prefisso per i filtri"
"Optionally, add a prefix before filters in URLs to improve readability.","Facoltativamente, aggiungi un prefisso prima dei filtri negli URL per migliorare la leggibilità."
"Rewrite Alias Source","Origine alias di riscrittura"
"Define the source for URL rewrite aliases. Choose between using the store view label or the default store view label for consistency across all views.","Definisci l'origine degli alias di riscrittura URL. Scegli tra l'etichetta della vista negozio o l'etichetta della vista negozio predefinita per garantire coerenza tra tutte le viste."
"%1 orphaned alias(es) removed.","%1 alias orfano/i rimosso/i."
