Attribute,Attribuut
"Enable SEO URL","SEO-URL inschakelen"
"URL Alias","URL-alias"
"SEO Filters","SEO-filters"
"SEO Filters configuration is not available for this attribute","De configuratie van SEO-filters is niet beschikbaar voor dit attribuut"
"All (%1) attribute and option aliases were removed.","Alle attribuut- en optie-aliassen (%1) zijn verwijderd."
"Use Default","Standaard gebruiken"
Enabled,Ingeschakeld
Disabled,Uitgeschakeld
"Do not use a separator [allweather]","Geen scheidingsteken gebruiken [allweather]"
"Use ""_"" as a separator [all_weather]","""_"" gebruiken als scheidingsteken [all_weather]"
"Use ""-"" as a separator [all-weather]","""-"" gebruiken als scheidingsteken [all-weather]"
"Use capital letter as a separator [allWeather]","Hoofdletter gebruiken als scheidingsteken [allWeather]"
"Store View Label","Label storeweergave"
"Default (Admin) Label","Standaardlabel (Admin)"
"Short: category/option1-option2-option3","Kort: category/option1-option2-option3"
"Long: category/attr1/option1-option2/attr2/option3","Lang: category/attr1/option1-option2/attr2/option3"
"Short: category/option1/option2/option3","Kort: category/option1/option2/option3"
"Short: category/option1_option2_option3","Kort: category/option1_option2_option3"
"Long: category/attr1/option1-option2/attr2/option1","Lang: category/attr1/option1-option2/attr2/option1"
"Long: category/attr1-option1-option2/attr2-option1","Lang: category/attr1-option1-option2/attr2-option1"
"Long: category/attr1:option1,option2/attr2:option1,option2","Lang: category/attr1:option1,option2/attr2:option1,option2"
"The rewrite ""%1"" already exists or is not available. New rewrite ""%2"" was generated.","De herschrijving ""%1"" bestaat al of is niet beschikbaar. Er is een nieuwe herschrijving ""%2"" gegenereerd."
"The rewrite ""%1"" already exists for one of the additional filter options. New rewrite ""%2"" was generated.","De herschrijving ""%1"" bestaat al voor een van de aanvullende filteropties. Er is een nieuwe herschrijving ""%2"" gegenereerd."
"Using the hyphen as a word separator has limitations.","Het gebruik van het koppelteken als woordscheider heeft beperkingen."
"Since the hyphen is used as an option separator, aliases like: ""weight-height"" and single ""weight"" may not be recognized correctly by the SEO filter route handler.","Omdat het koppelteken als optiescheidingsteken wordt gebruikt, worden aliassen zoals ""weight-height"" en een losse ""weight"" mogelijk niet correct herkend door de route handler van het SEO-filter."
"Seo Friendly Urls","SEO-vriendelijke URL's"
Option,Optie
"SEO friendly aliases are automatically generated when ""Use in Layered Navigation"" is set to Filterable.","SEO-vriendelijke aliassen worden automatisch gegenereerd wanneer ""Gebruiken in gelaagde navigatie"" is ingesteld op Filterbaar."
"This is a required field.","Dit is een verplicht veld."
Warning,Waarschuwing
"Filter SEO URLs","SEO-URL's voor filters"
"SEO friendly Layered Navigation URLs","SEO-vriendelijke URL's voor gelaagde navigatie"
"Enable SEO Friendly URLs","SEO-vriendelijke URL's inschakelen"
"Activates SEO-friendly URLs for layered navigation. Works with default Magento or Mirasvit Layered Navigation only.","Activeert SEO-vriendelijke URL's voor gelaagde navigatie. Werkt alleen met de standaard Magento- of Mirasvit-gelaagde navigatie."
"URL Formats","URL-indelingen"
"Select the URL format for filters.","Selecteer de URL-indeling voor filters."
"Separator for Filter Names","Scheidingsteken voor filternamen"
"Choose a separator to go between words in complex filter names. For example, ""all-weather"" vs. ""allweather.""","Kies een scheidingsteken dat tussen woorden in samengestelde filternamen wordt geplaatst. Bijvoorbeeld ""all-weather"" versus ""allweather""."
"Use Prefix for Filters","Voorvoegsel gebruiken voor filters"
"Optionally, add a prefix before filters in URLs to improve readability.","Voeg optioneel een voorvoegsel toe vóór filters in URL's om de leesbaarheid te verbeteren."
"Rewrite Alias Source","Bron van herschrijvingsalias"
"Define the source for URL rewrite aliases. Choose between using the store view label or the default store view label for consistency across all views.","Bepaal de bron voor URL-herschrijvingsaliassen. Kies tussen het label van de storeweergave of het label van de standaard storeweergave voor consistentie in alle weergaven."
"%1 orphaned alias(es) removed.","%1 verweesde alias(sen) verwijderd."
