Attribute,Atrybut
"Enable SEO URL","Włącz adres URL SEO"
"URL Alias","Alias URL"
"SEO Filters","Filtry SEO"
"SEO Filters configuration is not available for this attribute","Konfiguracja filtrów SEO nie jest dostępna dla tego atrybutu"
"All (%1) attribute and option aliases were removed.","Wszystkie (%1) aliasy atrybutów i opcji zostały usunięte."
"Use Default","Użyj domyślnych"
Enabled,Włączone
Disabled,Wyłączone
"Do not use a separator [allweather]","Nie używaj separatora [allweather]"
"Use ""_"" as a separator [all_weather]","Użyj ""_"" jako separatora [all_weather]"
"Use ""-"" as a separator [all-weather]","Użyj ""-"" jako separatora [all-weather]"
"Use capital letter as a separator [allWeather]","Użyj wielkiej litery jako separatora [allWeather]"
"Store View Label","Etykieta widoku sklepu"
"Default (Admin) Label","Domyślna etykieta (Admin)"
"Short: category/option1-option2-option3","Krótki: kategoria/opcja1-opcja2-opcja3"
"Long: category/attr1/option1-option2/attr2/option3","Długi: kategoria/atr1/opcja1-opcja2/atr2/opcja3"
"Short: category/option1/option2/option3","Krótki: kategoria/opcja1/opcja2/opcja3"
"Short: category/option1_option2_option3","Krótki: kategoria/opcja1_opcja2_opcja3"
"Long: category/attr1/option1-option2/attr2/option1","Długi: kategoria/atr1/opcja1-opcja2/atr2/opcja1"
"Long: category/attr1-option1-option2/attr2-option1","Długi: kategoria/atr1-opcja1-opcja2/atr2-opcja1"
"Long: category/attr1:option1,option2/attr2:option1,option2","Długi: kategoria/atr1:opcja1,opcja2/atr2:opcja1,opcja2"
"The rewrite ""%1"" already exists or is not available. New rewrite ""%2"" was generated.","Przekierowanie ""%1"" już istnieje lub jest niedostępne. Wygenerowano nowe przekierowanie ""%2""."
"The rewrite ""%1"" already exists for one of the additional filter options. New rewrite ""%2"" was generated.","Przekierowanie ""%1"" już istnieje dla jednej z dodatkowych opcji filtrów. Wygenerowano nowe przekierowanie ""%2""."
"Using the hyphen as a word separator has limitations.","Używanie myślnika jako separatora słów ma ograniczenia."
"Since the hyphen is used as an option separator, aliases like: ""weight-height"" and single ""weight"" may not be recognized correctly by the SEO filter route handler.","Ponieważ myślnik jest używany jako separator opcji, aliasy takie jak: ""weight-height"" oraz pojedynczy ""weight"" mogą nie być poprawnie rozpoznawane przez moduł obsługi tras filtrów SEO."
"Seo Friendly Urls","Adresy URL przyjazne SEO"
Option,Opcja
"SEO friendly aliases are automatically generated when ""Use in Layered Navigation"" is set to Filterable.","Aliasy przyjazne SEO są generowane automatycznie, gdy opcja ""Use in Layered Navigation"" jest ustawiona na Filterable."
"This is a required field.","To pole jest wymagane."
Warning,Ostrzeżenie
"Filter SEO URLs","Adresy URL SEO filtrów"
"SEO friendly Layered Navigation URLs","Adresy URL nawigacji warstwowej przyjazne SEO"
"Enable SEO Friendly URLs","Włącz adresy URL przyjazne SEO"
"Activates SEO-friendly URLs for layered navigation. Works with default Magento or Mirasvit Layered Navigation only.","Aktywuje adresy URL przyjazne SEO dla nawigacji warstwowej. Działa wyłącznie z domyślną nawigacją warstwową Magento lub Mirasvit."
"URL Formats","Formaty URL"
"Select the URL format for filters.","Wybierz format URL dla filtrów."
"Separator for Filter Names","Separator w nazwach filtrów"
"Choose a separator to go between words in complex filter names. For example, ""all-weather"" vs. ""allweather.""","Wybierz separator umieszczany między słowami w złożonych nazwach filtrów. Na przykład ""all-weather"" kontra ""allweather""."
"Use Prefix for Filters","Użyj prefiksu dla filtrów"
"Optionally, add a prefix before filters in URLs to improve readability.","Opcjonalnie dodaj prefiks przed filtrami w adresach URL, aby poprawić ich czytelność."
"Rewrite Alias Source","Źródło aliasu przekierowania"
"Define the source for URL rewrite aliases. Choose between using the store view label or the default store view label for consistency across all views.","Określ źródło aliasów przekierowań URL. Wybierz między etykietą widoku sklepu a domyślną etykietą widoku sklepu, aby zachować spójność we wszystkich widokach."
"%1 orphaned alias(es) removed.","Usunięto %1 osieroconych aliasów."
