Attribute,Atributo
"Enable SEO URL","Ativar URL de SEO"
"URL Alias","Alias de URL"
"SEO Filters","Filtros de SEO"
"SEO Filters configuration is not available for this attribute","A configuração dos Filtros de SEO não está disponível para este atributo"
"All (%1) attribute and option aliases were removed.","Foram removidos todos os (%1) aliases de atributos e opções."
"Use Default","Utilizar predefinição"
Enabled,Ativado
Disabled,Desativado
"Do not use a separator [allweather]","Não utilizar separador [allweather]"
"Use ""_"" as a separator [all_weather]","Utilizar ""_"" como separador [all_weather]"
"Use ""-"" as a separator [all-weather]","Utilizar ""-"" como separador [all-weather]"
"Use capital letter as a separator [allWeather]","Utilizar letra maiúscula como separador [allWeather]"
"Store View Label","Etiqueta da Vista da Loja"
"Default (Admin) Label","Etiqueta predefinida (Admin)"
"Short: category/option1-option2-option3","Curto: categoria/opcao1-opcao2-opcao3"
"Long: category/attr1/option1-option2/attr2/option3","Longo: categoria/atr1/opcao1-opcao2/atr2/opcao3"
"Short: category/option1/option2/option3","Curto: categoria/opcao1/opcao2/opcao3"
"Short: category/option1_option2_option3","Curto: categoria/opcao1_opcao2_opcao3"
"Long: category/attr1/option1-option2/attr2/option1","Longo: categoria/atr1/opcao1-opcao2/atr2/opcao1"
"Long: category/attr1-option1-option2/attr2-option1","Longo: categoria/atr1-opcao1-opcao2/atr2-opcao1"
"Long: category/attr1:option1,option2/attr2:option1,option2","Longo: categoria/atr1:opcao1,opcao2/atr2:opcao1,opcao2"
"The rewrite ""%1"" already exists or is not available. New rewrite ""%2"" was generated.","A reescrita ""%1"" já existe ou não está disponível. Foi gerada uma nova reescrita ""%2""."
"The rewrite ""%1"" already exists for one of the additional filter options. New rewrite ""%2"" was generated.","A reescrita ""%1"" já existe para uma das opções de filtro adicionais. Foi gerada uma nova reescrita ""%2""."
"Using the hyphen as a word separator has limitations.","A utilização do hífen como separador de palavras tem limitações."
"Since the hyphen is used as an option separator, aliases like: ""weight-height"" and single ""weight"" may not be recognized correctly by the SEO filter route handler.","Uma vez que o hífen é utilizado como separador de opções, aliases como ""weight-height"" e apenas ""weight"" podem não ser reconhecidos corretamente pelo processador de rotas do filtro SEO."
"Seo Friendly Urls","URLs amigáveis para SEO"
Option,Opção
"SEO friendly aliases are automatically generated when ""Use in Layered Navigation"" is set to Filterable.","Os aliases amigáveis para SEO são gerados automaticamente quando ""Use in Layered Navigation"" está definido como Filterable."
"This is a required field.","Este campo é obrigatório."
Warning,Aviso
"Filter SEO URLs","URLs de SEO dos filtros"
"SEO friendly Layered Navigation URLs","URLs de Navegação por Camadas amigáveis para SEO"
"Enable SEO Friendly URLs","Ativar URLs amigáveis para SEO"
"Activates SEO-friendly URLs for layered navigation. Works with default Magento or Mirasvit Layered Navigation only.","Ativa URLs amigáveis para SEO na navegação por camadas. Funciona apenas com a Navegação por Camadas predefinida do Magento ou da Mirasvit."
"URL Formats","Formatos de URL"
"Select the URL format for filters.","Selecione o formato do URL para os filtros."
"Separator for Filter Names","Separador para nomes de filtros"
"Choose a separator to go between words in complex filter names. For example, ""all-weather"" vs. ""allweather.""","Escolha um separador a colocar entre palavras em nomes de filtros compostos. Por exemplo, ""all-weather"" em comparação com ""allweather""."
"Use Prefix for Filters","Utilizar prefixo para os filtros"
"Optionally, add a prefix before filters in URLs to improve readability.","Opcionalmente, adicione um prefixo antes dos filtros nos URLs para melhorar a legibilidade."
"Rewrite Alias Source","Origem do alias de reescrita"
"Define the source for URL rewrite aliases. Choose between using the store view label or the default store view label for consistency across all views.","Define a origem dos aliases de reescrita de URL. Escolha entre utilizar a etiqueta da vista da loja ou a etiqueta predefinida da vista da loja para garantir consistência em todas as vistas."
"%1 orphaned alias(es) removed.","%1 alias órfão(s) removido(s)."
