Attribute,Attribut
"Enable SEO URL","Aktivera SEO-URL"
"URL Alias","URL-alias"
"SEO Filters","SEO-filter"
"SEO Filters configuration is not available for this attribute","Konfiguration av SEO-filter är inte tillgänglig för detta attribut"
"All (%1) attribute and option aliases were removed.","Alla (%1) attribut- och alternativalias har tagits bort."
"Use Default","Använd standard"
Enabled,Aktiverad
Disabled,Inaktiverad
"Do not use a separator [allweather]","Använd ingen avgränsare [allweather]"
"Use ""_"" as a separator [all_weather]","Använd ""_"" som avgränsare [all_weather]"
"Use ""-"" as a separator [all-weather]","Använd ""-"" som avgränsare [all-weather]"
"Use capital letter as a separator [allWeather]","Använd versal som avgränsare [allWeather]"
"Store View Label","Etikett för butiksvy"
"Default (Admin) Label","Standardetikett (Admin)"
"Short: category/option1-option2-option3","Kort: kategori/alternativ1-alternativ2-alternativ3"
"Long: category/attr1/option1-option2/attr2/option3","Lång: kategori/attr1/alternativ1-alternativ2/attr2/alternativ3"
"Short: category/option1/option2/option3","Kort: kategori/alternativ1/alternativ2/alternativ3"
"Short: category/option1_option2_option3","Kort: kategori/alternativ1_alternativ2_alternativ3"
"Long: category/attr1/option1-option2/attr2/option1","Lång: kategori/attr1/alternativ1-alternativ2/attr2/alternativ1"
"Long: category/attr1-option1-option2/attr2-option1","Lång: kategori/attr1-alternativ1-alternativ2/attr2-alternativ1"
"Long: category/attr1:option1,option2/attr2:option1,option2","Lång: kategori/attr1:alternativ1,alternativ2/attr2:alternativ1,alternativ2"
"The rewrite ""%1"" already exists or is not available. New rewrite ""%2"" was generated.","Omskrivningen ""%1"" finns redan eller är inte tillgänglig. En ny omskrivning ""%2"" genererades."
"The rewrite ""%1"" already exists for one of the additional filter options. New rewrite ""%2"" was generated.","Omskrivningen ""%1"" finns redan för ett av de ytterligare filteralternativen. En ny omskrivning ""%2"" genererades."
"Using the hyphen as a word separator has limitations.","Att använda bindestreck som ordavgränsare har begränsningar."
"Since the hyphen is used as an option separator, aliases like: ""weight-height"" and single ""weight"" may not be recognized correctly by the SEO filter route handler.","Eftersom bindestreck används som alternativavgränsare kan alias som ""weight-height"" och enbart ""weight"" inte alltid kännas igen korrekt av SEO-filtrets rutthanterare."
"Seo Friendly Urls","SEO-vänliga URL:er"
Option,Alternativ
"SEO friendly aliases are automatically generated when ""Use in Layered Navigation"" is set to Filterable.","SEO-vänliga alias genereras automatiskt när ""Use in Layered Navigation"" är inställt på Filterable."
"This is a required field.","Detta är ett obligatoriskt fält."
Warning,Varning
"Filter SEO URLs","SEO-URL:er för filter"
"SEO friendly Layered Navigation URLs","SEO-vänliga URL:er för lagernavigering"
"Enable SEO Friendly URLs","Aktivera SEO-vänliga URL:er"
"Activates SEO-friendly URLs for layered navigation. Works with default Magento or Mirasvit Layered Navigation only.","Aktiverar SEO-vänliga URL:er för lagernavigering. Fungerar endast med Magentos standardlagernavigering eller Mirasvit Layered Navigation."
"URL Formats","URL-format"
"Select the URL format for filters.","Välj URL-format för filter."
"Separator for Filter Names","Avgränsare för filternamn"
"Choose a separator to go between words in complex filter names. For example, ""all-weather"" vs. ""allweather.""","Välj en avgränsare som ska placeras mellan ord i sammansatta filternamn. Exempelvis ""all-weather"" jämfört med ""allweather""."
"Use Prefix for Filters","Använd prefix för filter"
"Optionally, add a prefix before filters in URLs to improve readability.","Lägg eventuellt till ett prefix före filter i URL:er för att förbättra läsbarheten."
"Rewrite Alias Source","Källa för omskrivningsalias"
"Define the source for URL rewrite aliases. Choose between using the store view label or the default store view label for consistency across all views.","Ange källa för URL-omskrivningsalias. Välj mellan att använda butiksvyns etikett eller standardbutiksvyns etikett för konsekvens i alla vyer."
"%1 orphaned alias(es) removed.","%1 föräldralösa alias borttagna."
