Attribute,Özellik
"Enable SEO URL","SEO URL'yi Etkinleştir"
"URL Alias","URL Takma Adı"
"SEO Filters","SEO Filtreleri"
"SEO Filters configuration is not available for this attribute","Bu özellik için SEO Filtreleri yapılandırması kullanılamıyor"
"All (%1) attribute and option aliases were removed.","Tüm (%1) özellik ve seçenek takma adları kaldırıldı."
"Use Default","Varsayılanı Kullan"
Enabled,Etkin
Disabled,Devre Dışı
"Do not use a separator [allweather]","Ayırıcı kullanma [allweather]"
"Use ""_"" as a separator [all_weather]","Ayırıcı olarak ""_"" kullan [all_weather]"
"Use ""-"" as a separator [all-weather]","Ayırıcı olarak ""-"" kullan [all-weather]"
"Use capital letter as a separator [allWeather]","Ayırıcı olarak büyük harf kullan [allWeather]"
"Store View Label","Mağaza Görünümü Etiketi"
"Default (Admin) Label","Varsayılan (Yönetici) Etiketi"
"Short: category/option1-option2-option3","Kısa: kategori/secenek1-secenek2-secenek3"
"Long: category/attr1/option1-option2/attr2/option3","Uzun: kategori/ozellik1/secenek1-secenek2/ozellik2/secenek3"
"Short: category/option1/option2/option3","Kısa: kategori/secenek1/secenek2/secenek3"
"Short: category/option1_option2_option3","Kısa: kategori/secenek1_secenek2_secenek3"
"Long: category/attr1/option1-option2/attr2/option1","Uzun: kategori/ozellik1/secenek1-secenek2/ozellik2/secenek1"
"Long: category/attr1-option1-option2/attr2-option1","Uzun: kategori/ozellik1-secenek1-secenek2/ozellik2-secenek1"
"Long: category/attr1:option1,option2/attr2:option1,option2","Uzun: kategori/ozellik1:secenek1,secenek2/ozellik2:secenek1,secenek2"
"The rewrite ""%1"" already exists or is not available. New rewrite ""%2"" was generated.","""%1"" yeniden yazımı zaten mevcut veya kullanılamıyor. Yeni ""%2"" yeniden yazımı oluşturuldu."
"The rewrite ""%1"" already exists for one of the additional filter options. New rewrite ""%2"" was generated.","""%1"" yeniden yazımı ek filtre seçeneklerinden biri için zaten mevcut. Yeni ""%2"" yeniden yazımı oluşturuldu."
"Using the hyphen as a word separator has limitations.","Tire işaretini kelime ayırıcı olarak kullanmanın sınırlamaları vardır."
"Since the hyphen is used as an option separator, aliases like: ""weight-height"" and single ""weight"" may not be recognized correctly by the SEO filter route handler.","Tire işareti seçenek ayırıcı olarak kullanıldığından, ""weight-height"" ve tek ""weight"" gibi takma adlar SEO filtresi yönlendirme işleyicisi tarafından doğru şekilde tanınmayabilir."
"Seo Friendly Urls","SEO Uyumlu URL'ler"
Option,Seçenek
"SEO friendly aliases are automatically generated when ""Use in Layered Navigation"" is set to Filterable.","""Katmanlı Gezinmede Kullan"" Filtrelenebilir olarak ayarlandığında SEO uyumlu takma adlar otomatik olarak oluşturulur."
"This is a required field.","Bu alan zorunludur."
Warning,Uyarı
"Filter SEO URLs","Filtre SEO URL'leri"
"SEO friendly Layered Navigation URLs","SEO Uyumlu Katmanlı Gezinme URL'leri"
"Enable SEO Friendly URLs","SEO Uyumlu URL'leri Etkinleştir"
"Activates SEO-friendly URLs for layered navigation. Works with default Magento or Mirasvit Layered Navigation only.","Katmanlı gezinme için SEO uyumlu URL'leri etkinleştirir. Yalnızca varsayılan Magento veya Mirasvit Katmanlı Gezinme ile çalışır."
"URL Formats","URL Biçimleri"
"Select the URL format for filters.","Filtreler için URL biçimini seçin."
"Separator for Filter Names","Filtre Adları için Ayırıcı"
"Choose a separator to go between words in complex filter names. For example, ""all-weather"" vs. ""allweather.""","Karmaşık filtre adlarındaki kelimeler arasına eklenecek bir ayırıcı seçin. Örneğin, ""all-weather"" veya ""allweather""."
"Use Prefix for Filters","Filtreler için Önek Kullan"
"Optionally, add a prefix before filters in URLs to improve readability.","İsteğe bağlı olarak, okunabilirliği artırmak için URL'lerdeki filtrelerin önüne bir önek ekleyin."
"Rewrite Alias Source","Yeniden Yazma Takma Adı Kaynağı"
"Define the source for URL rewrite aliases. Choose between using the store view label or the default store view label for consistency across all views.","URL yeniden yazma takma adları için kaynağı tanımlayın. Tüm görünümlerde tutarlılık için mağaza görünümü etiketi veya varsayılan mağaza görünümü etiketi kullanımı arasında seçim yapın."
"%1 orphaned alias(es) removed.","%1 sahipsiz takma ad kaldırıldı."
