Attribute,Атрибут
"Enable SEO URL","Увімкнути SEO URL"
"URL Alias","Псевдонім URL"
"SEO Filters","SEO-фільтри"
"SEO Filters configuration is not available for this attribute","Налаштування SEO-фільтрів недоступне для цього атрибута"
"All (%1) attribute and option aliases were removed.","Усі (%1) псевдоніми атрибутів і опцій було видалено."
"Use Default","Використати за замовчуванням"
Enabled,Увімкнено
Disabled,Вимкнено
"Do not use a separator [allweather]","Не використовувати роздільник [allweather]"
"Use ""_"" as a separator [all_weather]","Використовувати ""_"" як роздільник [all_weather]"
"Use ""-"" as a separator [all-weather]","Використовувати ""-"" як роздільник [all-weather]"
"Use capital letter as a separator [allWeather]","Використовувати велику літеру як роздільник [allWeather]"
"Store View Label","Мітка подання магазину"
"Default (Admin) Label","Мітка за замовчуванням (адмін)"
"Short: category/option1-option2-option3","Коротко: категорія/опція1-опція2-опція3"
"Long: category/attr1/option1-option2/attr2/option3","Довго: категорія/атрибут1/опція1-опція2/атрибут2/опція3"
"Short: category/option1/option2/option3","Коротко: категорія/опція1/опція2/опція3"
"Short: category/option1_option2_option3","Коротко: категорія/опція1_опція2_опція3"
"Long: category/attr1/option1-option2/attr2/option1","Довго: категорія/атрибут1/опція1-опція2/атрибут2/опція1"
"Long: category/attr1-option1-option2/attr2-option1","Довго: категорія/атрибут1-опція1-опція2/атрибут2-опція1"
"Long: category/attr1:option1,option2/attr2:option1,option2","Довго: категорія/атрибут1:опція1,опція2/атрибут2:опція1,опція2"
"The rewrite ""%1"" already exists or is not available. New rewrite ""%2"" was generated.","Перезапис ""%1"" вже існує або недоступний. Створено новий перезапис ""%2""."
"The rewrite ""%1"" already exists for one of the additional filter options. New rewrite ""%2"" was generated.","Перезапис ""%1"" вже існує для однієї з додаткових опцій фільтра. Створено новий перезапис ""%2""."
"Using the hyphen as a word separator has limitations.","Використання дефіса як роздільника слів має обмеження."
"Since the hyphen is used as an option separator, aliases like: ""weight-height"" and single ""weight"" may not be recognized correctly by the SEO filter route handler.","Оскільки дефіс використовується як роздільник опцій, псевдоніми на зразок ""weight-height"" і одиночний ""weight"" можуть некоректно розпізнаватися обробником маршрутів SEO-фільтра."
"Seo Friendly Urls","SEO-дружні URL"
Option,Опція
"SEO friendly aliases are automatically generated when ""Use in Layered Navigation"" is set to Filterable.","SEO-дружні псевдоніми створюються автоматично, коли ""Використовувати в багатошаровій навігації"" встановлено як Filterable."
"This is a required field.","Це обов'язкове поле."
Warning,Попередження
"Filter SEO URLs","SEO URL фільтрів"
"SEO friendly Layered Navigation URLs","SEO-дружні URL багатошарової навігації"
"Enable SEO Friendly URLs","Увімкнути SEO-дружні URL"
"Activates SEO-friendly URLs for layered navigation. Works with default Magento or Mirasvit Layered Navigation only.","Активує SEO-дружні URL для багатошарової навігації. Працює лише зі стандартною Magento або Mirasvit Layered Navigation."
"URL Formats","Формати URL"
"Select the URL format for filters.","Виберіть формат URL для фільтрів."
"Separator for Filter Names","Роздільник для назв фільтрів"
"Choose a separator to go between words in complex filter names. For example, ""all-weather"" vs. ""allweather.""","Виберіть роздільник між словами у складних назвах фільтрів. Наприклад, ""all-weather"" проти ""allweather""."
"Use Prefix for Filters","Використовувати префікс для фільтрів"
"Optionally, add a prefix before filters in URLs to improve readability.","За бажанням додайте префікс перед фільтрами в URL для покращення читабельності."
"Rewrite Alias Source","Джерело псевдоніма перезапису"
"Define the source for URL rewrite aliases. Choose between using the store view label or the default store view label for consistency across all views.","Визначте джерело псевдонімів перезапису URL. Виберіть між використанням мітки подання магазину або мітки подання магазину за замовчуванням для узгодженості між усіма поданнями."
"%1 orphaned alias(es) removed.","Видалено застарілих псевдонімів: %1."
