Attribute,属性
"Enable SEO URL","启用 SEO URL"
"URL Alias","URL 别名"
"SEO Filters","SEO 筛选器"
"SEO Filters configuration is not available for this attribute","此属性不支持 SEO 筛选器配置"
"All (%1) attribute and option aliases were removed.","已移除全部 (%1) 个属性和选项别名。"
"Use Default","使用默认值"
Enabled,已启用
Disabled,已禁用
"Do not use a separator [allweather]","不使用分隔符 [allweather]"
"Use ""_"" as a separator [all_weather]","使用 ""_"" 作为分隔符 [all_weather]"
"Use ""-"" as a separator [all-weather]","使用 ""-"" 作为分隔符 [all-weather]"
"Use capital letter as a separator [allWeather]","使用大写字母作为分隔符 [allWeather]"
"Store View Label","商店视图标签"
"Default (Admin) Label","默认（管理员）标签"
"Short: category/option1-option2-option3","简短：category/option1-option2-option3"
"Long: category/attr1/option1-option2/attr2/option3","完整：category/attr1/option1-option2/attr2/option3"
"Short: category/option1/option2/option3","简短：category/option1/option2/option3"
"Short: category/option1_option2_option3","简短：category/option1_option2_option3"
"Long: category/attr1/option1-option2/attr2/option1","完整：category/attr1/option1-option2/attr2/option1"
"Long: category/attr1-option1-option2/attr2-option1","完整：category/attr1-option1-option2/attr2-option1"
"Long: category/attr1:option1,option2/attr2:option1,option2","完整：category/attr1:option1,option2/attr2:option1,option2"
"The rewrite ""%1"" already exists or is not available. New rewrite ""%2"" was generated.","重写 ""%1"" 已存在或不可用。已生成新的重写 ""%2""。"
"The rewrite ""%1"" already exists for one of the additional filter options. New rewrite ""%2"" was generated.","重写 ""%1"" 已存在于某个附加筛选选项中。已生成新的重写 ""%2""。"
"Using the hyphen as a word separator has limitations.","使用连字符作为单词分隔符存在局限性。"
"Since the hyphen is used as an option separator, aliases like: ""weight-height"" and single ""weight"" may not be recognized correctly by the SEO filter route handler.","由于连字符被用作选项分隔符，诸如 ""weight-height"" 和单一 ""weight"" 之类的别名可能无法被 SEO 筛选器路由处理程序正确识别。"
"Seo Friendly Urls","SEO 友好 URL"
Option,选项
"SEO friendly aliases are automatically generated when ""Use in Layered Navigation"" is set to Filterable.","当 ""在分层导航中使用"" 设置为 Filterable 时，将自动生成 SEO 友好别名。"
"This is a required field.","此字段为必填项。"
Warning,警告
"Filter SEO URLs","筛选器 SEO URL"
"SEO friendly Layered Navigation URLs","SEO 友好的分层导航 URL"
"Enable SEO Friendly URLs","启用 SEO 友好 URL"
"Activates SEO-friendly URLs for layered navigation. Works with default Magento or Mirasvit Layered Navigation only.","为分层导航启用 SEO 友好 URL。仅适用于默认 Magento 或 Mirasvit 分层导航。"
"URL Formats","URL 格式"
"Select the URL format for filters.","选择筛选器的 URL 格式。"
"Separator for Filter Names","筛选器名称分隔符"
"Choose a separator to go between words in complex filter names. For example, ""all-weather"" vs. ""allweather.""","选择复杂筛选器名称中单词之间的分隔符。例如，""all-weather"" 与 ""allweather""。"
"Use Prefix for Filters","为筛选器使用前缀"
"Optionally, add a prefix before filters in URLs to improve readability.","可选择在 URL 中的筛选器前添加前缀以提高可读性。"
"Rewrite Alias Source","重写别名来源"
"Define the source for URL rewrite aliases. Choose between using the store view label or the default store view label for consistency across all views.","定义 URL 重写别名的来源。可选择使用商店视图标签或默认商店视图标签，以在所有视图中保持一致。"
"%1 orphaned alias(es) removed.","已移除 %1 个孤立别名。"
