"Conditions","Bedingungen"
"Wrong request.","Falsche Anfrage."
"Rich snippet extender has been deleted.","Rich-Snippet-Erweiterer wurde gelöscht."
"Edit rich snippet extender","Rich-Snippet-Erweiterer bearbeiten"
"Rich snippet extender with ID ""%1"" does not exist.","Rich-Snippet-Erweiterer mit ID ""%1"" existiert nicht."
"Rich snippet extenders","Rich-Snippet-Erweiterer"
"New rich snippet extender","Neuer Rich-Snippet-Erweiterer"
"No data to save.","Keine Daten zum Speichern."
"Rich snippet extender no longer exists.","Rich-Snippet-Erweiterer existiert nicht mehr."
"Incorrect JSON format","Falsches JSON-Format"
"Rich snippet extender has been saved.","Rich-Snippet-Erweiterer wurde gespeichert."
"Disabled","Deaktiviert"
"Use description","Beschreibung verwenden"
"Use meta description","Meta-Beschreibung verwenden"
"No","Nein"
"Yes, for all categories","Ja, für alle Kategorien"
"Yes, only for non-filtered categories","Ja, nur für nicht gefilterte Kategorien"
"Full (OfferCatalog)","Vollständig (OfferCatalog)"
"Simple (ItemList)","Einfach (ItemList)"
"Aggregate Product","Aggregiertes Produkt"
"Current page","Aktuelle Seite"
"Entire category","Gesamte Kategorie"
"Yes, for all landing pages","Ja, für alle Landing Pages"
"Yes, only for non-filtered landing pages","Ja, nur für nicht gefilterte Landing Pages"
"Entire landing page","Gesamte Landing Page"
"Homepage only","Nur Startseite"
"All CMS pages","Alle CMS-Seiten"
"Specific CMS pages","Bestimmte CMS-Seiten"
"Add from store information","Aus Shop-Informationen hinzufügen"
"Add manually","Manuell hinzufügen"
"Default (from configuration)","Standard (aus Konfiguration)"
"WebPage","WebPage"
"Article","Artikel"
"BlogPosting","BlogPosting"
"AboutPage","AboutPage"
"ContactPage","ContactPage"
"Use short description","Kurzbeschreibung verwenden"
"Configure manually","Manuell konfigurieren"
"New for all products","Neu für alle Produkte"
"Kilograms (kg)","Kilogramm (kg)"
"Pounds (lb)","Pfund (lb)"
"Grams (g)","Gramm (g)"
"Search in the catalog of products","Im Produktkatalog suchen"
"Search in the blog articles","In Blog-Artikeln suchen"
"Summary card","Zusammenfassungskarte"
"Summary card with large image","Zusammenfassungskarte mit großem Bild"
"The rich snippet extender with ID ""%1"" doesn't exist.","Der Rich-Snippet-Erweiterer mit ID ""%1"" existiert nicht."
"Edit","Bearbeiten"
"Delete","Löschen"
"Delete record with ID %1","Datensatz mit ID %1 löschen"
"Are you sure you want to delete this rich snippet extender?","Sind Sie sicher, dass Sie diesen Rich-Snippet-Erweiterer löschen möchten?"
"Template variables","Vorlagenvariablen"
"learn more","mehr erfahren"
"Double click on a variable to insert it into the field","Doppelklicken Sie auf eine Variable, um sie in das Feld einzufügen"
"Learn more about template variables","Mehr über Vorlagenvariablen erfahren"
"Rich snippets and OpenGraph","Rich Snippets und OpenGraph"
"Product page","Produktseite"
"Configure rich snippets for product pages to improve search engine visibility. These settings enhance how your products appear in search results with additional information like pricing, availability, and reviews.","Rich Snippets für Produktseiten konfigurieren, um die Sichtbarkeit in Suchmaschinen zu verbessern. Diese Einstellungen verbessern die Darstellung Ihrer Produkte in Suchergebnissen mit zusätzlichen Informationen wie Preisen, Verfügbarkeit und Bewertungen."
"Delete wrong snippets automatically","Falsche Snippets automatisch löschen"
