"Conditions","Condizioni"
"Wrong request.","Richiesta errata."
"Rich snippet extender has been deleted.","L'estensore di rich snippet è stato eliminato."
"Edit rich snippet extender","Modifica estensore di rich snippet"
"Rich snippet extender with ID ""%1"" does not exist.","L'estensore di rich snippet con ID ""%1"" non esiste."
"Rich snippet extenders","Estensori di rich snippet"
"New rich snippet extender","Nuovo estensore di rich snippet"
"No data to save.","Nessun dato da salvare."
"Rich snippet extender no longer exists.","L'estensore di rich snippet non esiste più."
"Incorrect JSON format","Formato JSON non corretto"
"Rich snippet extender has been saved.","L'estensore di rich snippet è stato salvato."
"Disabled","Disabilitato"
"Use description","Usa la descrizione"
"Use meta description","Usa la meta descrizione"
"No","No"
"Yes, for all categories","Sì, per tutte le categorie"
"Yes, only for non-filtered categories","Sì, solo per le categorie non filtrate"
"Full (OfferCatalog)","Completo (OfferCatalog)"
"Simple (ItemList)","Semplice (ItemList)"
"Aggregate Product","Aggregate Product"
"Current page","Pagina corrente"
"Entire category","Intera categoria"
"Yes, for all landing pages","Sì, per tutte le pagine di destinazione"
"Yes, only for non-filtered landing pages","Sì, solo per le pagine di destinazione non filtrate"
"Entire landing page","Intera pagina di destinazione"
"Homepage only","Solo la pagina iniziale"
"All CMS pages","Tutte le pagine CMS"
"Specific CMS pages","Pagine CMS specifiche"
"Add from store information","Aggiungi dalle informazioni del negozio"
"Add manually","Aggiungi manualmente"
"Default (from configuration)","Predefinito (dalla configurazione)"
"WebPage","WebPage"
"Article","Article"
"BlogPosting","BlogPosting"
"AboutPage","AboutPage"
"ContactPage","ContactPage"
"Use short description","Usa la descrizione breve"
"Configure manually","Configura manualmente"
"New for all products","Nuovo per tutti i prodotti"
"Kilograms (kg)","Chilogrammi (kg)"
"Pounds (lb)","Libbre (lb)"
"Grams (g)","Grammi (g)"
"Search in the catalog of products","Cerca nel catalogo dei prodotti"
"Search in the blog articles","Cerca negli articoli del blog"
"Summary card","Scheda di riepilogo"
"Summary card with large image","Scheda di riepilogo con immagine grande"
"The rich snippet extender with ID ""%1"" doesn't exist.","L'estensore di rich snippet con ID ""%1"" non esiste."
"Edit","Modifica"
"Delete","Elimina"
"Delete record with ID %1","Elimina record con ID %1"
"Are you sure you want to delete this rich snippet extender?","Sei sicuro di voler eliminare questo estensore di rich snippet?"
"Template variables","Variabili del template"
"learn more","scopri di più"
"Double click on a variable to insert it into the field","Doppio clic su una variabile per inserirla nel campo"
"Learn more about template variables","Scopri di più sulle variabili del template"
