"Conditions","Villkor"
"Wrong request.","Felaktig begäran."
"Rich snippet extender has been deleted.","Rich snippet-utökaren har tagits bort."
"Edit rich snippet extender","Redigera rich snippet-utökare"
"Rich snippet extender with ID ""%1"" does not exist.","Rich snippet-utökaren med ID ""%1"" finns inte."
"Rich snippet extenders","Rich snippet-utökare"
"New rich snippet extender","Ny rich snippet-utökare"
"No data to save.","Inga data att spara."
"Rich snippet extender no longer exists.","Rich snippet-utökaren finns inte längre."
"Incorrect JSON format","Felaktigt JSON-format"
"Rich snippet extender has been saved.","Rich snippet-utökaren har sparats."
"Disabled","Inaktiverad"
"Use description","Använd beskrivning"
"Use meta description","Använd meta-beskrivning"
"No","Nej"
"Yes, for all categories","Ja, för alla kategorier"
"Yes, only for non-filtered categories","Ja, endast för ofiltrerade kategorier"
"Full (OfferCatalog)","Fullständig (OfferCatalog)"
"Simple (ItemList)","Enkel (ItemList)"
"Aggregate Product","Aggregerad produkt"
"Current page","Aktuell sida"
"Entire category","Hela kategorin"
"Yes, for all landing pages","Ja, för alla landningssidor"
"Yes, only for non-filtered landing pages","Ja, endast för ofiltrerade landningssidor"
"Entire landing page","Hela landningssidan"
"Homepage only","Endast startsida"
"All CMS pages","Alla CMS-sidor"
"Specific CMS pages","Specifika CMS-sidor"
"Add from store information","Lägg till från butiksinformation"
"Add manually","Lägg till manuellt"
"Default (from configuration)","Standard (från konfiguration)"
"WebPage","WebPage"
"Article","Article"
"BlogPosting","BlogPosting"
"AboutPage","AboutPage"
"ContactPage","ContactPage"
"Use short description","Använd kort beskrivning"
"Configure manually","Konfigurera manuellt"
"New for all products","Ny för alla produkter"
"Kilograms (kg)","Kilogram (kg)"
"Pounds (lb)","Pund (lb)"
"Grams (g)","Gram (g)"
"Search in the catalog of products","Sök i produktkatalogen"
"Search in the blog articles","Sök i blogginlägg"
"Summary card","Sammanfattningskort"
"Summary card with large image","Sammanfattningskort med stor bild"
"The rich snippet extender with ID ""%1"" doesn't exist.","Rich snippet-utökaren med ID ""%1"" finns inte."
"Edit","Redigera"
"Delete","Ta bort"
"Delete record with ID %1","Ta bort post med ID %1"
"Are you sure you want to delete this rich snippet extender?","Är du säker på att du vill ta bort den här rich snippet-utökaren?"
"Template variables","Mallvariabler"
"learn more","läs mer"
"Double click on a variable to insert it into the field","Dubbelklicka på en variabel för att infoga den i fältet"
"Learn more about template variables","Läs mer om mallvariabler"
"Rich snippets and OpenGraph","Rich snippets och OpenGraph"
"Product page","Produktsida"
"Configure rich snippets for product pages to improve search engine visibility. These settings enhance how your products appear in search results with additional information like pricing, availability, and reviews.","Konfigurera rich snippets för produktsidor för att förbättra synligheten i sökmotorer. Dessa inställningar förbättrar hur dina produkter visas i sökresultat med ytterligare information som priser, tillgänglighet och recensioner."
"Delete wrong snippets automatically","Ta bort felaktiga snippets automatiskt"
"Automatically removes incorrect structured data from product pages. Helps maintain clean markup and prevent schema validation issues.","Tar automatiskt bort felaktig strukturerad data från produktsidor. Hjälper till att bibehålla ren markup och förhindra schemavalideringsproblem."
"Enable rich snippet","Aktivera rich snippet"
"Activates structured data markup for product pages. This is the master switch for all product-related rich snippets.","Aktiverar strukturerad datamärkning för produktsidor. Det här är huvudströmbrytaren för alla produktrelaterade rich snippets."
"Item name length","Artikelnamnslängd"
"Maximum character length for item name in structured data.","Maximalt antal tecken för artikelnamn i strukturerad data."
"The maximum value recommended by Google is 150. Values below 25 will default to 150. If the value is empty or 0, no limit is applied.","Det maximala värdet som rekommenderas av Google är 150. Värden under 25 ger standardvärdet 150. Om värdet är tomt eller 0 tillämpas ingen gräns."
"Item price","Artikelpris"
"Includes product pricing information in OpenGraph and Rich Snippets. Warning: disabling this will remove price from structured data and may cause Google Rich Results validation errors, as price is required for valid Product rich snippets.","Inkluderar produktprisinformation i OpenGraph och Rich Snippets. Varning: att inaktivera detta tar bort priset från strukturerad data och kan orsaka valideringsfel i Google Rich Results, eftersom pris krävs för giltiga produkt-rich snippets."
"Single price mode","Enkelprisläge"
"When enabled, uses schema.org Offer type with a single price value instead of AggregateOffer type with price ranges. This changes the structured data from multiple offer aggregation to a single offer representation.","När aktiverat används schema.org Offer-typ med ett enda prisvärde i stället för AggregateOffer-typ med prisintervall. Detta ändrar strukturerad data från aggregering av flera erbjudanden till en representation av ett enda erbjudande."
"Include price valid until","Inkludera pris giltigt till"
"This helps search engines understand price temporal validity and can improve accuracy in price comparison features. Useful for promotional pricing, time-limited offers, or regularly updated pricing structures.","Detta hjälper sökmotorer att förstå prisens tidsmässiga giltighet och kan förbättra precisionen i prisjämförelsetjänster. Användbart för kampanjpriser, tidsbegränsade erbjudanden eller regelbundet uppdaterade prisstrukturer."
"Item description","Artikelbeskrivning"
"Controls which product description field is used in structured data. Select the most appropriate source for comprehensive product information.","Styr vilket produktbeskrivningsfält som används i strukturerad data. Välj den lämpligaste källan för heltäckande produktinformation."
"Item description length","Artikelbeskrivningens längd"
"Maximum character length for item description in structured data.","Maximalt antal tecken för artikelbeskrivning i strukturerad data."
"The maximum value recommended by Google is 5000. Values below 25 will default to 5000. If the value is empty or 0, no limit is applied.","Det maximala värdet som rekommenderas av Google är 5000. Värden under 25 ger standardvärdet 5000. Om värdet är tomt eller 0 tillämpas ingen gräns."
"Item image","Artikelbild"
"Includes product images in structured data. This enables visual representation of products in search results and rich snippets.","Inkluderar produktbilder i strukturerad data. Detta möjliggör visuell representation av produkter i sökresultat och rich snippets."
"Item availability","Artikeltillgänglighet"
"Shows product inventory status in structured data. This helps communicate stock levels to potential customers directly in search results.","Visar produktlagerstatus i strukturerad data. Detta hjälper till att kommunicera lagernivåer till potentiella kunder direkt i sökresultat."
"Payment methods","Betalningsmetoder"
"Lists accepted payment methods in structured data. This provides transparency about payment options before visitors click through.","Listar accepterade betalningsmetoder i strukturerad data. Detta ger transparens om betalningsalternativ innan besökare klickar vidare."
"Delivery methods","Leveransmetoder"
"Includes shipping and delivery options in structured data. This helps set customer expectations regarding fulfillment methods.","Inkluderar frakt- och leveransalternativ i strukturerad data. Detta hjälper till att ange kundernas förväntningar gällande leveransmetoder."
"Product category","Produktkategori"
"Displays category information in product structured data. This helps establish product classification context for search engines.","Visar kategoriinformation i produktstrukturerad data. Detta hjälper till att etablera produktklassificeringskontext för sökmotorer."
"Manufacturer part number","Tillverkarens artikelnummer"
"Includes manufacturer part numbers in structured data. This improves discoverability for specific product searches by technical identifiers.","Inkluderar tillverkarens artikelnummer i strukturerad data. Detta förbättrar möjligheten att hitta specifika produktsökningar via tekniska identifierare."
"Manufacturer part number attribute","Attribut för tillverkarens artikelnummer"
"Specify which product attribute contains the manufacturer part number data. The system will read this attribute to populate structured data.","Ange vilket produktattribut som innehåller tillverkarens artikelnummerdata. Systemet kommer att läsa det här attributet för att fylla i strukturerad data."
"Brand attribute","Varumärkesattribut"
"Specify which product attribute contains brand information. This maps your existing brand data to structured markup.","Ange vilket produktattribut som innehåller varumärkesinformation. Detta mappar din befintliga varumärkesdata till strukturerad markup."
"Model attribute","Modellattribut"
"Specify which product attribute contains model information. Helps identify specific product models in structured data.","Ange vilket produktattribut som innehåller modellinformation. Hjälper till att identifiera specifika produktmodeller i strukturerad data."
"Color attribute","Färgattribut"
"Specify which product attribute contains color information. Important for product variants and filtering in rich results.","Ange vilket produktattribut som innehåller färginformation. Viktigt för produktvarianter och filtrering i rich results."
"Size attribute","Storleksattribut"
"Specify which product attribute contains size information. Relevant for apparel and dimensional product data.","Ange vilket produktattribut som innehåller storleksinformation. Relevant för kläder och dimensionella produktdata."
"Material attribute","Materialattribut"
"Specify which product attribute contains material information (e.g. ""material"", ""fabric""). Outputs as a direct schema.org property on Product.","Ange vilket produktattribut som innehåller materialinformation (t.ex. ""material"", ""tyg""). Matas ut som en direkt schema.org-egenskap på Produkt."
"Pattern attribute","Mönsterattribut"
"Specify which product attribute contains pattern information (e.g. ""pattern""). Outputs as a direct schema.org property on Product.","Ange vilket produktattribut som innehåller mönsterinformation (t.ex. ""mönster""). Matas ut som en direkt schema.org-egenskap på Produkt."
"Weight unit","Viktenhet"
"Select the standard measurement unit used for product weights. Ensures consistent weight representation in structured data.","Välj den standardmåttenhet som används för produktvikter. Säkerställer konsekvent viktrepresentation i strukturerad data."
"Dimensions","Dimensioner"
