"Conditions","条件"
"Wrong request.","请求有误。"
"Rich snippet extender has been deleted.","富摘要扩展已删除。"
"Edit rich snippet extender","编辑富摘要扩展"
"Rich snippet extender with ID ""%1"" does not exist.","ID为""%1""的富摘要扩展不存在。"
"Rich snippet extenders","富摘要扩展"
"New rich snippet extender","新富摘要扩展"
"No data to save.","没有可保存的数据。"
"Rich snippet extender no longer exists.","富摘要扩展已不存在。"
"Incorrect JSON format","JSON格式不正确"
"Rich snippet extender has been saved.","富摘要扩展已保存。"
"Disabled","已禁用"
"Use description","使用描述"
"Use meta description","使用元描述"
"No","否"
"Yes, for all categories","是，对所有分类"
"Yes, only for non-filtered categories","是，仅对未过滤的分类"
"Full (OfferCatalog)","完整 (OfferCatalog)"
"Simple (ItemList)","简单 (ItemList)"
"Aggregate Product","聚合产品"
"Current page","当前页面"
"Entire category","整个分类"
"Yes, for all landing pages","是，对所有落地页"
"Yes, only for non-filtered landing pages","是，仅对未过滤的落地页"
"Entire landing page","整个落地页"
"Homepage only","仅首页"
"All CMS pages","所有CMS页面"
"Specific CMS pages","特定CMS页面"
"Add from store information","从商店信息添加"
"Add manually","手动添加"
"Default (from configuration)","默认（来自配置）"
"WebPage","网页"
"Article","文章"
"BlogPosting","博客文章"
"AboutPage","关于我们页面"
"ContactPage","联系我们页面"
"Use short description","使用简短描述"
"Configure manually","手动配置"
"New for all products","所有产品均为全新"
"Kilograms (kg)","千克 (kg)"
"Pounds (lb)","磅 (lb)"
"Grams (g)","克 (g)"
"Search in the catalog of products","在产品目录中搜索"
"Search in the blog articles","在博客文章中搜索"
"Summary card","摘要卡片"
"Summary card with large image","带大图的摘要卡片"
"The rich snippet extender with ID ""%1"" doesn't exist.","ID为""%1""的富摘要扩展不存在。"
"Edit","编辑"
"Delete","删除"
"Delete record with ID %1","删除ID为 %1 的记录"
"Are you sure you want to delete this rich snippet extender?","您确定要删除此富摘要扩展吗？"
"Template variables","模板变量"
"learn more","了解更多"
"Double click on a variable to insert it into the field","双击变量将其插入字段"
"Learn more about template variables","了解更多关于模板变量的信息"
"Rich snippets and OpenGraph","富摘要和OpenGraph"
"Product page","产品页面"
"Configure rich snippets for product pages to improve search engine visibility. These settings enhance how your products appear in search results with additional information like pricing, availability, and reviews.","配置产品页面的富摘要以提升搜索引擎可见性。这些设置通过价格、库存状态和评价等附加信息改善产品在搜索结果中的显示方式。"
"Delete wrong snippets automatically","自动删除错误摘要"
"Automatically removes incorrect structured data from product pages. Helps maintain clean markup and prevent schema validation issues.","自动删除产品页面中不正确的结构化数据。有助于保持干净的标记并防止架构验证问题。"
"Enable rich snippet","启用富摘要"
"Activates structured data markup for product pages. This is the master switch for all product-related rich snippets.","激活产品页面的结构化数据标记。这是所有产品相关富摘要的主开关。"
"Item name length","商品名称长度"
"Maximum character length for item name in structured data.","结构化数据中商品名称的最大字符长度。"
"The maximum value recommended by Google is 150. Values below 25 will default to 150. If the value is empty or 0, no limit is applied.","Google推荐的最大值为150。低于25的值默认为150。如果值为空或0，则不应用限制。"
"Item price","商品价格"
