Home,Home
"Go to Home Page","Go to Home Page"
Categories,Categories
Pages,Pages
Products,Products
Stores,Stores
"Top of page","Top of page"
"Bottom of page","Bottom of page"
"Both top and bottom","Both top and bottom"
Disable,Disable
"Permanent only","Permanent only"
All,All
"Priority must be between 0 and 1","Priority must be between 0 and 1"
"A cron job is required for automatic sitemap generation. Automatic generation can be configured at System > Configuration > Catalog > Google Sitemap > Generation Settings. Cron for Magento is not running. To set up a cron job, follow the link.","A cron job is required for automatic sitemap generation. Automatic generation can be configured at System > Configuration > Catalog > Google Sitemap > Generation Settings. Cron for Magento is not running. To set up a cron job, follow the link."
Blog,Blog
"Blog Home","Blog Home"
Brand,Brand
"Knowledge Base","Knowledge Base"
"Landing Pages","Landing Pages"
"Search sitemap","Search sitemap"
Search,Search
"Search through sitemap items","Search through sitemap items"
"Visit %1 store","Visit %1 store"
"View %1 page","View %1 page"
"Additional Links","Additional Links"
"Visit %1","Visit %1"
"View %1","View %1"
"View category: %1","View category: %1"
"View product: %1","View product: %1"
"Nothing to show, please change a search query","Nothing to show, please change a search query"
"Extended sitemap","Extended sitemap"
"General sitemap settings","General sitemap settings"
"Basic configuration options that affect both frontend and XML sitemaps.","Basic configuration options that affect both frontend and XML sitemaps."
"Ignore CMS pages","Ignore CMS pages"
"Select pages that should not appear in any sitemaps. Useful for login, registration, and other utility pages.","Select pages that should not appear in any sitemaps. Useful for login, registration, and other utility pages."
"Include SEO rewrites in sitemap","Include SEO rewrites in sitemap"
"When enabled, all SEO rewrite URLs with INDEX FOLLOW meta robots will be included in the sitemap. The included link pattern must not be an action name or contain wildcard characters. For a frontend sitemap, the <b>Title</b> field is required.","When enabled, all SEO rewrite URLs with INDEX FOLLOW meta robots will be included in the sitemap. The included link pattern must not be an action name or contain wildcard characters. For a frontend sitemap, the <b>Title</b> field is required."
"Exclude redirects from sitemap","Exclude redirects from sitemap"
"Controls how redirect URLs are handled in sitemap generation. Excluding redirects prevents search engines from indexing redirect URLs, while including them allows crawlers to discover the redirect chain. Permanent redirects (301) typically should be excluded as they point to canonical URLs already in the sitemap.","Controls how redirect URLs are handled in sitemap generation. Excluding redirects prevents search engines from indexing redirect URLs, while including them allows crawlers to discover the redirect chain. Permanent redirects (301) typically should be excluded as they point to canonical URLs already in the sitemap."
"Additional links","Additional links"
"Add custom URLs to include in your sitemaps. Format: one URL per line. For frontend sitemaps, specify both URL and page title separated by comma.","Add custom URLs to include in your sitemaps. Format: one URL per line. For frontend sitemaps, specify both URL and page title separated by comma."
"Example:<br/>/promotions/, Our Promotions<br/>/customer/account/, Customer Account","Example:<br/>/promotions/, Our Promotions<br/>/customer/account/, Customer Account"
"Exclude by pattern","Exclude by pattern"
"Specify URL patterns to exclude from all sitemaps. Each pattern should be on a new line. Wildcards (*) are supported.","Specify URL patterns to exclude from all sitemaps. Each pattern should be on a new line. Wildcards (*) are supported."
Example:<br/>/catalog/category/*<br/>/checkout/*,Example:<br/>/catalog/category/*<br/>/checkout/*
"Frontend sitemap settings","Frontend sitemap settings"
"Configure how your HTML sitemap appears to visitors and search engines.","Configure how your HTML sitemap appears to visitors and search engines."
"Display settings","Display settings"
