"Home","Inicio"
"Go to Home Page","Ir a la página de inicio"
"Categories","Categorías"
"Pages","Páginas"
"Products","Productos"
"Stores","Tiendas"
"Top of page","Parte superior de la página"
"Bottom of page","Parte inferior de la página"
"Both top and bottom","Tanto arriba como abajo"
"Disable","Deshabilitar"
"Permanent only","Solo permanentes"
"All","Todo"
"Priority must be between 0 and 1","La prioridad debe estar entre 0 y 1"
"A cron job is required for automatic sitemap generation. Automatic generation can be configured at System > Configuration > Catalog > Google Sitemap > Generation Settings. Cron for Magento is not running. To set up a cron job, follow the link.","Se requiere un trabajo cron para la generación automática del mapa del sitio. La generación automática puede configurarse en Sistema > Configuración > Catálogo > Google Sitemap > Configuración de generación. El cron de Magento no está en ejecución. Para configurar un trabajo cron, siga el enlace."
"Blog","Blog"
"Blog Home","Inicio del blog"
"Brand","Marca"
"Knowledge Base","Base de conocimientos"
"Landing Pages","Páginas de destino"
"Search sitemap","Buscar en el mapa del sitio"
"Search","Buscar"
"Search through sitemap items","Buscar entre los elementos del mapa del sitio"
"Visit %1 store","Visitar la tienda %1"
"View %1 page","Ver la página %1"
"Additional Links","Enlaces adicionales"
"Visit %1","Visitar %1"
"View %1","Ver %1"
"View category: %1","Ver categoría: %1"
"View product: %1","Ver producto: %1"
"Nothing to show, please change a search query","Nada que mostrar, por favor cambie la consulta de búsqueda"
"Extended sitemap","Mapa del sitio extendido"
"General sitemap settings","Configuración general del mapa del sitio"
"Basic configuration options that affect both frontend and XML sitemaps.","Opciones de configuración básica que afectan tanto al mapa del sitio frontend como al XML."
"Ignore CMS pages","Ignorar páginas CMS"
"Select pages that should not appear in any sitemaps. Useful for login, registration, and other utility pages.","Seleccione las páginas que no deben aparecer en ningún mapa del sitio. Útil para páginas de inicio de sesión, registro y otras páginas de utilidad."
"Include SEO rewrites in sitemap","Incluir reescrituras SEO en el mapa del sitio"
"When enabled, all SEO rewrite URLs with INDEX FOLLOW meta robots will be included in the sitemap. The included link pattern must not be an action name or contain wildcard characters. For a frontend sitemap, the <b>Title</b> field is required.","Cuando está habilitado, todas las URLs de reescritura SEO con meta robots INDEX FOLLOW se incluirán en el mapa del sitio. El patrón de enlace incluido no debe ser un nombre de acción ni contener caracteres comodín. Para un mapa del sitio frontend, el campo <b>Título</b> es obligatorio."
"Exclude redirects from sitemap","Excluir redirecciones del mapa del sitio"
