"Home","Home"
"Go to Home Page","Vai alla pagina iniziale"
"Categories","Categorie"
"Pages","Pagine"
"Products","Prodotti"
"Stores","Negozi"
"Top of page","In cima alla pagina"
"Bottom of page","In fondo alla pagina"
"Both top and bottom","Sia in cima che in fondo"
"Disable","Disabilita"
"Permanent only","Solo permanenti"
"All","Tutti"
"Priority must be between 0 and 1","La priorità deve essere compresa tra 0 e 1"
"A cron job is required for automatic sitemap generation. Automatic generation can be configured at System > Configuration > Catalog > Google Sitemap > Generation Settings. Cron for Magento is not running. To set up a cron job, follow the link.","È necessario un cron job per la generazione automatica della mappa del sito. La generazione automatica può essere configurata in Sistema > Configurazione > Catalogo > Google Sitemap > Impostazioni di generazione. Il cron di Magento non è in esecuzione. Per configurare un cron job, segui il link."
"Blog","Blog"
"Blog Home","Home del blog"
"Brand","Brand"
"Knowledge Base","Base di conoscenza"
"Landing Pages","Pagine di destinazione"
"Search sitemap","Cerca nella mappa del sito"
"Search","Cerca"
"Search through sitemap items","Cerca tra gli elementi della mappa del sito"
"Visit %1 store","Visita il negozio %1"
"View %1 page","Visualizza la pagina %1"
"Additional Links","Link aggiuntivi"
"Visit %1","Visita %1"
"View %1","Visualizza %1"
"View category: %1","Visualizza categoria: %1"
"View product: %1","Visualizza prodotto: %1"
"Nothing to show, please change a search query","Niente da mostrare, cambia la query di ricerca"
"Extended sitemap","Mappa del sito estesa"
"General sitemap settings","Impostazioni generali della mappa del sito"
"Basic configuration options that affect both frontend and XML sitemaps.","Opzioni di configurazione di base che influiscono sia sulle mappe del sito frontend che XML."
"Ignore CMS pages","Ignora le pagine CMS"
"Select pages that should not appear in any sitemaps. Useful for login, registration, and other utility pages.","Seleziona le pagine che non devono apparire in nessuna mappa del sito. Utile per le pagine di accesso, registrazione e altre pagine di utilità."
"Include SEO rewrites in sitemap","Includi le riscritture SEO nella mappa del sito"
"When enabled, all SEO rewrite URLs with INDEX FOLLOW meta robots will be included in the sitemap. The included link pattern must not be an action name or contain wildcard characters. For a frontend sitemap, the <b>Title</b> field is required.","Quando abilitato, tutti gli URL di riscrittura SEO con meta robots INDEX FOLLOW saranno inclusi nella mappa del sito. Il pattern del link incluso non deve essere un nome di azione né contenere caratteri jolly. Per una mappa del sito frontend, il campo <b>Titolo</b> è obbligatorio."
"Exclude redirects from sitemap","Escludi i reindirizzamenti dalla mappa del sito"
"Controls how redirect URLs are handled in sitemap generation. Excluding redirects prevents search engines from indexing redirect URLs, while including them allows crawlers to discover the redirect chain. Permanent redirects (301) typically should be excluded as they point to canonical URLs already in the sitemap.","Controlla come gli URL di reindirizzamento vengono gestiti nella generazione della mappa del sito. L'esclusione dei reindirizzamenti impedisce ai motori di ricerca di indicizzare gli URL di reindirizzamento, mentre includerli consente ai crawler di scoprire la catena di reindirizzamento. I reindirizzamenti permanenti (301) in genere dovrebbero essere esclusi poiché puntano a URL canonici già presenti nella mappa del sito."
"Additional links","Link aggiuntivi"
"Add custom URLs to include in your sitemaps. Format: one URL per line. For frontend sitemaps, specify both URL and page title separated by comma.","Aggiungi URL personalizzati da includere nelle mappe del sito. Formato: un URL per riga. Per le mappe del sito frontend, specifica sia l'URL che il titolo della pagina separati da virgola."
"Example:<br/>/promotions/, Our Promotions<br/>/customer/account/, Customer Account","Esempio:<br/>/promotions/, Le nostre promozioni<br/>/customer/account/, Account cliente"
"Exclude by pattern","Escludi per pattern"
"Specify URL patterns to exclude from all sitemaps. Each pattern should be on a new line. Wildcards (*) are supported.","Specifica i pattern URL da escludere da tutte le mappe del sito. Ogni pattern deve essere su una nuova riga. I caratteri jolly (*) sono supportati."
"Example:<br/>/catalog/category/*<br/>/checkout/*","Esempio:<br/>/catalog/category/*<br/>/checkout/*"
"Frontend sitemap settings","Impostazioni della mappa del sito frontend"
"Configure how your HTML sitemap appears to visitors and search engines.","Configura come appare la tua mappa del sito HTML ai visitatori e ai motori di ricerca."
"Display settings","Impostazioni di visualizzazione"
"Configure the visual presentation and user interface elements of your HTML sitemap. These settings control how the sitemap is displayed to visitors, including layout structure, navigation aids, and interactive features that enhance user experience.","Configura la presentazione visiva e gli elementi dell'interfaccia utente della tua mappa del sito HTML. Queste impostazioni controllano come la mappa del sito viene visualizzata ai visitatori, inclusa la struttura del layout, gli aiuti alla navigazione e le funzionalità interattive che migliorano l'esperienza utente."
"Columns count","Numero di colonne"
"Define how many columns will display in the frontend sitemap. More columns can improve readability on large sites.","Definisci quante colonne verranno visualizzate nella mappa del sito frontend. Più colonne possono migliorare la leggibilità su siti di grandi dimensioni."
"Valid values from 1 to 10","Valori validi da 1 a 10"
"Alphabetical product grouping","Raggruppamento alfabetico dei prodotti"
"When enabled, products will be grouped alphabetically with capital letter headings, improving navigation for visitors.","Quando abilitato, i prodotti verranno raggruppati alfabeticamente con intestazioni di lettere maiuscole, migliorando la navigazione per i visitatori."
"Show sitemap search box","Mostra la casella di ricerca della mappa del sito"
"Display a search input field on the frontend sitemap page. Visitors can use this to filter and find specific content within the sitemap without scrolling through all entries.","Visualizza un campo di input di ricerca nella pagina della mappa del sito frontend. I visitatori possono usarlo per filtrare e trovare contenuti specifici all'interno della mappa del sito senza scorrere tutte le voci."
"Pagination controls position","Posizione dei controlli di paginazione"
