"Home","Strona główna"
"Go to Home Page","Przejdź do strony głównej"
"Categories","Kategorie"
"Pages","Strony"
"Products","Produkty"
"Stores","Sklepy"
"Top of page","Góra strony"
"Bottom of page","Dół strony"
"Both top and bottom","Góra i dół"
"Disable","Wyłącz"
"Permanent only","Tylko permanentne"
"All","Wszystkie"
"Priority must be between 0 and 1","Priorytet musi być między 0 a 1"
"A cron job is required for automatic sitemap generation. Automatic generation can be configured at System > Configuration > Catalog > Google Sitemap > Generation Settings. Cron for Magento is not running. To set up a cron job, follow the link.","Do automatycznego generowania mapy witryny wymagane jest zadanie cron. Automatyczne generowanie można skonfigurować w System > Konfiguracja > Katalog > Google Sitemap > Ustawienia generowania. Cron dla Magento nie działa. Aby skonfigurować zadanie cron, kliknij link."
"Blog","Blog"
"Blog Home","Strona główna bloga"
"Brand","Marka"
"Knowledge Base","Baza wiedzy"
"Landing Pages","Strony docelowe"
"Search sitemap","Szukaj w mapie witryny"
"Search","Szukaj"
"Search through sitemap items","Przeszukaj elementy mapy witryny"
"Visit %1 store","Odwiedź sklep %1"
"View %1 page","Zobacz stronę %1"
"Additional Links","Dodatkowe linki"
"Visit %1","Odwiedź %1"
"View %1","Zobacz %1"
"View category: %1","Zobacz kategorię: %1"
"View product: %1","Zobacz produkt: %1"
"Nothing to show, please change a search query","Brak wyników; zmień zapytanie wyszukiwania"
"Extended sitemap","Rozszerzona mapa witryny"
"General sitemap settings","Ogólne ustawienia mapy witryny"
"Basic configuration options that affect both frontend and XML sitemaps.","Podstawowe opcje konfiguracji wpływające zarówno na mapy witryny frontend, jak i XML."
"Ignore CMS pages","Ignoruj strony CMS"
"Select pages that should not appear in any sitemaps. Useful for login, registration, and other utility pages.","Wybierz strony, które nie powinny pojawiać się w żadnych mapach witryny. Przydatne dla stron logowania, rejestracji i innych stron narzędziowych."
"Include SEO rewrites in sitemap","Uwzględnij przepisania SEO w mapie witryny"
"When enabled, all SEO rewrite URLs with INDEX FOLLOW meta robots will be included in the sitemap. The included link pattern must not be an action name or contain wildcard characters. For a frontend sitemap, the <b>Title</b> field is required.","Po włączeniu wszystkie adresy URL przepisań SEO z meta robotami INDEX FOLLOW zostaną uwzględnione w mapie witryny. Dołączony wzorzec linku nie może być nazwą akcji ani zawierać symboli wieloznacznych. Dla mapy witryny frontend wymagane jest pole <b>Tytuł</b>."
"Exclude redirects from sitemap","Wyklucz przekierowania z mapy witryny"
